name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BAHAWALNAGAR,DISTRICT,NON-RELATIVE,DIVORCED,49,38,0,28,23,0,21,15,0
BAHAWALNAGAR,DISTRICT,NON-RELATIVE,MARRIED,1192,3733,0,759,1797,0,433,1936,0
BAHAWALNAGAR,DISTRICT,NON-RELATIVE,NEVER MARRIED,5164,12507,170,1739,5928,19,3425,6579,151
BAHAWALNAGAR,DISTRICT,NON-RELATIVE,SEPARATION,17,52,0,12,41,0,5,11,0
BAHAWALNAGAR,DISTRICT,NON-RELATIVE,WIDOWED,202,264,0,124,222,0,78,42,0
BAHAWALNAGAR,DISTRICT,OTHER RELATIVE,DIVORCED,453,212,0,364,164,0,89,48,0
BAHAWALNAGAR,DISTRICT,OTHER RELATIVE,MARRIED,5609,5500,0,4333,4293,0,1276,1207,0
BAHAWALNAGAR,DISTRICT,OTHER RELATIVE,NEVER MARRIED,3861,6201,37,2757,4372,15,1104,1829,22
BAHAWALNAGAR,DISTRICT,OTHER RELATIVE,SEPARATION,202,119,0,170,94,0,32,25,0
BAHAWALNAGAR,DISTRICT,OTHER RELATIVE,WIDOWED,3055,1362,0,2242,1066,0,813,296,0
BAHAWALNAGAR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,30,11,0,21,5,0,9,6,0
BAHAWALNAGAR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,28593,808,0,21024,586,0,7569,222,0
BAHAWALNAGAR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,843,213,0,600,137,0,243,76,0
BAHAWALNAGAR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,24,3,0,22,3,0,2,0,0
BAHAWALNAGAR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,1095,37,0,799,27,0,296,10,0
BAHAWALNAGAR,DISTRICT,SON/DAUGHTER,DIVORCED,3528,1416,0,2435,961,0,1093,455,0
BAHAWALNAGAR,DISTRICT,SON/DAUGHTER,MARRIED,12758,127598,0,9251,93044,0,3507,34554,0
BAHAWALNAGAR,DISTRICT,SON/DAUGHTER,NEVER MARRIED,204006,279387,31,139269,195259,22,64737,84128,9
BAHAWALNAGAR,DISTRICT,SON/DAUGHTER,SEPARATION,1163,570,0,925,434,0,238,136,0
BAHAWALNAGAR,DISTRICT,SON/DAUGHTER,WIDOWED,1635,1261,0,1168,966,0,467,295,0
BAHAWALNAGAR,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
BAHAWALNAGAR,DISTRICT,SPOUSE,MARRIED,484771,4120,,351933,2718,,132838,1402,
BAHAWALNAGAR,DISTRICT,SPOUSE,NEVER MARRIED,2,0,,1,0,,1,0,
BAHAWALNAGAR,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
BAHAWALNAGAR,DISTRICT,SPOUSE,WIDOWED,0,0,,0,0,,0,0,
BAHAWALPUR,DISTRICT,BROTHER/SISTER,DIVORCED,1948,582,0,1221,371,0,727,211,0
BAHAWALPUR,DISTRICT,BROTHER/SISTER,MARRIED,5601,40066,0,3311,24745,0,2290,15321,0
BAHAWALPUR,DISTRICT,BROTHER/SISTER,NEVER MARRIED,28137,35885,21,15945,21277,10,12192,14608,11
BAHAWALPUR,DISTRICT,BROTHER/SISTER,SEPARATION,607,246,0,447,148,0,160,98,0
BAHAWALPUR,DISTRICT,BROTHER/SISTER,WIDOWED,2483,1215,0,1485,817,0,998,398,0
BAHAWALPUR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
BAHAWALPUR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,155130,6154,,99499,3841,,55631,2313,
BAHAWALPUR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
BAHAWALPUR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,1,,0,1,,0,0,
BAHAWALPUR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,1093,44,,746,32,,347,12,
BAHAWALPUR,DISTRICT,FATHER/MOTHER,DIVORCED,545,53,,325,35,,220,18,
BAHAWALPUR,DISTRICT,FATHER/MOTHER,MARRIED,29052,16430,,18944,11217,,10108,5213,
BAHAWALPUR,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
BAHAWALPUR,DISTRICT,FATHER/MOTHER,SEPARATION,334,30,,223,22,,111,8,
BAHAWALPUR,DISTRICT,FATHER/MOTHER,WIDOWED,46998,5942,,29794,3994,,17204,1948,
BAHAWALPUR,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,7,4,,4,4,,3,0,
BAHAWALPUR,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,480,398,,328,267,,152,131,
BAHAWALPUR,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,1,4,,1,2,,0,2,
BAHAWALPUR,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,5,3,,3,3,,2,0,
BAHAWALPUR,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,1211,297,,805,219,,406,78,
BAHAWALPUR,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,20,9,0,11,6,0,9,3,0
BAHAWALPUR,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,893,1760,0,605,1262,0,288,498,0
BAHAWALPUR,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,9530,10776,0,5835,6684,0,3695,4092,0
BAHAWALPUR,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,9,2,0,6,2,0,3,0,0
BAHAWALPUR,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,11,15,0,8,11,0,3,4,0
BAHAWALPUR,DISTRICT,HEAD,DIVORCED,828,1358,0,379,872,0,449,486,0
BAHAWALPUR,DISTRICT,HEAD,MARRIED,16101,598552,0,8623,374529,0,7478,224023,0
BAHAWALPUR,DISTRICT,HEAD,NEVER MARRIED,593,21758,133,209,12029,38,384,9729,95
BAHAWALPUR,DISTRICT,HEAD,SEPARATION,418,1082,0,206,756,0,212,326,0
BAHAWALPUR,DISTRICT,HEAD,WIDOWED,15460,16943,0,7767,10587,0,7693,6356,0
BAHAWALPUR,DISTRICT,NEPHEW/NIECE,DIVORCED,39,23,0,24,11,0,15,12,0
BAHAWALPUR,DISTRICT,NEPHEW/NIECE,MARRIED,1002,3086,0,699,2198,0,303,888,0
BAHAWALPUR,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,6865,8476,2,4196,5258,0,2669,3218,2
BAHAWALPUR,DISTRICT,NEPHEW/NIECE,SEPARATION,19,14,0,15,14,0,4,0,0
BAHAWALPUR,DISTRICT,NEPHEW/NIECE,WIDOWED,53,38,0,34,22,0,19,16,0
BAHAWALPUR,DISTRICT,NON-RELATIVE,DIVORCED,46,49,0,14,18,0,32,31,0
BAHAWALPUR,DISTRICT,NON-RELATIVE,MARRIED,1505,5457,0,515,1004,0,990,4453,0
BAHAWALPUR,DISTRICT,NON-RELATIVE,NEVER MARRIED,12454,22321,154,1033,2792,39,11421,19529,115
BAHAWALPUR,DISTRICT,NON-RELATIVE,SEPARATION,38,79,0,11,33,0,27,46,0
BAHAWALPUR,DISTRICT,NON-RELATIVE,WIDOWED,180,272,0,67,118,0,113,154,0
BAHAWALPUR,DISTRICT,OTHER RELATIVE,DIVORCED,372,140,0,222,92,0,150,48,0
BAHAWALPUR,DISTRICT,OTHER RELATIVE,MARRIED,7732,7060,0,4923,4437,0,2809,2623,0
BAHAWALPUR,DISTRICT,OTHER RELATIVE,NEVER MARRIED,4422,6190,110,2379,3211,19,2043,2979,91
BAHAWALPUR,DISTRICT,OTHER RELATIVE,SEPARATION,153,81,0,103,60,0,50,21,0
BAHAWALPUR,DISTRICT,OTHER RELATIVE,WIDOWED,3460,1163,0,2254,752,0,1206,411,0
BAHAWALPUR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,42,9,0,32,3,0,10,6,0
BAHAWALPUR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,35092,1096,0,22455,661,0,12637,435,0
BAHAWALPUR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,890,302,2,531,153,1,359,149,1
BAHAWALPUR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,30,2,0,25,1,0,5,1,0
BAHAWALPUR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,1454,44,0,936,24,0,518,20,0
BAHAWALPUR,DISTRICT,SON/DAUGHTER,DIVORCED,3019,1238,0,1785,749,0,1234,489,0
BAHAWALPUR,DISTRICT,SON/DAUGHTER,MARRIED,14156,156478,0,8254,99665,0,5902,56813,0
BAHAWALPUR,DISTRICT,SON/DAUGHTER,NEVER MARRIED,237815,304644,29,134183,179182,20,103632,125462,9
BAHAWALPUR,DISTRICT,SON/DAUGHTER,SEPARATION,1000,561,0,673,355,0,327,206,0
BAHAWALPUR,DISTRICT,SON/DAUGHTER,WIDOWED,1764,1386,0,1111,923,0,653,463,0
BAHAWALPUR,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
BAHAWALPUR,DISTRICT,SPOUSE,MARRIED,584940,4437,,367022,2654,,217918,1783,
BAHAWALPUR,DISTRICT,SPOUSE,NEVER MARRIED,2,0,,0,0,,2,0,
BAHAWALPUR,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
BAHAWALPUR,DISTRICT,SPOUSE,WIDOWED,0,0,,0,0,,0,0,
BHAKKAR,DISTRICT,BROTHER/SISTER,DIVORCED,1034,222,0,821,166,0,213,56,0
BHAKKAR,DISTRICT,BROTHER/SISTER,MARRIED,2169,18762,0,1742,14730,0,427,4032,0
BHAKKAR,DISTRICT,BROTHER/SISTER,NEVER MARRIED,18634,22641,4,14973,17842,3,3661,4799,1
BHAKKAR,DISTRICT,BROTHER/SISTER,SEPARATION,372,137,0,330,112,0,42,25,0
BHAKKAR,DISTRICT,BROTHER/SISTER,WIDOWED,1137,581,0,888,463,0,249,118,0
BHAKKAR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
