name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
SIBI,SIBI,DISTRICT,URBAN,REGULAR,69299,35093,34206,,11525,99.98999999999999
SIBI,SIBI,DISTRICT,URBAN,INSTITUTIONAL,1,1,,,1,.01
SIBI,SIBI,DISTRICT,URBAN,HOMELESS,,,,,,0
SIBI,SIBI,DISTRICT,URBAN,TOTAL,69300,35094,34206,,11526,100
SOHBATPUR,SOHBATPUR,DISTRICT,OVERALL,REGULAR,240007,121811,118194,2,33734,99.98999999999999
SOHBATPUR,SOHBATPUR,DISTRICT,OVERALL,INSTITUTIONAL,,,,,,0
SOHBATPUR,SOHBATPUR,DISTRICT,OVERALL,HOMELESS,99,52,47,,4,.01
SOHBATPUR,SOHBATPUR,DISTRICT,OVERALL,TOTAL,240106,121863,118241,2,33738,100
SOHBATPUR,SOHBATPUR,DISTRICT,RURAL,REGULAR,225279,114327,110950,2,31941,99.98999999999999
SOHBATPUR,SOHBATPUR,DISTRICT,RURAL,INSTITUTIONAL,,,,,,0
SOHBATPUR,SOHBATPUR,DISTRICT,RURAL,HOMELESS,99,52,47,,4,.01
SOHBATPUR,SOHBATPUR,DISTRICT,RURAL,TOTAL,225378,114379,110997,2,31945,100
SOHBATPUR,SOHBATPUR,DISTRICT,URBAN,REGULAR,14728,7484,7244,,1793,100
SOHBATPUR,SOHBATPUR,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
SOHBATPUR,SOHBATPUR,DISTRICT,URBAN,HOMELESS,,,,,,0
SOHBATPUR,SOHBATPUR,DISTRICT,URBAN,TOTAL,14728,7484,7244,,1793,100
SURAB,SURAB,DISTRICT,OVERALL,REGULAR,278200,140991,137191,18,50983,99.93000000000001
SURAB,SURAB,DISTRICT,OVERALL,INSTITUTIONAL,666,559,107,,28,.05
SURAB,SURAB,DISTRICT,OVERALL,HOMELESS,172,98,74,,10,.02
SURAB,SURAB,DISTRICT,OVERALL,TOTAL,279038,141648,137372,18,51021,100
SURAB,SURAB,DISTRICT,RURAL,REGULAR,241758,123870,117870,18,44801,99.92
SURAB,SURAB,DISTRICT,RURAL,INSTITUTIONAL,651,552,99,,25,.06
SURAB,SURAB,DISTRICT,RURAL,HOMELESS,161,95,66,,9,.02
SURAB,SURAB,DISTRICT,RURAL,TOTAL,242570,124517,118035,18,44835,100
SURAB,SURAB,DISTRICT,URBAN,REGULAR,36442,17121,19321,,6182,99.94
SURAB,SURAB,DISTRICT,URBAN,INSTITUTIONAL,15,7,8,,3,.05
