name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
NOWSHERA,NOWSHERA,DISTRICT,OVERALL,TOTAL,1735689,884066,851573,50,259911,100
NOWSHERA,NOWSHERA,DISTRICT,RURAL,REGULAR,1397861,707762,690081,18,206464,99.98999999999999
NOWSHERA,NOWSHERA,DISTRICT,RURAL,INSTITUTIONAL,195,83,112,,14,.01
NOWSHERA,NOWSHERA,DISTRICT,RURAL,HOMELESS,61,39,22,,9,0
NOWSHERA,NOWSHERA,DISTRICT,RURAL,TOTAL,1398117,707884,690215,18,206487,100
NOWSHERA,NOWSHERA,DISTRICT,URBAN,REGULAR,331423,170467,160924,32,53310,99.79000000000001
NOWSHERA,NOWSHERA,DISTRICT,URBAN,INSTITUTIONAL,6148,5714,434,,113,.21
NOWSHERA,NOWSHERA,DISTRICT,URBAN,HOMELESS,1,1,,,1,0
NOWSHERA,NOWSHERA,DISTRICT,URBAN,TOTAL,337572,176182,161358,32,53424,100
ORAKZAI,ORAKZAI,DISTRICT,OVERALL,REGULAR,387540,204859,182674,7,52104,99.98999999999999
ORAKZAI,ORAKZAI,DISTRICT,OVERALL,INSTITUTIONAL,15,8,7,,2,0
ORAKZAI,ORAKZAI,DISTRICT,OVERALL,HOMELESS,6,3,3,,2,0
ORAKZAI,ORAKZAI,DISTRICT,OVERALL,TOTAL,387561,204870,182684,7,52108,100
ORAKZAI,ORAKZAI,DISTRICT,RURAL,REGULAR,387540,204859,182674,7,52104,99.98999999999999
ORAKZAI,ORAKZAI,DISTRICT,RURAL,INSTITUTIONAL,15,8,7,,2,0
ORAKZAI,ORAKZAI,DISTRICT,RURAL,HOMELESS,6,3,3,,2,0
ORAKZAI,ORAKZAI,DISTRICT,RURAL,TOTAL,387561,204870,182684,7,52108,100
ORAKZAI,ORAKZAI,DISTRICT,URBAN,REGULAR,,,,,,0
ORAKZAI,ORAKZAI,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
ORAKZAI,ORAKZAI,DISTRICT,URBAN,HOMELESS,,,,,,0
ORAKZAI,ORAKZAI,DISTRICT,URBAN,TOTAL,,,,,,100
PESHAWAR,PESHAWAR,DISTRICT,OVERALL,REGULAR,4731158,2406577,2324394,187,690978,99.92
PESHAWAR,PESHAWAR,DISTRICT,OVERALL,INSTITUTIONAL,18921,14986,3935,,453,.07
PESHAWAR,PESHAWAR,DISTRICT,OVERALL,HOMELESS,309,240,69,,74,.01
PESHAWAR,PESHAWAR,DISTRICT,OVERALL,TOTAL,4750388,2421803,2328398,187,691505,100
PESHAWAR,PESHAWAR,DISTRICT,RURAL,REGULAR,2849535,1443751,1405754,30,415031,99.98
PESHAWAR,PESHAWAR,DISTRICT,RURAL,INSTITUTIONAL,1203,1084,119,,60,.01
PESHAWAR,PESHAWAR,DISTRICT,RURAL,HOMELESS,90,59,31,,19,0
PESHAWAR,PESHAWAR,DISTRICT,RURAL,TOTAL,2850828,1444894,1405904,30,415110,100
PESHAWAR,PESHAWAR,DISTRICT,URBAN,REGULAR,1881623,962826,918640,157,275947,99.84
PESHAWAR,PESHAWAR,DISTRICT,URBAN,INSTITUTIONAL,17718,13902,3816,,393,.14
PESHAWAR,PESHAWAR,DISTRICT,URBAN,HOMELESS,219,181,38,,55,.02
PESHAWAR,PESHAWAR,DISTRICT,URBAN,TOTAL,1899560,976909,922494,157,276395,100
SHANGLA,SHANGLA,DISTRICT,OVERALL,REGULAR,890774,459720,431048,6,125540,99.98999999999999
SHANGLA,SHANGLA,DISTRICT,OVERALL,INSTITUTIONAL,49,40,9,,8,.01
SHANGLA,SHANGLA,DISTRICT,OVERALL,HOMELESS,23,10,13,,3,0
SHANGLA,SHANGLA,DISTRICT,OVERALL,TOTAL,890846,459770,431070,6,125551,100
