name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
CHAGAI,CHAGAI,DISTRICT,10 - 14,BENGALI,6,1,5,5,1,4,1,,1,,,
CHAGAI,CHAGAI,DISTRICT,10 - 14,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,10 - 14,OTHERS,196,189,7,101,99,2,94,89,5,1,1,
CHAGAI,CHAGAI,DISTRICT,10 - 14,PAKISTANI,35640,32877,2763,17153,15810,1343,18487,17067,1420,,,
CHAGAI,CHAGAI,DISTRICT,15 - 19,AFGHANI,2241,2214,27,1101,1085,16,1140,1129,11,,,
CHAGAI,CHAGAI,DISTRICT,15 - 19,BENGALI,8,2,6,7,1,6,1,1,,,,
CHAGAI,CHAGAI,DISTRICT,15 - 19,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,15 - 19,OTHERS,72,69,3,48,48,,24,21,3,,,
CHAGAI,CHAGAI,DISTRICT,15 - 19,PAKISTANI,26651,24273,2378,12534,11359,1175,14114,12911,1203,3,3,
CHAGAI,CHAGAI,DISTRICT,20 - 24,AFGHANI,1962,1943,19,978,968,10,984,975,9,,,
CHAGAI,CHAGAI,DISTRICT,20 - 24,BENGALI,6,3,3,1,1,,5,2,3,,,
CHAGAI,CHAGAI,DISTRICT,20 - 24,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,20 - 24,OTHERS,23,20,3,13,13,,10,7,3,,,
CHAGAI,CHAGAI,DISTRICT,20 - 24,PAKISTANI,19986,18333,1653,9881,9034,847,10105,9299,806,,,
CHAGAI,CHAGAI,DISTRICT,25 - 29,AFGHANI,1417,1410,7,703,700,3,714,710,4,,,
CHAGAI,CHAGAI,DISTRICT,25 - 29,BENGALI,3,2,1,2,2,,1,,1,,,
CHAGAI,CHAGAI,DISTRICT,25 - 29,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,25 - 29,OTHERS,17,14,3,10,10,,7,4,3,,,
CHAGAI,CHAGAI,DISTRICT,25 - 29,PAKISTANI,14623,13231,1392,7444,6694,750,7178,6536,642,1,1,
CHAGAI,CHAGAI,DISTRICT,30 - 34,AFGHANI,1008,1006,2,511,511,,497,495,2,,,
CHAGAI,CHAGAI,DISTRICT,30 - 34,BENGALI,1,,1,,,,1,,1,,,
CHAGAI,CHAGAI,DISTRICT,30 - 34,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,30 - 34,OTHERS,67,62,5,36,34,2,31,28,3,,,
CHAGAI,CHAGAI,DISTRICT,30 - 34,PAKISTANI,12253,11145,1108,6197,5651,546,6056,5494,562,,,
CHAGAI,CHAGAI,DISTRICT,35 - 39,AFGHANI,909,903,6,432,429,3,477,474,3,,,
CHAGAI,CHAGAI,DISTRICT,35 - 39,BENGALI,2,,2,2,,2,,,,,,
CHAGAI,CHAGAI,DISTRICT,35 - 39,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,35 - 39,OTHERS,78,74,4,26,24,2,52,50,2,,,
CHAGAI,CHAGAI,DISTRICT,35 - 39,PAKISTANI,11299,10314,985,5628,5109,519,5671,5205,466,,,
CHAGAI,CHAGAI,DISTRICT,40 - 44,AFGHANI,727,724,3,331,330,1,396,394,2,,,
CHAGAI,CHAGAI,DISTRICT,40 - 44,BENGALI,4,,4,2,,2,2,,2,,,
CHAGAI,CHAGAI,DISTRICT,40 - 44,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,40 - 44,OTHERS,53,45,8,20,16,4,33,29,4,,,
CHAGAI,CHAGAI,DISTRICT,40 - 44,PAKISTANI,10032,9059,973,4500,4089,411,5532,4970,562,,,
CHAGAI,CHAGAI,DISTRICT,45 - 49,AFGHANI,560,554,6,236,232,4,324,322,2,,,
CHAGAI,CHAGAI,DISTRICT,45 - 49,BENGALI,7,,7,3,,3,4,,4,,,
CHAGAI,CHAGAI,DISTRICT,45 - 49,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,45 - 49,OTHERS,24,24,,9,9,,15,15,,,,
CHAGAI,CHAGAI,DISTRICT,45 - 49,PAKISTANI,6261,5675,586,2792,2544,248,3469,3131,338,,,
CHAGAI,CHAGAI,DISTRICT,50 - 54,AFGHANI,423,419,4,205,205,,218,214,4,,,
CHAGAI,CHAGAI,DISTRICT,50 - 54,BENGALI,2,1,1,1,,1,1,1,,,,
CHAGAI,CHAGAI,DISTRICT,50 - 54,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,50 - 54,OTHERS,14,14,,3,3,,11,11,,,,
CHAGAI,CHAGAI,DISTRICT,50 - 54,PAKISTANI,5350,4869,481,2440,2202,238,2910,2667,243,,,
CHAGAI,CHAGAI,DISTRICT,55 - 59,AFGHANI,318,314,4,150,148,2,168,166,2,,,
CHAGAI,CHAGAI,DISTRICT,55 - 59,BENGALI,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,55 - 59,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,55 - 59,OTHERS,9,9,,,,,9,9,,,,
CHAGAI,CHAGAI,DISTRICT,55 - 59,PAKISTANI,3841,3473,368,1565,1410,155,2276,2063,213,,,
CHAGAI,CHAGAI,DISTRICT,60 - 64,AFGHANI,228,227,1,81,81,,147,146,1,,,
CHAGAI,CHAGAI,DISTRICT,60 - 64,BENGALI,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,60 - 64,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,60 - 64,OTHERS,7,5,2,2,1,1,5,4,1,,,
CHAGAI,CHAGAI,DISTRICT,60 - 64,PAKISTANI,2666,2418,248,1095,992,103,1571,1426,145,,,
CHAGAI,CHAGAI,DISTRICT,65 - 69,AFGHANI,135,134,1,53,53,,82,81,1,,,
CHAGAI,CHAGAI,DISTRICT,65 - 69,BENGALI,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,65 - 69,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,65 - 69,OTHERS,3,2,1,1,,1,2,2,,,,
CHAGAI,CHAGAI,DISTRICT,65 - 69,PAKISTANI,2013,1796,217,912,806,106,1101,990,111,,,
CHAGAI,CHAGAI,DISTRICT,70 - 74,AFGHANI,103,101,2,33,32,1,70,69,1,,,
CHAGAI,CHAGAI,DISTRICT,70 - 74,BENGALI,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,70 - 74,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,70 - 74,OTHERS,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,70 - 74,PAKISTANI,1450,1317,133,631,567,64,819,750,69,,,
CHAGAI,CHAGAI,DISTRICT,75 & ABOVE,AFGHANI,152,152,,38,38,,114,114,,,,
CHAGAI,CHAGAI,DISTRICT,75 & ABOVE,BENGALI,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,75 & ABOVE,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,75 & ABOVE,OTHERS,2,2,,2,2,,,,,,,
CHAGAI,CHAGAI,DISTRICT,75 & ABOVE,PAKISTANI,1459,1368,91,590,552,38,869,816,53,,,
CHAGAI,CHAGAI,DISTRICT,ALL AGES,AFGHANI,20801,20648,153,9973,9903,70,10828,10745,83,,,
CHAGAI,CHAGAI,DISTRICT,ALL AGES,BENGALI,46,14,32,26,8,18,20,6,14,,,
CHAGAI,CHAGAI,DISTRICT,ALL AGES,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,ALL AGES,OTHERS,885,837,48,384,368,16,500,468,32,1,1,
CHAGAI,CHAGAI,DISTRICT,ALL AGES,PAKISTANI,246879,227153,19726,118581,108938,9643,128294,118211,10083,4,4,
CHAMAN,CHAMAN,DISTRICT,00 - 04,AFGHANI,494,346,148,250,175,75,244,171,73,,,
CHAMAN,CHAMAN,DISTRICT,00 - 04,BENGALI,,,,,,,,,,,,
CHAMAN,CHAMAN,DISTRICT,00 - 04,CHINESE,,,,,,,,,,,,
CHAMAN,CHAMAN,DISTRICT,00 - 04,OTHERS,183,102,81,74,38,36,109,64,45,,,
CHAMAN,CHAMAN,DISTRICT,00 - 04,PAKISTANI,95246,71153,24093,39255,29199,10056,55991,41954,14037,,,
CHAMAN,CHAMAN,DISTRICT,05 - 09,AFGHANI,473,293,180,225,131,94,248,162,86,,,
