name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
CHAGAI,CHAGAI,DISTRICT,Communication,15 - 24,187,165,22
CHAGAI,CHAGAI,DISTRICT,Communication,15 - 49,786,690,96
CHAGAI,CHAGAI,DISTRICT,Communication,25 - 40,318,275,43
CHAGAI,CHAGAI,DISTRICT,Communication,41 - 60,693,622,71
CHAGAI,CHAGAI,DISTRICT,Communication,5 - 16,211,194,17
CHAGAI,CHAGAI,DISTRICT,Communication,5 - 9,84,76,8
CHAGAI,CHAGAI,DISTRICT,Communication,>18,1683,1493,190
CHAGAI,CHAGAI,DISTRICT,Communication,>60,551,491,60
CHAGAI,CHAGAI,DISTRICT,Disability,0 - 4,169,166,3
CHAGAI,CHAGAI,DISTRICT,Disability,10 - 12,109,105,4
CHAGAI,CHAGAI,DISTRICT,Disability,13 - 14,71,67,4
CHAGAI,CHAGAI,DISTRICT,Disability,15 - 24,429,406,23
CHAGAI,CHAGAI,DISTRICT,Disability,15 - 49,1668,1594,74
CHAGAI,CHAGAI,DISTRICT,Disability,25 - 40,695,664,31
CHAGAI,CHAGAI,DISTRICT,Disability,41 - 60,1432,1367,65
CHAGAI,CHAGAI,DISTRICT,Disability,5 - 16,418,399,19
CHAGAI,CHAGAI,DISTRICT,Disability,5 - 9,160,151,9
CHAGAI,CHAGAI,DISTRICT,Disability,>18,3799,3581,218
CHAGAI,CHAGAI,DISTRICT,Disability,>60,1395,1288,107
CHAGAI,CHAGAI,DISTRICT,Functional limitation,0 - 4,218,213,5
CHAGAI,CHAGAI,DISTRICT,Functional limitation,10 - 12,265,251,14
CHAGAI,CHAGAI,DISTRICT,Functional limitation,13 - 14,167,156,11
CHAGAI,CHAGAI,DISTRICT,Functional limitation,15 - 24,1387,1288,99
CHAGAI,CHAGAI,DISTRICT,Functional limitation,15 - 49,7769,7130,639
CHAGAI,CHAGAI,DISTRICT,Functional limitation,25 - 40,3053,2791,262
CHAGAI,CHAGAI,DISTRICT,Functional limitation,41 - 60,7752,7121,631
CHAGAI,CHAGAI,DISTRICT,Functional limitation,5 - 16,812,765,47
CHAGAI,CHAGAI,DISTRICT,Functional limitation,5 - 9,204,190,14
CHAGAI,CHAGAI,DISTRICT,Functional limitation,>18,17117,15714,1403
CHAGAI,CHAGAI,DISTRICT,Functional limitation,>60,5226,4796,430
CHAGAI,CHAGAI,DISTRICT,Hearing,0 - 4,111,108,3
CHAGAI,CHAGAI,DISTRICT,Hearing,10 - 12,72,68,4
CHAGAI,CHAGAI,DISTRICT,Hearing,13 - 14,37,33,4
CHAGAI,CHAGAI,DISTRICT,Hearing,15 - 24,312,282,30
CHAGAI,CHAGAI,DISTRICT,Hearing,15 - 49,1729,1545,184
CHAGAI,CHAGAI,DISTRICT,Hearing,25 - 40,678,595,83
CHAGAI,CHAGAI,DISTRICT,Hearing,41 - 60,1733,1582,151
CHAGAI,CHAGAI,DISTRICT,Hearing,5 - 16,215,197,18
CHAGAI,CHAGAI,DISTRICT,Hearing,5 - 9,66,58,8
CHAGAI,CHAGAI,DISTRICT,Hearing,>18,3840,3476,364
CHAGAI,CHAGAI,DISTRICT,Hearing,>60,1188,1082,106
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,0 - 4,90,88,2
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,10 - 12,61,55,6
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,13 - 14,33,29,4
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,15 - 24,239,214,25
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,15 - 49,1183,1051,132
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,25 - 40,482,419,63
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,41 - 60,1086,987,99
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,5 - 16,190,171,19
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,5 - 9,56,49,7
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,>18,2509,2253,256
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,>60,773,698,75
CHAGAI,CHAGAI,DISTRICT,Population,0 - 4,52155,49066,3089
CHAGAI,CHAGAI,DISTRICT,Population,10 - 12,24528,22789,1739
CHAGAI,CHAGAI,DISTRICT,Population,13 - 14,14191,13133,1058
CHAGAI,CHAGAI,DISTRICT,Population,15 - 24,50949,46857,4092
CHAGAI,CHAGAI,DISTRICT,Population,15 - 49,110294,101099,9195
CHAGAI,CHAGAI,DISTRICT,Population,25 - 40,43662,39968,3694
CHAGAI,CHAGAI,DISTRICT,Population,41 - 60,26272,23950,2322
CHAGAI,CHAGAI,DISTRICT,Population,5 - 16,101105,93917,7188
CHAGAI,CHAGAI,DISTRICT,Population,5 - 9,49268,45944,3324
CHAGAI,CHAGAI,DISTRICT,Population,>18,104425,95678,8747
CHAGAI,CHAGAI,DISTRICT,Population,>60,7586,6945,641
CHAGAI,CHAGAI,DISTRICT,Seeing,0 - 4,141,137,4
CHAGAI,CHAGAI,DISTRICT,Seeing,10 - 12,89,83,6
CHAGAI,CHAGAI,DISTRICT,Seeing,13 - 14,41,36,5
CHAGAI,CHAGAI,DISTRICT,Seeing,15 - 24,360,322,38
CHAGAI,CHAGAI,DISTRICT,Seeing,15 - 49,1580,1414,166
CHAGAI,CHAGAI,DISTRICT,Seeing,25 - 40,599,526,73
CHAGAI,CHAGAI,DISTRICT,Seeing,41 - 60,1417,1290,127
CHAGAI,CHAGAI,DISTRICT,Seeing,5 - 16,261,239,22
CHAGAI,CHAGAI,DISTRICT,Seeing,5 - 9,80,73,7
CHAGAI,CHAGAI,DISTRICT,Seeing,>18,3489,3151,338
CHAGAI,CHAGAI,DISTRICT,Seeing,>60,1202,1092,110
CHAGAI,CHAGAI,DISTRICT,Self care etc,0 - 4,3,3,0
CHAGAI,CHAGAI,DISTRICT,Self care etc,10 - 12,17,16,1
CHAGAI,CHAGAI,DISTRICT,Self care etc,13 - 14,13,13,0
CHAGAI,CHAGAI,DISTRICT,Self care etc,15 - 24,118,113,5
CHAGAI,CHAGAI,DISTRICT,Self care etc,15 - 49,832,773,59
CHAGAI,CHAGAI,DISTRICT,Self care etc,25 - 40,334,308,26
CHAGAI,CHAGAI,DISTRICT,Self care etc,41 - 60,920,854,66
CHAGAI,CHAGAI,DISTRICT,Self care etc,5 - 16,46,45,1
CHAGAI,CHAGAI,DISTRICT,Self care etc,5 - 9,6,6,0
CHAGAI,CHAGAI,DISTRICT,Self care etc,>18,1920,1777,143
CHAGAI,CHAGAI,DISTRICT,Self care etc,>60,565,519,46
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,0 - 4,131,127,4
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,10 - 12,106,100,6
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,13 - 14,74,70,4
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,15 - 24,507,453,54
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,15 - 49,2449,2205,244
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,25 - 40,972,873,99
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,41 - 60,2240,2035,205
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,5 - 16,363,339,24
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,5 - 9,102,94,8
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,>18,5307,4812,495
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,>60,1729,1577,152
CHAMAN,CHAMAN,DISTRICT,Communication,0 - 4,25,9,16
CHAMAN,CHAMAN,DISTRICT,Communication,10 - 12,30,19,11
CHAMAN,CHAMAN,DISTRICT,Communication,13 - 14,30,16,14
CHAMAN,CHAMAN,DISTRICT,Communication,15 - 24,151,63,88
CHAMAN,CHAMAN,DISTRICT,Communication,15 - 49,793,394,399
CHAMAN,CHAMAN,DISTRICT,Communication,25 - 40,271,125,146
CHAMAN,CHAMAN,DISTRICT,Communication,41 - 60,983,570,413
CHAMAN,CHAMAN,DISTRICT,Communication,5 - 16,116,62,54
CHAMAN,CHAMAN,DISTRICT,Communication,5 - 9,32,14,18
CHAMAN,CHAMAN,DISTRICT,Communication,>18,2036,1182,854
CHAMAN,CHAMAN,DISTRICT,Communication,>60,676,447,229
CHAMAN,CHAMAN,DISTRICT,Disability,0 - 4,98,20,78
CHAMAN,CHAMAN,DISTRICT,Disability,10 - 12,119,42,77
CHAMAN,CHAMAN,DISTRICT,Disability,13 - 14,90,19,71
CHAMAN,CHAMAN,DISTRICT,Disability,15 - 24,663,246,417
CHAMAN,CHAMAN,DISTRICT,Disability,15 - 49,3512,1614,1898
CHAMAN,CHAMAN,DISTRICT,Disability,25 - 40,1397,590,807
CHAMAN,CHAMAN,DISTRICT,Disability,41 - 60,3696,2071,1625
CHAMAN,CHAMAN,DISTRICT,Disability,5 - 16,409,125,284
CHAMAN,CHAMAN,DISTRICT,Disability,5 - 9,117,39,78
CHAMAN,CHAMAN,DISTRICT,Disability,>18,8656,4807,3849
CHAMAN,CHAMAN,DISTRICT,Disability,>60,3043,1949,1094
CHAMAN,CHAMAN,DISTRICT,Functional limitation,0 - 4,129,46,83
CHAMAN,CHAMAN,DISTRICT,Functional limitation,10 - 12,282,181,101
CHAMAN,CHAMAN,DISTRICT,Functional limitation,13 - 14,195,106,89
CHAMAN,CHAMAN,DISTRICT,Functional limitation,15 - 24,1403,810,593
CHAMAN,CHAMAN,DISTRICT,Functional limitation,15 - 49,9112,5543,3569
CHAMAN,CHAMAN,DISTRICT,Functional limitation,25 - 40,3266,1928,1338
CHAMAN,CHAMAN,DISTRICT,Functional limitation,41 - 60,10949,6963,3986
CHAMAN,CHAMAN,DISTRICT,Functional limitation,5 - 16,810,463,347
CHAMAN,CHAMAN,DISTRICT,Functional limitation,5 - 9,157,73,84
CHAMAN,CHAMAN,DISTRICT,Functional limitation,>18,22846,14533,8313
CHAMAN,CHAMAN,DISTRICT,Functional limitation,>60,7498,4987,2511
CHAMAN,CHAMAN,DISTRICT,Hearing,0 - 4,27,14,13
CHAMAN,CHAMAN,DISTRICT,Hearing,10 - 12,47,37,10
CHAMAN,CHAMAN,DISTRICT,Hearing,13 - 14,28,18,10
CHAMAN,CHAMAN,DISTRICT,Hearing,15 - 24,239,148,91
CHAMAN,CHAMAN,DISTRICT,Hearing,15 - 49,1661,1021,640
CHAMAN,CHAMAN,DISTRICT,Hearing,25 - 40,561,340,221
CHAMAN,CHAMAN,DISTRICT,Hearing,41 - 60,2091,1312,779
CHAMAN,CHAMAN,DISTRICT,Hearing,5 - 16,132,87,45
CHAMAN,CHAMAN,DISTRICT,Hearing,5 - 9,27,14,13
CHAMAN,CHAMAN,DISTRICT,Hearing,>18,4208,2658,1550
CHAMAN,CHAMAN,DISTRICT,Hearing,>60,1369,891,478
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,0 - 4,23,7,16
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,10 - 12,46,31,15
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,13 - 14,38,21,17
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,15 - 24,207,126,81
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,15 - 49,1268,739,529
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,25 - 40,468,249,219
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,41 - 60,1475,940,535
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,5 - 16,155,93,62
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,5 - 9,36,16,20
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,>18,3080,1925,1155
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,>60,984,649,335
CHAMAN,CHAMAN,DISTRICT,Population,0 - 4,95923,71601,24322
CHAMAN,CHAMAN,DISTRICT,Population,10 - 12,43393,31973,11420
CHAMAN,CHAMAN,DISTRICT,Population,13 - 14,26478,19394,7084
CHAMAN,CHAMAN,DISTRICT,Population,15 - 24,96673,67947,28726
