name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
HARIPUR,HARIPUR,DISTRICT,PUNJABI,11854,5540,6308,6,9451,4355,5096,,2403,1185,1212,6
HARIPUR,HARIPUR,DISTRICT,PUSHTO,172471,84383,88082,6,158452,77776,80673,3,14019,6607,7409,3
HARIPUR,HARIPUR,DISTRICT,SARAIKI,1390,646,742,2,1033,468,565,,357,178,177,2
HARIPUR,HARIPUR,DISTRICT,SHINA,563,272,291,,534,257,277,,29,15,14,
HARIPUR,HARIPUR,DISTRICT,SINDHI,827,395,432,,730,342,388,,97,53,44,
HARIPUR,HARIPUR,DISTRICT,TOTAL,1173056,582299,590712,45,1025696,508949,516732,15,147360,73350,73980,30
HARIPUR,HARIPUR,DISTRICT,URDU,23423,11843,11576,4,16846,8412,8434,,6577,3431,3142,4
KARAK,KARAK,DISTRICT,BALOCHI,882,484,398,,743,400,343,,139,84,55,
KARAK,KARAK,DISTRICT,BALTI,,,,,,,,,,,,
KARAK,KARAK,DISTRICT,BRAHVI,,,,,,,,,,,,
KARAK,KARAK,DISTRICT,HINDKO,3,2,1,,3,2,1,,,,,
KARAK,KARAK,DISTRICT,KALASHA,,,,,,,,,,,,
KARAK,KARAK,DISTRICT,KASHMIRI,15,4,11,,13,4,9,,2,,2,
KARAK,KARAK,DISTRICT,KOHIOSTANI,1,,1,,1,,1,,,,,
KARAK,KARAK,DISTRICT,MEWATI,,,,,,,,,,,,
KARAK,KARAK,DISTRICT,OTHERS,52,27,25,,35,20,15,,17,7,10,
KARAK,KARAK,DISTRICT,PUNJABI,243,129,114,,57,38,19,,186,91,95,
KARAK,KARAK,DISTRICT,PUSHTO,813352,393228,420113,11,755770,365503,390256,11,57582,27725,29857,
KARAK,KARAK,DISTRICT,SARAIKI,150,67,83,,101,49,52,,49,18,31,
KARAK,KARAK,DISTRICT,SHINA,,,,,,,,,,,,
KARAK,KARAK,DISTRICT,SINDHI,103,54,49,,83,46,37,,20,8,12,
KARAK,KARAK,DISTRICT,TOTAL,815150,394190,420949,11,757113,366230,390872,11,58037,27960,30077,
KARAK,KARAK,DISTRICT,URDU,349,195,154,,307,168,139,,42,27,15,
KHYBER,KHYBER,DISTRICT,BALOCHI,1043,523,520,,960,482,478,,83,41,42,
KHYBER,KHYBER,DISTRICT,BALTI,,,,,,,,,,,,
KHYBER,KHYBER,DISTRICT,BRAHVI,4,2,2,,,,,,4,2,2,
KHYBER,KHYBER,DISTRICT,HINDKO,48,28,20,,14,6,8,,34,22,12,
KHYBER,KHYBER,DISTRICT,KALASHA,,,,,,,,,,,,
KHYBER,KHYBER,DISTRICT,KASHMIRI,20,7,13,,8,4,4,,12,3,9,
KHYBER,KHYBER,DISTRICT,KOHIOSTANI,11,4,7,,11,4,7,,,,,
KHYBER,KHYBER,DISTRICT,MEWATI,,,,,,,,,,,,
KHYBER,KHYBER,DISTRICT,OTHERS,786,363,422,1,566,252,313,1,220,111,109,
KHYBER,KHYBER,DISTRICT,PUNJABI,765,380,385,,249,124,125,,516,256,260,
KHYBER,KHYBER,DISTRICT,PUSHTO,1142581,546184,596388,9,1049203,501852,547342,9,93378,44332,49046,
KHYBER,KHYBER,DISTRICT,SARAIKI,6,2,4,,2,2,,,4,,4,
KHYBER,KHYBER,DISTRICT,SHINA,2,1,1,,2,1,1,,,,,
KHYBER,KHYBER,DISTRICT,SINDHI,96,39,57,,89,35,54,,7,4,3,
KHYBER,KHYBER,DISTRICT,TOTAL,1145982,547841,598131,10,1051404,502918,548476,10,94578,44923,49655,
KHYBER,KHYBER,DISTRICT,URDU,620,308,312,,300,156,144,,320,152,168,
KOHAT,KOHAT,DISTRICT,BALOCHI,1086,567,519,,715,380,335,,371,187,184,
KOHAT,KOHAT,DISTRICT,BALTI,26,14,12,,3,3,,,23,11,12,
KOHAT,KOHAT,DISTRICT,BRAHVI,60,32,28,,29,17,12,,31,15,16,
KOHAT,KOHAT,DISTRICT,HINDKO,153441,75250,78187,4,106827,52720,54105,2,46614,22530,24082,2
KOHAT,KOHAT,DISTRICT,KALASHA,1,1,,,,,,,1,1,,
KOHAT,KOHAT,DISTRICT,KASHMIRI,181,76,105,,40,12,28,,141,64,77,
KOHAT,KOHAT,DISTRICT,KOHIOSTANI,33,16,17,,11,5,6,,22,11,11,
KOHAT,KOHAT,DISTRICT,MEWATI,,,,,,,,,,,,
KOHAT,KOHAT,DISTRICT,OTHERS,306,146,159,1,158,75,83,,148,71,76,1
KOHAT,KOHAT,DISTRICT,PUNJABI,6601,3115,3479,7,895,432,463,,5706,2683,3016,7
KOHAT,KOHAT,DISTRICT,PUSHTO,1060557,519674,540866,17,845123,416352,428764,7,215434,103322,112102,10
KOHAT,KOHAT,DISTRICT,SARAIKI,1400,649,751,,587,284,303,,813,365,448,
KOHAT,KOHAT,DISTRICT,SHINA,76,53,23,,26,23,3,,50,30,20,
KOHAT,KOHAT,DISTRICT,SINDHI,548,274,274,,95,48,47,,453,226,227,
KOHAT,KOHAT,DISTRICT,TOTAL,1234579,605021,629529,29,955880,471020,484851,9,278699,134001,144678,20
KOHAT,KOHAT,DISTRICT,URDU,10263,5154,5109,,1371,669,702,,8892,4485,4407,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,BALOCHI,16,6,10,,16,6,10,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,BALTI,13,8,5,,13,8,5,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,BRAHVI,2,1,1,,2,1,1,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,HINDKO,19,11,8,,19,11,8,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,KALASHA,14,7,7,,14,7,7,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,KASHMIRI,25,15,10,,25,15,10,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,KOHIOSTANI,201656,97053,104601,2,201656,97053,104601,2,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,MEWATI,8,5,3,,8,5,3,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,OTHERS,9531,4795,4736,,9531,4795,4736,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,PUNJABI,7,2,5,,7,2,5,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,PUSHTO,6647,3355,3292,,6647,3355,3292,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,SARAIKI,10,5,5,,10,5,5,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,SHINA,18337,9495,8842,,18337,9495,8842,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,SINDHI,12,4,8,,12,4,8,,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,TOTAL,236726,114982,121742,2,236726,114982,121742,2,,,,
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,URDU,429,220,209,,429,220,209,,,,,
KURRAM,KURRAM,DISTRICT,BALOCHI,940,501,439,,876,467,409,,64,34,30,
KURRAM,KURRAM,DISTRICT,BALTI,13,10,3,,7,7,,,6,3,3,
KURRAM,KURRAM,DISTRICT,BRAHVI,4,3,1,,4,3,1,,,,,
KURRAM,KURRAM,DISTRICT,HINDKO,62,31,30,1,62,31,30,1,,,,
KURRAM,KURRAM,DISTRICT,KALASHA,,,,,,,,,,,,
KURRAM,KURRAM,DISTRICT,KASHMIRI,159,76,83,,159,76,83,,,,,
KURRAM,KURRAM,DISTRICT,KOHIOSTANI,1,1,,,1,1,,,,,,
KURRAM,KURRAM,DISTRICT,MEWATI,5,2,3,,5,2,3,,,,,
KURRAM,KURRAM,DISTRICT,OTHERS,3573,1725,1848,,3434,1661,1773,,139,64,75,
KURRAM,KURRAM,DISTRICT,PUNJABI,569,275,294,,375,181,194,,194,94,100,
KURRAM,KURRAM,DISTRICT,PUSHTO,779102,375379,403709,14,734076,354290,379773,13,45026,21089,23936,1
KURRAM,KURRAM,DISTRICT,SARAIKI,101,53,48,,101,53,48,,,,,
KURRAM,KURRAM,DISTRICT,SHINA,40,31,9,,32,24,8,,8,7,1,
KURRAM,KURRAM,DISTRICT,SINDHI,238,113,125,,236,113,123,,2,,2,
KURRAM,KURRAM,DISTRICT,TOTAL,785434,378505,406914,15,739963,357202,382747,14,45471,21303,24167,1
KURRAM,KURRAM,DISTRICT,URDU,627,305,322,,595,293,302,,32,12,20,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,BALOCHI,893,469,424,,784,412,372,,109,57,52,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,BALTI,,,,,,,,,,,,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,BRAHVI,1,,1,,1,,1,,,,,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,HINDKO,488,260,228,,2,1,1,,486,259,227,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,KALASHA,6,5,1,,6,5,1,,,,,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,KASHMIRI,9,5,4,,9,5,4,,,,,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,KOHIOSTANI,,,,,,,,,,,,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,MEWATI,,,,,,,,,,,,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,OTHERS,35,16,19,,26,10,16,,9,6,3,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,PUNJABI,855,408,447,,527,245,282,,328,163,165,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,PUSHTO,1032760,509568,523179,13,932254,460022,472220,12,100506,49546,50959,1
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,SARAIKI,705,353,352,,408,204,204,,297,149,148,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,SHINA,,,,,,,,,,,,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,SINDHI,95,43,52,,86,40,46,,9,3,6,
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,TOTAL,1036300,511354,524933,13,934362,461077,473273,12,101938,50277,51660,1
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,URDU,453,227,226,,259,133,126,,194,94,100,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,BALOCHI,17,8,9,,14,6,8,,3,2,1,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,BALTI,2,2,,,2,2,,,,,,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,BRAHVI,,,,,,,,,,,,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,HINDKO,66,38,28,,24,11,13,,42,27,15,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,KALASHA,5065,2440,2625,,5014,2412,2602,,51,28,23,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,KASHMIRI,7,4,3,,5,4,1,,2,,2,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,KOHIOSTANI,1418,681,737,,1400,673,727,,18,8,10,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,MEWATI,1,,1,,,,,,1,,1,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,OTHERS,279298,136840,142458,,227074,111361,115713,,52224,25479,26745,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,PUNJABI,138,69,69,,35,23,12,,103,46,57,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,PUSHTO,29799,14404,15395,,26863,13042,13821,,2936,1362,1574,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,SARAIKI,8,6,2,,7,5,2,,1,1,,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,SHINA,52,30,22,,39,25,14,,13,5,8,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,SINDHI,6,4,2,,4,2,2,,2,2,,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,TOTAL,318234,155693,162541,,262710,128667,134043,,55524,27026,28498,
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,URDU,2357,1167,1190,,2229,1101,1128,,128,66,62,
LOWER DIR,LOWER DIR,DISTRICT,BALOCHI,1313,723,590,,1279,709,570,,34,14,20,
LOWER DIR,LOWER DIR,DISTRICT,BALTI,,,,,,,,,,,,
LOWER DIR,LOWER DIR,DISTRICT,BRAHVI,,,,,,,,,,,,
LOWER DIR,LOWER DIR,DISTRICT,HINDKO,281,146,135,,71,37,34,,210,109,101,
LOWER DIR,LOWER DIR,DISTRICT,KALASHA,18,14,4,,17,13,4,,1,1,,
LOWER DIR,LOWER DIR,DISTRICT,KASHMIRI,109,41,68,,95,32,63,,14,9,5,
LOWER DIR,LOWER DIR,DISTRICT,KOHIOSTANI,557,265,292,,492,236,256,,65,29,36,
LOWER DIR,LOWER DIR,DISTRICT,MEWATI,,,,,,,,,,,,
LOWER DIR,LOWER DIR,DISTRICT,OTHERS,3860,1949,1911,,3733,1886,1847,,127,63,64,
LOWER DIR,LOWER DIR,DISTRICT,PUNJABI,331,157,174,,136,69,67,,195,88,107,
