name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,35 - 39,BENGALI,1,1,,1,1,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,35 - 39,CHINESE,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,35 - 39,OTHERS,75,62,13,45,37,8,30,25,5,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,35 - 39,PAKISTANI,209781,149335,60446,103391,73427,29964,106357,75896,30461,33,12,21
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,40 - 44,AFGHANI,64,44,20,39,27,12,25,17,8,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,40 - 44,BENGALI,1,,1,1,,1,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,40 - 44,CHINESE,1,1,,,,,1,1,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,40 - 44,OTHERS,59,43,16,32,22,10,27,21,6,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,40 - 44,PAKISTANI,184665,132484,52181,90331,64724,25607,94300,67751,26549,34,9,25
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,45 - 49,AFGHANI,62,44,18,36,25,11,26,19,7,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,45 - 49,BENGALI,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,45 - 49,CHINESE,1,1,,1,1,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,45 - 49,OTHERS,59,52,7,31,25,6,28,27,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,45 - 49,PAKISTANI,146637,104265,42372,71015,50772,20243,75599,53485,22114,23,8,15
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,50 - 54,AFGHANI,41,30,11,17,10,7,24,20,4,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,50 - 54,BENGALI,1,,1,1,,1,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,50 - 54,CHINESE,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,50 - 54,OTHERS,38,31,7,16,13,3,22,18,4,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,50 - 54,PAKISTANI,133174,95527,37647,64145,46203,17942,69006,49316,19690,23,8,15
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,55 - 59,AFGHANI,50,37,13,26,20,6,24,17,7,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,55 - 59,BENGALI,1,1,,,,,1,1,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,55 - 59,CHINESE,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,55 - 59,OTHERS,33,26,7,11,10,1,22,16,6,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,55 - 59,PAKISTANI,107188,77034,30154,49200,35323,13877,57979,41710,16269,9,1,8
