name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
JHANG,JHANG,DISTRICT,Walking/ Climbing,125819,67384,58435,93506,50033,43473,32313,17351,14962
JHANG,JHANG,DISTRICT,Communication,43990,24270,19720,33192,18292,14900,10798,5978,4820
JHANG,JHANG,DISTRICT,Memorization/ Focus,59521,32058,27463,44749,24164,20585,14772,7894,6878
JHANG,JHANG,DISTRICT,Self care etc,45056,23630,21426,33739,17684,16055,11317,5946,5371
JHELUM,JHELUM,DISTRICT,Population,1366297,696081,670216,837927,425068,412859,528370,271013,257357
JHELUM,JHELUM,DISTRICT,Disability,67316,38934,28382,42900,24489,18411,24416,14445,9971
JHELUM,JHELUM,DISTRICT,Functional limitation,129984,70503,59481,82392,44207,38185,47592,26296,21296
JHELUM,JHELUM,DISTRICT,Seeing,24452,13058,11394,16587,8766,7821,7865,4292,3573
JHELUM,JHELUM,DISTRICT,Hearing,25103,13426,11677,16360,8709,7651,8743,4717,4026
JHELUM,JHELUM,DISTRICT,Walking/ Climbing,45571,25122,20449,28833,15801,13032,16738,9321,7417
JHELUM,JHELUM,DISTRICT,Communication,18428,10444,7984,12063,6780,5283,6365,3664,2701
JHELUM,JHELUM,DISTRICT,Memorization/ Focus,21532,11904,9628,13948,7594,6354,7584,4310,3274
JHELUM,JHELUM,DISTRICT,Self care etc,15092,8187,6905,9219,4924,4295,5873,3263,2610
KASUR,KASUR,DISTRICT,Population,4081568,2086311,1995257,2840199,1454497,1385702,1241369,631814,609555
KASUR,KASUR,DISTRICT,Disability,108621,58739,49882,77140,41114,36026,31481,17625,13856
KASUR,KASUR,DISTRICT,Functional limitation,377807,185655,192152,261931,128159,133772,115876,57496,58380
KASUR,KASUR,DISTRICT,Seeing,73185,36024,37161,51377,25307,26070,21808,10717,11091
KASUR,KASUR,DISTRICT,Hearing,78782,38374,40408,54046,26132,27914,24736,12242,12494
KASUR,KASUR,DISTRICT,Walking/ Climbing,123837,62894,60943,85891,43688,42203,37946,19206,18740
KASUR,KASUR,DISTRICT,Communication,41556,21785,19771,28880,14762,14118,12676,7023,5653
KASUR,KASUR,DISTRICT,Memorization/ Focus,56980,28578,28402,40014,19993,20021,16966,8585,8381
KASUR,KASUR,DISTRICT,Self care etc,40784,19655,21129,28417,13838,14579,12367,5817,6550
KHANEWAL,KHANEWAL,DISTRICT,Population,3363589,1734807,1628782,2646990,1367247,1279743,716599,367560,349039
KHANEWAL,KHANEWAL,DISTRICT,Disability,119105,68005,51100,93296,53154,40142,25809,14851,10958
KHANEWAL,KHANEWAL,DISTRICT,Functional limitation,431015,225016,205999,337514,176082,161432,93501,48934,44567
KHANEWAL,KHANEWAL,DISTRICT,Seeing,78248,40698,37550,61527,32077,29450,16721,8621,8100
KHANEWAL,KHANEWAL,DISTRICT,Hearing,92614,47967,44647,73139,37919,35220,19475,10048,9427
KHANEWAL,KHANEWAL,DISTRICT,Walking/ Climbing,132916,70953,61963,103782,55317,48465,29134,15636,13498
KHANEWAL,KHANEWAL,DISTRICT,Communication,46202,25454,20748,35739,19633,16106,10463,5821,4642
KHANEWAL,KHANEWAL,DISTRICT,Memorization/ Focus,64825,34346,30479,50808,26956,23852,14017,7390,6627
KHANEWAL,KHANEWAL,DISTRICT,Self care etc,48762,25086,23676,37761,19442,18319,11001,5644,5357
KHUSHAB,KHUSHAB,DISTRICT,Population,1500835,768055,732780,1082124,552391,529733,418711,215664,203047
KHUSHAB,KHUSHAB,DISTRICT,Disability,62373,34384,27989,45439,24797,20642,16934,9587,7347
KHUSHAB,KHUSHAB,DISTRICT,Functional limitation,183528,95315,88213,133338,68940,64398,50190,26375,23815
KHUSHAB,KHUSHAB,DISTRICT,Seeing,34841,18158,16683,25452,13234,12218,9389,4924,4465
KHUSHAB,KHUSHAB,DISTRICT,Hearing,37583,19565,18018,27461,14236,13225,10122,5329,4793
KHUSHAB,KHUSHAB,DISTRICT,Walking/ Climbing,63000,33251,29749,45670,23982,21688,17330,9269,8061
KHUSHAB,KHUSHAB,DISTRICT,Communication,21918,12096,9822,16159,8844,7315,5759,3252,2507
KHUSHAB,KHUSHAB,DISTRICT,Memorization/ Focus,28654,15266,13388,21024,11151,9873,7630,4115,3515
KHUSHAB,KHUSHAB,DISTRICT,Self care etc,19467,9909,9558,13830,7008,6822,5637,2901,2736
LAHORE,LAHORE,DISTRICT,Population,12978661,6872950,6105711,,,,12978661,6872950,6105711
LAHORE,LAHORE,DISTRICT,Disability,403707,229727,173980,,,,403707,229727,173980
LAHORE,LAHORE,DISTRICT,Functional limitation,1432780,764234,668546,,,,1432780,764234,668546
LAHORE,LAHORE,DISTRICT,Seeing,255140,135991,119149,,,,255140,135991,119149
LAHORE,LAHORE,DISTRICT,Hearing,299526,158680,140846,,,,299526,158680,140846
LAHORE,LAHORE,DISTRICT,Walking/ Climbing,435865,235617,200248,,,,435865,235617,200248
LAHORE,LAHORE,DISTRICT,Communication,145842,80707,65135,,,,145842,80707,65135
LAHORE,LAHORE,DISTRICT,Memorization/ Focus,208902,112807,96095,,,,208902,112807,96095
LAHORE,LAHORE,DISTRICT,Self care etc,171939,91434,80505,,,,171939,91434,80505
LAYYAH,LAYYAH,DISTRICT,Population,2102361,1082999,1019362,1716092,885176,830916,386269,197823,188446
LAYYAH,LAYYAH,DISTRICT,Disability,91499,49510,41989,75550,40895,34655,15949,8615,7334
LAYYAH,LAYYAH,DISTRICT,Functional limitation,224275,114499,109776,181821,92931,88890,42454,21568,20886
LAYYAH,LAYYAH,DISTRICT,Seeing,40833,21075,19758,33238,17163,16075,7595,3912,3683
LAYYAH,LAYYAH,DISTRICT,Hearing,44107,22512,21595,35563,18168,17395,8544,4344,4200
LAYYAH,LAYYAH,DISTRICT,Walking/ Climbing,75184,39379,35805,60970,31936,29034,14214,7443,6771
LAYYAH,LAYYAH,DISTRICT,Communication,26623,14503,12120,21714,11861,9853,4909,2642,2267
LAYYAH,LAYYAH,DISTRICT,Memorization/ Focus,34661,18086,16575,28121,14670,13451,6540,3416,3124
LAYYAH,LAYYAH,DISTRICT,Self care etc,25646,12834,12812,20714,10371,10343,4932,2463,2469
LODHRAN,LODHRAN,DISTRICT,Population,1926357,997031,929326,1603155,830808,772347,323202,166223,156979
LODHRAN,LODHRAN,DISTRICT,Disability,42812,25491,17321,35410,21007,14403,7402,4484,2918
LODHRAN,LODHRAN,DISTRICT,Functional limitation,137118,72759,64359,114093,60384,53709,23025,12375,10650
LODHRAN,LODHRAN,DISTRICT,Seeing,26671,14061,12610,22507,11826,10681,4164,2235,1929
LODHRAN,LODHRAN,DISTRICT,Hearing,30334,15823,14511,25422,13196,12226,4912,2627,2285
LODHRAN,LODHRAN,DISTRICT,Walking/ Climbing,45342,24766,20576,37805,20548,17257,7537,4218,3319
LODHRAN,LODHRAN,DISTRICT,Communication,18350,10366,7984,15372,8677,6695,2978,1689,1289
