name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,>60,1125,116,1009,,1077,112,965,,48,4,44,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,11 - 13,10702,4063,6639,,9356,3577,5779,,1346,486,860,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,14 - 15,6203,2201,4001,1,5470,2003,3466,1,733,198,535,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,15 - 24,28475,9815,18658,2,25354,8894,16459,1,3121,921,2199,1
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,15 - 49,58841,18684,40154,3,53353,16991,36361,1,5488,1693,3793,2
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,25 - 40,23701,7046,16655,,21900,6446,15454,,1801,600,1201,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,41 - 60,10712,3023,7688,1,9803,2727,7076,,909,296,612,1
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,5,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,5 - 16,33360,13051,20308,1,29506,11719,17786,1,3854,1332,2522,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,6 - 10,13453,5753,7700,,12020,5183,6837,,1433,570,863,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,>18,53969,16632,37335,2,49293,15108,34185,,4676,1524,3150,2
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate,>60,2764,752,2012,,2576,694,1882,,188,58,130,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,11 - 13,39.22,31.36,46.32,,38.5,30.59,45.83,,45.06,38.45,49.91,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,14 - 15,39.3,30.22,47.1,16.67,39.04,30.58,46.49,16.67,41.32,26.94,51.49,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,15 - 24,37.07,25.5,48.69,16.67,37.13,25.68,48.92,9.09,36.58,23.87,47.06,100
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,15 - 49,36.69,23.74,49.18,21.43,37,23.86,49.84,8.33,33.92,22.62,43.64,100
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,25 - 40,36.85,22.47,50.52,,37.38,22.55,51.5,,31.44,21.68,40.56,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,41 - 60,33.15,20.4,43.95,100,33.79,20.46,45.11,,27.55,19.85,33.87,100
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,5,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,5 - 16,27.81,23.09,32.01,14.29,27.5,22.84,31.78,14.29,30.39,25.59,33.73,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,6 - 10,24.33,21.87,26.57,,24.2,21.59,26.66,,25.48,24.84,25.92,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,>18,35.56,22.65,47.67,33.33,36.05,22.75,48.6,,31.13,21.68,39.43,100
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Literate %,>60,28.42,18.91,34.99,,29.4,19.52,36.16,,19.46,13.81,23.81,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),11 - 13,19971,10405,9566,,17533,9376,8157,,2438,1029,1409,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),14 - 15,11743,6024,5713,6,10221,5349,4866,6,1522,675,847,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),15 - 24,59716,33993,25712,11,52312,30352,21950,10,7404,3641,3762,1
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),15 - 49,126240,71513,54714,13,112167,64364,47792,11,14073,7149,6922,2
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),25 - 40,50932,29076,21855,1,45965,26404,19560,1,4967,2672,2295,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),41 - 60,26800,14174,12625,1,23838,12726,11112,,2962,1448,1513,1
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),5,11623,5525,6098,,10349,4986,5363,,1274,539,735,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),5 - 16,87617,46076,41534,7,77698,41742,35949,7,9919,4334,5585,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),6 - 10,38157,20933,17224,,34233,19174,15059,,3924,1759,2165,
