name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
KECH,DISTRICT,KECH,RURAL,"2,000 -- 4,999",80,256064,130423,125624,17,Rural Localities
KECH,DISTRICT,KECH,RURAL,"1,000 -- 1,999",54,76774,39000,37770,4,Rural Localities
KECH,DISTRICT,KECH,RURAL,500 -- 999,55,41066,21430,19632,4,Rural Localities
KECH,DISTRICT,KECH,RURAL,200 -- 499,43,14691,7704,6985,2,Rural Localities
KECH,DISTRICT,KECH,RURAL,LESS THAN 200,38,3622,1895,1727,,Rural Localities
KECH,DISTRICT,KECH,RURAL,UN-INHABITED,15,,,,,Rural Localities
KHARAN,DISTRICT,KHARAN,RURAL,OVERALL,177,179546,95343,84198,5,Rural Localities
KHARAN,DISTRICT,KHARAN,RURAL,"5,000 AND ABOVE",2,12213,6135,6078,,Rural Localities
KHARAN,DISTRICT,KHARAN,RURAL,"2,000 -- 4,999",23,70295,38065,32226,4,Rural Localities
KHARAN,DISTRICT,KHARAN,RURAL,"1,000 -- 1,999",29,41410,21730,19680,,Rural Localities
KHARAN,DISTRICT,KHARAN,RURAL,500 -- 999,53,38426,20244,18182,,Rural Localities
KHARAN,DISTRICT,KHARAN,RURAL,200 -- 499,43,13813,7372,6441,,Rural Localities
KHARAN,DISTRICT,KHARAN,RURAL,LESS THAN 200,27,3389,1797,1591,1,Rural Localities
KHARAN,DISTRICT,KHARAN,RURAL,UN-INHABITED,,,,,,Rural Localities
KHUZDAR,DISTRICT,KHUZDAR,RURAL,OVERALL,1054,632836,341182,291627,27,Rural Localities
KHUZDAR,DISTRICT,KHUZDAR,RURAL,"5,000 AND ABOVE",4,21878,13055,8817,6,Rural Localities
KHUZDAR,DISTRICT,KHUZDAR,RURAL,"2,000 -- 4,999",58,170379,93763,76606,10,Rural Localities
KHUZDAR,DISTRICT,KHUZDAR,RURAL,"1,000 -- 1,999",121,165622,88076,77544,2,Rural Localities
KHUZDAR,DISTRICT,KHUZDAR,RURAL,500 -- 999,200,144296,76907,67388,1,Rural Localities
KHUZDAR,DISTRICT,KHUZDAR,RURAL,200 -- 499,289,95119,50550,44562,7,Rural Localities
KHUZDAR,DISTRICT,KHUZDAR,RURAL,LESS THAN 200,379,35542,18831,16710,1,Rural Localities
KHUZDAR,DISTRICT,KHUZDAR,RURAL,UN-INHABITED,3,,,,,Rural Localities
KILLA ABDULLAH,DISTRICT,KILLA ABDULLAH,RURAL,OVERALL,69,326587,169447,157126,14,Rural Localities
KILLA ABDULLAH,DISTRICT,KILLA ABDULLAH,RURAL,"5,000 AND ABOVE",17,267113,138235,128867,11,Rural Localities
KILLA ABDULLAH,DISTRICT,KILLA ABDULLAH,RURAL,"2,000 -- 4,999",9,29729,15658,14071,,Rural Localities
KILLA ABDULLAH,DISTRICT,KILLA ABDULLAH,RURAL,"1,000 -- 1,999",12,18765,9723,9040,2,Rural Localities
KILLA ABDULLAH,DISTRICT,KILLA ABDULLAH,RURAL,500 -- 999,10,7252,3818,3434,,Rural Localities
KILLA ABDULLAH,DISTRICT,KILLA ABDULLAH,RURAL,200 -- 499,12,3321,1808,1512,1,Rural Localities
KILLA ABDULLAH,DISTRICT,KILLA ABDULLAH,RURAL,LESS THAN 200,8,407,205,202,,Rural Localities
KILLA ABDULLAH,DISTRICT,KILLA ABDULLAH,RURAL,UN-INHABITED,1,,,,,Rural Localities
KILLA SAIFULLAH,DISTRICT,KILLA SAIFULLAH,RURAL,OVERALL,143,316025,166447,149577,1,Rural Localities
KILLA SAIFULLAH,DISTRICT,KILLA SAIFULLAH,RURAL,"5,000 AND ABOVE",12,153120,82094,71026,,Rural Localities
KILLA SAIFULLAH,DISTRICT,KILLA SAIFULLAH,RURAL,"2,000 -- 4,999",27,89154,45712,43441,1,Rural Localities
KILLA SAIFULLAH,DISTRICT,KILLA SAIFULLAH,RURAL,"1,000 -- 1,999",26,38739,20520,18219,,Rural Localities
KILLA SAIFULLAH,DISTRICT,KILLA SAIFULLAH,RURAL,500 -- 999,32,23821,12250,11571,,Rural Localities
KILLA SAIFULLAH,DISTRICT,KILLA SAIFULLAH,RURAL,200 -- 499,25,8119,4207,3912,,Rural Localities
KILLA SAIFULLAH,DISTRICT,KILLA SAIFULLAH,RURAL,LESS THAN 200,21,3072,1664,1408,,Rural Localities
KILLA SAIFULLAH,DISTRICT,KILLA SAIFULLAH,RURAL,UN-INHABITED,,,,,,Rural Localities
KOHLU,DISTRICT,KOHLU,RURAL,OVERALL,196,241242,127186,114040,16,Rural Localities
KOHLU,DISTRICT,KOHLU,RURAL,"5,000 AND ABOVE",8,63253,31739,31513,1,Rural Localities
KOHLU,DISTRICT,KOHLU,RURAL,"2,000 -- 4,999",10,31519,16748,14770,1,Rural Localities
KOHLU,DISTRICT,KOHLU,RURAL,"1,000 -- 1,999",50,63573,33743,29825,5,Rural Localities
KOHLU,DISTRICT,KOHLU,RURAL,500 -- 999,100,74349,40530,33810,9,Rural Localities
KOHLU,DISTRICT,KOHLU,RURAL,200 -- 499,22,7716,4011,3705,,Rural Localities
KOHLU,DISTRICT,KOHLU,RURAL,LESS THAN 200,6,832,415,417,,Rural Localities
KOHLU,DISTRICT,KOHLU,RURAL,UN-INHABITED,,,,,,Rural Localities
LASBELA,DISTRICT,LASBELA,RURAL,OVERALL,264,350392,178792,171587,13,Rural Localities
LASBELA,DISTRICT,LASBELA,RURAL,"5,000 AND ABOVE",9,81257,40600,40651,6,Rural Localities
LASBELA,DISTRICT,LASBELA,RURAL,"2,000 -- 4,999",38,113046,57543,55498,5,Rural Localities
LASBELA,DISTRICT,LASBELA,RURAL,"1,000 -- 1,999",66,92192,47876,44316,,Rural Localities
LASBELA,DISTRICT,LASBELA,RURAL,500 -- 999,61,43832,22517,21314,1,Rural Localities
LASBELA,DISTRICT,LASBELA,RURAL,200 -- 499,48,17028,8766,8262,,Rural Localities
LASBELA,DISTRICT,LASBELA,RURAL,LESS THAN 200,30,3037,1490,1546,1,Rural Localities
LASBELA,DISTRICT,LASBELA,RURAL,UN-INHABITED,12,,,,,Rural Localities
LORALAI,DISTRICT,LORALAI,RURAL,OVERALL,175,212831,111752,101063,16,Rural Localities
LORALAI,DISTRICT,LORALAI,RURAL,"5,000 AND ABOVE",6,88303,46896,41406,1,Rural Localities
LORALAI,DISTRICT,LORALAI,RURAL,"2,000 -- 4,999",13,41850,21872,19977,1,Rural Localities
LORALAI,DISTRICT,LORALAI,RURAL,"1,000 -- 1,999",27,37311,19345,17962,4,Rural Localities
LORALAI,DISTRICT,LORALAI,RURAL,500 -- 999,31,21272,10887,10382,3,Rural Localities
LORALAI,DISTRICT,LORALAI,RURAL,200 -- 499,57,19532,10390,9135,7,Rural Localities
LORALAI,DISTRICT,LORALAI,RURAL,LESS THAN 200,41,4563,2362,2201,,Rural Localities
LORALAI,DISTRICT,LORALAI,RURAL,UN-INHABITED,,,,,,Rural Localities
MASTUNG,DISTRICT,MASTUNG,RURAL,OVERALL,253,272897,145321,127573,3,Rural Localities
MASTUNG,DISTRICT,MASTUNG,RURAL,"5,000 AND ABOVE",7,43520,23275,20245,,Rural Localities
MASTUNG,DISTRICT,MASTUNG,RURAL,"2,000 -- 4,999",29,87686,46341,41343,2,Rural Localities
MASTUNG,DISTRICT,MASTUNG,RURAL,"1,000 -- 1,999",43,59138,31379,27759,,Rural Localities
MASTUNG,DISTRICT,MASTUNG,RURAL,500 -- 999,82,60288,32322,27965,1,Rural Localities
MASTUNG,DISTRICT,MASTUNG,RURAL,200 -- 499,55,18637,10042,8595,,Rural Localities
MASTUNG,DISTRICT,MASTUNG,RURAL,LESS THAN 200,36,3628,1962,1666,,Rural Localities
MASTUNG,DISTRICT,MASTUNG,RURAL,UN-INHABITED,1,,,,,Rural Localities
MUSAKHEL,DISTRICT,MUSAKHEL,RURAL,OVERALL,66,166470,88205,78262,3,Rural Localities
MUSAKHEL,DISTRICT,MUSAKHEL,RURAL,"5,000 AND ABOVE",11,77678,40330,37348,,Rural Localities
MUSAKHEL,DISTRICT,MUSAKHEL,RURAL,"2,000 -- 4,999",19,53069,28920,24146,3,Rural Localities
MUSAKHEL,DISTRICT,MUSAKHEL,RURAL,"1,000 -- 1,999",15,21739,11647,10092,,Rural Localities
MUSAKHEL,DISTRICT,MUSAKHEL,RURAL,500 -- 999,17,12672,6629,6043,,Rural Localities
MUSAKHEL,DISTRICT,MUSAKHEL,RURAL,200 -- 499,4,1312,679,633,,Rural Localities
MUSAKHEL,DISTRICT,MUSAKHEL,RURAL,LESS THAN 200,,,,,,Rural Localities
MUSAKHEL,DISTRICT,MUSAKHEL,RURAL,UN-INHABITED,,,,,,Rural Localities
NASIRABAD,DISTRICT,NASIRABAD,RURAL,OVERALL,172,456363,234470,221877,16,Rural Localities
NASIRABAD,DISTRICT,NASIRABAD,RURAL,"5,000 AND ABOVE",18,264981,135107,129863,11,Rural Localities
NASIRABAD,DISTRICT,NASIRABAD,RURAL,"2,000 -- 4,999",29,95353,49424,45926,3,Rural Localities
NASIRABAD,DISTRICT,NASIRABAD,RURAL,"1,000 -- 1,999",40,57363,30044,27318,1,Rural Localities
NASIRABAD,DISTRICT,NASIRABAD,RURAL,500 -- 999,33,24919,12653,12265,1,Rural Localities
NASIRABAD,DISTRICT,NASIRABAD,RURAL,200 -- 499,32,11990,6343,5647,,Rural Localities
NASIRABAD,DISTRICT,NASIRABAD,RURAL,LESS THAN 200,20,1757,899,858,,Rural Localities
NASIRABAD,DISTRICT,NASIRABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
NUSHKI,DISTRICT,NUSHKI,RURAL,OVERALL,44,159262,82801,76457,4,Rural Localities
NUSHKI,DISTRICT,NUSHKI,RURAL,"5,000 AND ABOVE",10,110262,57735,52525,2,Rural Localities
NUSHKI,DISTRICT,NUSHKI,RURAL,"2,000 -- 4,999",12,35072,17932,17139,1,Rural Localities
NUSHKI,DISTRICT,NUSHKI,RURAL,"1,000 -- 1,999",6,9172,4645,4526,1,Rural Localities
NUSHKI,DISTRICT,NUSHKI,RURAL,500 -- 999,3,2311,1188,1123,,Rural Localities
NUSHKI,DISTRICT,NUSHKI,RURAL,200 -- 499,8,2404,1279,1125,,Rural Localities
NUSHKI,DISTRICT,NUSHKI,RURAL,LESS THAN 200,2,41,22,19,,Rural Localities
NUSHKI,DISTRICT,NUSHKI,RURAL,UN-INHABITED,3,,,,,Rural Localities
PANJGUR,DISTRICT,PANJGUR,RURAL,OVERALL,67,352088,184562,167494,32,Rural Localities
PANJGUR,DISTRICT,PANJGUR,RURAL,"5,000 AND ABOVE",19,265261,134621,130622,18,Rural Localities
PANJGUR,DISTRICT,PANJGUR,RURAL,"2,000 -- 4,999",19,53140,28648,24485,7,Rural Localities
PANJGUR,DISTRICT,PANJGUR,RURAL,"1,000 -- 1,999",20,26393,16569,9819,5,Rural Localities
PANJGUR,DISTRICT,PANJGUR,RURAL,500 -- 999,9,7294,4724,2568,2,Rural Localities
PANJGUR,DISTRICT,PANJGUR,RURAL,200 -- 499,,,,,,Rural Localities
PANJGUR,DISTRICT,PANJGUR,RURAL,LESS THAN 200,,,,,,Rural Localities
PANJGUR,DISTRICT,PANJGUR,RURAL,UN-INHABITED,,,,,,Rural Localities
PISHIN,DISTRICT,PISHIN,RURAL,OVERALL,373,591697,302354,289328,15,Rural Localities
PISHIN,DISTRICT,PISHIN,RURAL,"5,000 AND ABOVE",31,352169,177856,174308,5,Rural Localities
PISHIN,DISTRICT,PISHIN,RURAL,"2,000 -- 4,999",29,99806,51219,48586,1,Rural Localities
PISHIN,DISTRICT,PISHIN,RURAL,"1,000 -- 1,999",39,57452,29945,27505,2,Rural Localities
PISHIN,DISTRICT,PISHIN,RURAL,500 -- 999,61,42652,22490,20159,3,Rural Localities
PISHIN,DISTRICT,PISHIN,RURAL,200 -- 499,86,26926,14109,12813,4,Rural Localities
PISHIN,DISTRICT,PISHIN,RURAL,LESS THAN 200,127,12692,6735,5957,,Rural Localities
PISHIN,DISTRICT,PISHIN,RURAL,UN-INHABITED,,,,,,Rural Localities
QUETTA,DISTRICT,QUETTA,RURAL,OVERALL,65,1029946,526415,503502,29,Rural Localities
QUETTA,DISTRICT,QUETTA,RURAL,"5,000 AND ABOVE",29,989584,505966,483589,29,Rural Localities
QUETTA,DISTRICT,QUETTA,RURAL,"2,000 -- 4,999",7,22490,10971,11519,,Rural Localities
QUETTA,DISTRICT,QUETTA,RURAL,"1,000 -- 1,999",5,7555,4149,3406,,Rural Localities
QUETTA,DISTRICT,QUETTA,RURAL,500 -- 999,8,5920,3038,2882,,Rural Localities
QUETTA,DISTRICT,QUETTA,RURAL,200 -- 499,11,3775,1962,1813,,Rural Localities
QUETTA,DISTRICT,QUETTA,RURAL,LESS THAN 200,5,622,329,293,,Rural Localities
QUETTA,DISTRICT,QUETTA,RURAL,UN-INHABITED,,,,,,Rural Localities
SHERANI,DISTRICT,SHERANI,RURAL,OVERALL,181,191687,105345,86336,6,Rural Localities
SHERANI,DISTRICT,SHERANI,RURAL,"5,000 AND ABOVE",3,21297,11763,9530,4,Rural Localities
SHERANI,DISTRICT,SHERANI,RURAL,"2,000 -- 4,999",17,52737,29338,23397,2,Rural Localities
SHERANI,DISTRICT,SHERANI,RURAL,"1,000 -- 1,999",46,64669,35558,29111,,Rural Localities
SHERANI,DISTRICT,SHERANI,RURAL,500 -- 999,47,34092,18612,15480,,Rural Localities
SHERANI,DISTRICT,SHERANI,RURAL,200 -- 499,48,16654,8875,7779,,Rural Localities
SHERANI,DISTRICT,SHERANI,RURAL,LESS THAN 200,20,2238,1199,1039,,Rural Localities
SHERANI,DISTRICT,SHERANI,RURAL,UN-INHABITED,,,,,,Rural Localities
SIBI,DISTRICT,SIBI,RURAL,OVERALL,160,154848,79939,74904,5,Rural Localities
SIBI,DISTRICT,SIBI,RURAL,"5,000 AND ABOVE",6,57758,30275,27482,1,Rural Localities
SIBI,DISTRICT,SIBI,RURAL,"2,000 -- 4,999",11,36380,18957,17421,2,Rural Localities
SIBI,DISTRICT,SIBI,RURAL,"1,000 -- 1,999",14,19064,9430,9634,,Rural Localities
SIBI,DISTRICT,SIBI,RURAL,500 -- 999,33,23879,12132,11747,,Rural Localities
SIBI,DISTRICT,SIBI,RURAL,200 -- 499,36,11381,5868,5513,,Rural Localities
SIBI,DISTRICT,SIBI,RURAL,LESS THAN 200,60,6386,3277,3107,2,Rural Localities
SIBI,DISTRICT,SIBI,RURAL,UN-INHABITED,,,,,,Rural Localities
SOHBATPUR,DISTRICT,SOHBATPUR,RURAL,OVERALL,45,225378,114379,110997,2,Rural Localities
SOHBATPUR,DISTRICT,SOHBATPUR,RURAL,"5,000 AND ABOVE",18,156771,79471,77298,2,Rural Localities
SOHBATPUR,DISTRICT,SOHBATPUR,RURAL,"2,000 -- 4,999",14,48726,24878,23848,,Rural Localities
SOHBATPUR,DISTRICT,SOHBATPUR,RURAL,"1,000 -- 1,999",12,19275,9747,9528,,Rural Localities
SOHBATPUR,DISTRICT,SOHBATPUR,RURAL,500 -- 999,1,606,283,323,,Rural Localities
SOHBATPUR,DISTRICT,SOHBATPUR,RURAL,200 -- 499,,,,,,Rural Localities
SOHBATPUR,DISTRICT,SOHBATPUR,RURAL,LESS THAN 200,,,,,,Rural Localities
SOHBATPUR,DISTRICT,SOHBATPUR,RURAL,UN-INHABITED,,,,,,Rural Localities
SURAB,DISTRICT,SURAB,RURAL,OVERALL,216,242570,124517,118035,18,Rural Localities
SURAB,DISTRICT,SURAB,RURAL,"5,000 AND ABOVE",6,42958,22895,20063,,Rural Localities
SURAB,DISTRICT,SURAB,RURAL,"2,000 -- 4,999",25,80013,41372,38635,6,Rural Localities
SURAB,DISTRICT,SURAB,RURAL,"1,000 -- 1,999",40,55558,28146,27411,1,Rural Localities
SURAB,DISTRICT,SURAB,RURAL,500 -- 999,54,39927,20031,19890,6,Rural Localities
SURAB,DISTRICT,SURAB,RURAL,200 -- 499,64,21247,10596,10646,5,Rural Localities
SURAB,DISTRICT,SURAB,RURAL,LESS THAN 200,27,2867,1477,1390,,Rural Localities
SURAB,DISTRICT,SURAB,RURAL,UN-INHABITED,,,,,,Rural Localities
WASHUK,DISTRICT,WASHUK,RURAL,OVERALL,200,261516,141885,119606,25,Rural Localities
WASHUK,DISTRICT,WASHUK,RURAL,"5,000 AND ABOVE",7,59206,32090,27113,3,Rural Localities
WASHUK,DISTRICT,WASHUK,RURAL,"2,000 -- 4,999",34,96570,52287,44275,8,Rural Localities
WASHUK,DISTRICT,WASHUK,RURAL,"1,000 -- 1,999",42,53848,29437,24404,7,Rural Localities
WASHUK,DISTRICT,WASHUK,RURAL,500 -- 999,49,36009,19423,16580,6,Rural Localities
WASHUK,DISTRICT,WASHUK,RURAL,200 -- 499,35,12174,6661,5512,1,Rural Localities
WASHUK,DISTRICT,WASHUK,RURAL,LESS THAN 200,32,3709,1987,1722,,Rural Localities
