name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
MATIARI,DISTRICT,MATIARI,RURAL,UN-INHABITED,,,,,,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,OVERALL,404,1189211,623980,565211,20,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,"5,000 AND ABOVE",47,347164,182000,165159,5,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,"2,000 -- 4,999",205,634332,333131,301193,8,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,"1,000 -- 1,999",118,181526,94900,86620,6,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,500 -- 999,32,25897,13798,12098,1,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,200 -- 499,1,292,151,141,,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,LESS THAN 200,,,,,,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,UN-INHABITED,1,,,,,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,OVERALL,220,1269838,645506,624301,31,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,"5,000 AND ABOVE",112,1009678,512323,497329,26,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,"2,000 -- 4,999",61,220062,112363,107695,4,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,"1,000 -- 1,999",19,28569,14740,13828,1,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,500 -- 999,10,7409,3878,3531,,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,200 -- 499,11,3493,1849,1644,,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,LESS THAN 200,6,627,353,274,,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,UN-INHABITED,1,,,,,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,OVERALL,346,1677683,853652,823997,34,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,"5,000 AND ABOVE",126,1117251,567403,549826,22,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,"2,000 -- 4,999",139,454601,231981,222611,9,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,"1,000 -- 1,999",58,90194,46124,44068,2,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,500 -- 999,19,14285,7419,6865,1,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,200 -- 499,4,1352,725,627,,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,LESS THAN 200,,,,,,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,UN-INHABITED,,,,,,Rural Localities
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,RURAL,OVERALL,293,1246982,633470,613492,20,Rural Localities
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,RURAL,"5,000 AND ABOVE",81,695153,353691,341448,14,Rural Localities
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,RURAL,"2,000 -- 4,999",144,470512,238815,231691,6,Rural Localities
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,RURAL,"1,000 -- 1,999",40,61812,31010,30802,,Rural Localities
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,RURAL,500 -- 999,21,17604,8930,8674,,Rural Localities
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,RURAL,200 -- 499,6,1765,959,806,,Rural Localities
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,RURAL,LESS THAN 200,1,136,65,71,,Rural Localities
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
SHIKARPUR,DISTRICT,SHIKARPUR,RURAL,OVERALL,238,1067592,543327,524238,27,Rural Localities
SHIKARPUR,DISTRICT,SHIKARPUR,RURAL,"5,000 AND ABOVE",81,636998,326291,310690,17,Rural Localities
SHIKARPUR,DISTRICT,SHIKARPUR,RURAL,"2,000 -- 4,999",109,373739,188561,185168,10,Rural Localities
SHIKARPUR,DISTRICT,SHIKARPUR,RURAL,"1,000 -- 1,999",29,43711,21947,21764,,Rural Localities
SHIKARPUR,DISTRICT,SHIKARPUR,RURAL,500 -- 999,14,11616,5774,5842,,Rural Localities
SHIKARPUR,DISTRICT,SHIKARPUR,RURAL,200 -- 499,4,1342,665,677,,Rural Localities
SHIKARPUR,DISTRICT,SHIKARPUR,RURAL,LESS THAN 200,1,186,89,97,,Rural Localities
SHIKARPUR,DISTRICT,SHIKARPUR,RURAL,UN-INHABITED,,,,,,Rural Localities
SUJAWAL,DISTRICT,SUJAWAL,RURAL,OVERALL,388,750445,391782,358647,16,Rural Localities
SUJAWAL,DISTRICT,SUJAWAL,RURAL,"5,000 AND ABOVE",17,103843,53537,50306,,Rural Localities
SUJAWAL,DISTRICT,SUJAWAL,RURAL,"2,000 -- 4,999",149,463156,241161,221983,12,Rural Localities
SUJAWAL,DISTRICT,SUJAWAL,RURAL,"1,000 -- 1,999",93,136680,72440,64236,4,Rural Localities
SUJAWAL,DISTRICT,SUJAWAL,RURAL,500 -- 999,47,35964,18999,16965,,Rural Localities
SUJAWAL,DISTRICT,SUJAWAL,RURAL,200 -- 499,25,9097,4718,4379,,Rural Localities
SUJAWAL,DISTRICT,SUJAWAL,RURAL,LESS THAN 200,18,1705,927,778,,Rural Localities
SUJAWAL,DISTRICT,SUJAWAL,RURAL,UN-INHABITED,39,,,,,Rural Localities
SUKKUR,DISTRICT,SUKKUR,RURAL,OVERALL,260,824898,438544,386337,17,Rural Localities
SUKKUR,DISTRICT,SUKKUR,RURAL,"5,000 AND ABOVE",57,464372,246427,217938,7,Rural Localities
SUKKUR,DISTRICT,SUKKUR,RURAL,"2,000 -- 4,999",79,268465,142972,125485,8,Rural Localities
SUKKUR,DISTRICT,SUKKUR,RURAL,"1,000 -- 1,999",45,65798,35177,30621,,Rural Localities
SUKKUR,DISTRICT,SUKKUR,RURAL,500 -- 999,24,18289,9702,8586,1,Rural Localities
SUKKUR,DISTRICT,SUKKUR,RURAL,200 -- 499,16,5547,2959,2587,1,Rural Localities
SUKKUR,DISTRICT,SUKKUR,RURAL,LESS THAN 200,37,2427,1307,1120,,Rural Localities
SUKKUR,DISTRICT,SUKKUR,RURAL,UN-INHABITED,2,,,,,Rural Localities
TANDO ALLAHYAR,DISTRICT,TANDO ALLAHYAR,RURAL,OVERALL,82,636325,324197,312124,4,Rural Localities
TANDO ALLAHYAR,DISTRICT,TANDO ALLAHYAR,RURAL,"5,000 AND ABOVE",61,561450,286345,275103,2,Rural Localities
TANDO ALLAHYAR,DISTRICT,TANDO ALLAHYAR,RURAL,"2,000 -- 4,999",19,72639,36721,35916,2,Rural Localities
TANDO ALLAHYAR,DISTRICT,TANDO ALLAHYAR,RURAL,"1,000 -- 1,999",1,1300,662,638,,Rural Localities
TANDO ALLAHYAR,DISTRICT,TANDO ALLAHYAR,RURAL,500 -- 999,1,936,469,467,,Rural Localities
TANDO ALLAHYAR,DISTRICT,TANDO ALLAHYAR,RURAL,200 -- 499,,,,,,Rural Localities
TANDO ALLAHYAR,DISTRICT,TANDO ALLAHYAR,RURAL,LESS THAN 200,,,,,,Rural Localities
