name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
MANSEHRA,DISTRICT,MANSEHRA,RURAL,OVERALL,396,1642343,832604,809696,43,Rural Localities
MANSEHRA,DISTRICT,MANSEHRA,RURAL,"5,000 AND ABOVE",109,1151579,586206,565337,36,Rural Localities
MANSEHRA,DISTRICT,MANSEHRA,RURAL,"2,000 -- 4,999",95,305923,153792,152128,3,Rural Localities
MANSEHRA,DISTRICT,MANSEHRA,RURAL,"1,000 -- 1,999",91,131140,65476,65661,3,Rural Localities
MANSEHRA,DISTRICT,MANSEHRA,RURAL,500 -- 999,55,40636,20654,19981,1,Rural Localities
MANSEHRA,DISTRICT,MANSEHRA,RURAL,200 -- 499,34,12323,6102,6221,,Rural Localities
MANSEHRA,DISTRICT,MANSEHRA,RURAL,LESS THAN 200,9,742,374,368,,Rural Localities
MANSEHRA,DISTRICT,MANSEHRA,RURAL,UN-INHABITED,3,,,,,Rural Localities
MARDAN,DISTRICT,MARDAN,RURAL,OVERALL,169,2291556,1174376,1117161,19,Rural Localities
MARDAN,DISTRICT,MARDAN,RURAL,"5,000 AND ABOVE",125,2191307,1123859,1067430,18,Rural Localities
MARDAN,DISTRICT,MARDAN,RURAL,"2,000 -- 4,999",26,84715,42502,42212,1,Rural Localities
MARDAN,DISTRICT,MARDAN,RURAL,"1,000 -- 1,999",8,11240,5763,5477,,Rural Localities
MARDAN,DISTRICT,MARDAN,RURAL,500 -- 999,5,3442,1787,1655,,Rural Localities
MARDAN,DISTRICT,MARDAN,RURAL,200 -- 499,1,339,189,150,,Rural Localities
MARDAN,DISTRICT,MARDAN,RURAL,LESS THAN 200,4,513,276,237,,Rural Localities
MARDAN,DISTRICT,MARDAN,RURAL,UN-INHABITED,,,,,,Rural Localities
MOHMAND,DISTRICT,MOHMAND,RURAL,OVERALL,72,553933,281384,272543,6,Rural Localities
MOHMAND,DISTRICT,MOHMAND,RURAL,"5,000 AND ABOVE",39,459918,233837,226077,4,Rural Localities
MOHMAND,DISTRICT,MOHMAND,RURAL,"2,000 -- 4,999",23,85618,43221,42396,1,Rural Localities
MOHMAND,DISTRICT,MOHMAND,RURAL,"1,000 -- 1,999",3,4492,2328,2163,1,Rural Localities
