name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
RAWALPINDI,DISTRICT,RAWALPINDI,RURAL,"1,000 -- 1,999",254,367859,179757,188099,3,Rural Localities
RAWALPINDI,DISTRICT,RAWALPINDI,RURAL,500 -- 999,227,165461,81407,84050,4,Rural Localities
RAWALPINDI,DISTRICT,RAWALPINDI,RURAL,200 -- 499,128,46208,22838,23370,,Rural Localities
RAWALPINDI,DISTRICT,RAWALPINDI,RURAL,LESS THAN 200,107,8490,4399,4091,,Rural Localities
RAWALPINDI,DISTRICT,RAWALPINDI,RURAL,UN-INHABITED,30,,,,,Rural Localities
SAHIWAL,DISTRICT,SAHIWAL,RURAL,OVERALL,510,2124180,1077085,1047008,87,Rural Localities
SAHIWAL,DISTRICT,SAHIWAL,RURAL,"5,000 AND ABOVE",164,1206028,612263,593705,60,Rural Localities
SAHIWAL,DISTRICT,SAHIWAL,RURAL,"2,000 -- 4,999",228,811847,410467,401356,24,Rural Localities
SAHIWAL,DISTRICT,SAHIWAL,RURAL,"1,000 -- 1,999",48,72851,37169,35680,2,Rural Localities
SAHIWAL,DISTRICT,SAHIWAL,RURAL,500 -- 999,35,25814,13145,12669,,Rural Localities
SAHIWAL,DISTRICT,SAHIWAL,RURAL,200 -- 499,20,6897,3644,3252,1,Rural Localities
SAHIWAL,DISTRICT,SAHIWAL,RURAL,LESS THAN 200,13,743,397,346,,Rural Localities
SAHIWAL,DISTRICT,SAHIWAL,RURAL,UN-INHABITED,2,,,,,Rural Localities
