name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
GHOTKI,DISTRICT,15 - 19,DIVORCED,36,28,8,0,27,20,7,0,9,8,1,0
GHOTKI,DISTRICT,15 - 19,MARRIED,33728,22347,11381,0,28703,18862,9841,0,5025,3485,1540,0
GHOTKI,DISTRICT,15 - 19,NEVER MARRIED,155632,65477,90146,9,117891,48819,69064,8,37741,16658,21082,1
GHOTKI,DISTRICT,15 - 19,SEPERATION,59,27,32,0,47,20,27,0,12,7,5,0
GHOTKI,DISTRICT,15 - 19,WIDOWED,82,40,42,0,69,33,36,0,13,7,6,0
GHOTKI,DISTRICT,20 - 24,DIVORCED,167,128,39,0,104,80,24,0,63,48,15,0
GHOTKI,DISTRICT,20 - 24,MARRIED,96678,58744,37934,0,79862,48063,31799,0,16816,10681,6135,0
GHOTKI,DISTRICT,20 - 24,NEVER MARRIED,60199,18598,41597,4,41289,11616,29671,2,18910,6982,11926,2
GHOTKI,DISTRICT,20 - 24,SEPERATION,51,26,25,0,38,18,20,0,13,8,5,0
GHOTKI,DISTRICT,20 - 24,WIDOWED,306,169,137,0,265,146,119,0,41,23,18,0
GHOTKI,DISTRICT,25 - 29,DIVORCED,180,105,75,0,107,65,42,0,73,40,33,0
GHOTKI,DISTRICT,25 - 29,MARRIED,101224,52942,48282,0,79648,41246,38402,0,21576,11696,9880,0
GHOTKI,DISTRICT,25 - 29,NEVER MARRIED,21620,5847,15768,5,14063,3356,10705,2,7557,2491,5063,3
GHOTKI,DISTRICT,25 - 29,SEPERATION,89,42,47,0,65,30,35,0,24,12,12,0
GHOTKI,DISTRICT,25 - 29,WIDOWED,472,265,207,0,395,213,182,0,77,52,25,0
GHOTKI,DISTRICT,30 - 34,DIVORCED,170,113,57,0,102,67,35,0,68,46,22,0
GHOTKI,DISTRICT,30 - 34,MARRIED,92946,48007,44939,0,71147,36846,34301,0,21799,11161,10638,0
GHOTKI,DISTRICT,30 - 34,NEVER MARRIED,7065,2048,5012,5,4515,1232,3281,2,2550,816,1731,3
GHOTKI,DISTRICT,30 - 34,SEPERATION,50,31,19,0,28,17,11,0,22,14,8,0
GHOTKI,DISTRICT,30 - 34,WIDOWED,761,525,236,0,595,411,184,0,166,114,52,0
GHOTKI,DISTRICT,35 - 39,DIVORCED,179,118,61,0,106,75,31,0,73,43,30,0
GHOTKI,DISTRICT,35 - 39,MARRIED,88552,43692,44860,0,67304,33204,34100,0,21248,10488,10760,0
GHOTKI,DISTRICT,35 - 39,NEVER MARRIED,3167,900,2265,2,2125,571,1554,0,1042,329,711,2
GHOTKI,DISTRICT,35 - 39,SEPERATION,72,44,28,0,47,25,22,0,25,19,6,0
GHOTKI,DISTRICT,35 - 39,WIDOWED,1250,918,332,0,962,688,274,0,288,230,58,0
GHOTKI,DISTRICT,40 - 44,DIVORCED,170,119,51,0,100,72,28,0,70,47,23,0
GHOTKI,DISTRICT,40 - 44,MARRIED,85288,40757,44531,0,65724,31358,34366,0,19564,9399,10165,0
GHOTKI,DISTRICT,40 - 44,NEVER MARRIED,1607,461,1141,5,1089,317,770,2,518,144,371,3
GHOTKI,DISTRICT,40 - 44,SEPERATION,84,50,34,0,61,37,24,0,23,13,10,0
GHOTKI,DISTRICT,40 - 44,WIDOWED,2199,1799,400,0,1665,1353,312,0,534,446,88,0
GHOTKI,DISTRICT,45 - 49,DIVORCED,111,75,36,0,72,51,21,0,39,24,15,0
GHOTKI,DISTRICT,45 - 49,MARRIED,59398,28153,31245,0,45012,21535,23477,0,14386,6618,7768,0
GHOTKI,DISTRICT,45 - 49,NEVER MARRIED,850,251,593,6,582,156,425,1,268,95,168,5
GHOTKI,DISTRICT,45 - 49,SEPERATION,73,49,24,0,55,38,17,0,18,11,7,0
GHOTKI,DISTRICT,45 - 49,WIDOWED,2761,2304,457,0,2081,1725,356,0,680,579,101,0
GHOTKI,DISTRICT,50 - 54,DIVORCED,77,59,18,0,49,39,10,0,28,20,8,0
GHOTKI,DISTRICT,50 - 54,MARRIED,48354,21697,26657,0,36865,16671,20194,0,11489,5026,6463,0
GHOTKI,DISTRICT,50 - 54,NEVER MARRIED,429,145,282,2,292,98,194,0,137,47,88,2
GHOTKI,DISTRICT,50 - 54,SEPERATION,62,38,24,0,45,25,20,0,17,13,4,0
GHOTKI,DISTRICT,50 - 54,WIDOWED,3976,3365,611,0,2995,2508,487,0,981,857,124,0
GHOTKI,DISTRICT,55 - 59,DIVORCED,31,22,9,0,23,17,6,0,8,5,3,0
GHOTKI,DISTRICT,55 - 59,MARRIED,33517,13565,19952,0,25464,10456,15008,0,8053,3109,4944,0
GHOTKI,DISTRICT,55 - 59,NEVER MARRIED,220,65,154,1,161,43,118,0,59,22,36,1
GHOTKI,DISTRICT,55 - 59,SEPERATION,47,25,22,0,35,18,17,0,12,7,5,0
