name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
MAURIPUR,KEAMARI,SUB-DIVISION,URBAN,37369,30428,34664,1092,1613,29925,2217
SITE,KEAMARI,SUB-DIVISION,OVERALL,65065,51644,62774,1970,321,49656,2049
SITE,KEAMARI,SUB-DIVISION,RURAL,,,,,,,
SITE,KEAMARI,SUB-DIVISION,URBAN,65065,51644,62774,1970,321,49656,2049
KHAIRPUR,KHAIRPUR,DISTRICT,OVERALL,452250,207912,264928,59029,128293,195267,151278
KHAIRPUR,KHAIRPUR,DISTRICT,RURAL,305732,125016,150323,46683,108726,116000,125213
KHAIRPUR,KHAIRPUR,DISTRICT,URBAN,146518,82896,114605,12346,19567,79267,26065
FAIZ GANJ,KHAIRPUR,TALUKA,OVERALL,47365,15109,17504,6684,23177,13193,26733
FAIZ GANJ,KHAIRPUR,TALUKA,RURAL,37892,12060,11457,5896,20539,10534,23044
FAIZ GANJ,KHAIRPUR,TALUKA,URBAN,9473,3049,6047,788,2638,2659,3689
GAMBAT,KHAIRPUR,TALUKA,OVERALL,47323,26111,34960,5300,7063,25364,8584
GAMBAT,KHAIRPUR,TALUKA,RURAL,30107,14897,19907,4143,6057,14200,7572
GAMBAT,KHAIRPUR,TALUKA,URBAN,17216,11214,15053,1157,1006,11164,1012
KHAIRPUR,KHAIRPUR,TALUKA,OVERALL,87201,50491,68718,8868,9615,48215,13580
KHAIRPUR,KHAIRPUR,TALUKA,RURAL,40498,19113,26366,6140,7992,17692,10671
KHAIRPUR,KHAIRPUR,TALUKA,URBAN,46703,31378,42352,2728,1623,30523,2909
KINGRI,KHAIRPUR,TALUKA,OVERALL,59508,29885,42692,6335,10481,28653,12725
KINGRI,KHAIRPUR,TALUKA,RURAL,43524,19349,28594,5222,9708,18230,11815
KINGRI,KHAIRPUR,TALUKA,URBAN,15984,10536,14098,1113,773,10423,910
KOT DIJI,KHAIRPUR,TALUKA,OVERALL,62663,26336,32235,10553,19875,24021,23899
KOT DIJI,KHAIRPUR,TALUKA,RURAL,46815,20345,21523,9096,16196,18841,18444
KOT DIJI,KHAIRPUR,TALUKA,URBAN,15848,5991,10712,1457,3679,5180,5455
MIRWAH,KHAIRPUR,TALUKA,OVERALL,67276,26692,29314,10915,27047,24951,30487
MIRWAH,KHAIRPUR,TALUKA,RURAL,49908,18308,18503,8732,22673,17516,24588
MIRWAH,KHAIRPUR,TALUKA,URBAN,17368,8384,10811,2183,4374,7435,5899
NARA,KHAIRPUR,TALUKA,OVERALL,32911,9694,8441,3443,21027,10782,19553
NARA,KHAIRPUR,TALUKA,RURAL,25084,6313,5277,2306,17501,7172,16348
NARA,KHAIRPUR,TALUKA,URBAN,7827,3381,3164,1137,3526,3610,3205
SOBHO DERO,KHAIRPUR,TALUKA,OVERALL,48003,23594,31064,6931,10008,20088,15717
SOBHO DERO,KHAIRPUR,TALUKA,RURAL,31904,14631,18696,5148,8060,11815,12731
SOBHO DERO,KHAIRPUR,TALUKA,URBAN,16099,8963,12368,1783,1948,8273,2986
KORANGI,KORANGI,DISTRICT,OVERALL,493050,400983,480174,9846,3030,395063,8109
KORANGI,KORANGI,DISTRICT,RURAL,,,,,,,
KORANGI,KORANGI,DISTRICT,URBAN,493050,400983,480174,9846,3030,395063,8109
KORANGI,KORANGI,SUB-DIVISION,OVERALL,207086,163448,200679,4905,1502,159786,5316
KORANGI,KORANGI,SUB-DIVISION,RURAL,,,,,,,
KORANGI,KORANGI,SUB-DIVISION,URBAN,207086,163448,200679,4905,1502,159786,5316
LANDHI,KORANGI,SUB-DIVISION,OVERALL,115900,93908,112903,2161,836,92856,1438
LANDHI,KORANGI,SUB-DIVISION,RURAL,,,,,,,
LANDHI,KORANGI,SUB-DIVISION,URBAN,115900,93908,112903,2161,836,92856,1438
MODEL COLONY,KORANGI,SUB-DIVISION,OVERALL,76383,63326,74630,1295,458,62611,701
MODEL COLONY,KORANGI,SUB-DIVISION,RURAL,,,,,,,
MODEL COLONY,KORANGI,SUB-DIVISION,URBAN,76383,63326,74630,1295,458,62611,701
SHAH FAISAL,KORANGI,SUB-DIVISION,OVERALL,93681,80301,91962,1485,234,79810,654
SHAH FAISAL,KORANGI,SUB-DIVISION,RURAL,,,,,,,
SHAH FAISAL,KORANGI,SUB-DIVISION,URBAN,93681,80301,91962,1485,234,79810,654
LARKANA,LARKANA,DISTRICT,OVERALL,321528,176723,264082,35939,21507,176174,22855
LARKANA,LARKANA,DISTRICT,RURAL,177901,89086,130112,28715,19074,88561,20226
LARKANA,LARKANA,DISTRICT,URBAN,143627,87637,133970,7224,2433,87613,2629
BAKRANI,LARKANA,TALUKA,OVERALL,48638,25051,39979,5872,2787,24642,3291
BAKRANI,LARKANA,TALUKA,RURAL,41557,21526,33773,5295,2489,21235,2797
BAKRANI,LARKANA,TALUKA,URBAN,7081,3525,6206,577,298,3407,494
DOKRI,LARKANA,TALUKA,OVERALL,45083,22242,30417,9132,5534,22132,5894
DOKRI,LARKANA,TALUKA,RURAL,32678,15798,20321,7561,4796,15470,5657
DOKRI,LARKANA,TALUKA,URBAN,12405,6444,10096,1571,738,6662,237
LARKANA,LARKANA,TALUKA,OVERALL,157275,93189,136040,12953,8282,94071,7758
LARKANA,LARKANA,TALUKA,RURAL,58047,27693,41212,9543,7292,28493,6657
LARKANA,LARKANA,TALUKA,URBAN,99228,65496,94828,3410,990,65578,1101
RATODERO,LARKANA,TALUKA,OVERALL,70532,36241,57646,7982,4904,35329,5912
RATODERO,LARKANA,TALUKA,RURAL,45619,24069,34806,6316,4497,23363,5115
RATODERO,LARKANA,TALUKA,URBAN,24913,12172,22840,1666,407,11966,797
MALIR,MALIR,DISTRICT,OVERALL,421426,322335,378196,27550,15680,316890,25041
MALIR,MALIR,DISTRICT,RURAL,226404,167884,193599,19786,13019,168008,14847
MALIR,MALIR,DISTRICT,URBAN,195022,154451,184597,7764,2661,148882,10194
AIRPORT,MALIR,SUB-DIVISION,OVERALL,42700,36010,40291,2219,190,35640,779
AIRPORT,MALIR,SUB-DIVISION,RURAL,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,URBAN,42700,36010,40291,2219,190,35640,779
BIN QASIM,MALIR,SUB-DIVISION,OVERALL,58696,39847,50690,4642,3364,40172,3507
BIN QASIM,MALIR,SUB-DIVISION,RURAL,58696,39847,50690,4642,3364,40172,3507
BIN QASIM,MALIR,SUB-DIVISION,URBAN,,,,,,,
GADAP,MALIR,SUB-DIVISION,OVERALL,22131,16625,14042,4409,3680,18169,2426
