name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BANNU,BANNU,TEHSIL,KASHMIRI,52,19,33,,12,6,6,,40,13,27,
BANNU,BANNU,TEHSIL,KOHIOSTANI,,,,,,,,,,,,
BANNU,BANNU,TEHSIL,MEWATI,,,,,,,,,,,,
BANNU,BANNU,TEHSIL,OTHERS,210,92,118,,183,80,103,,27,12,15,
BANNU,BANNU,TEHSIL,PUNJABI,4343,2047,2296,,694,318,376,,3649,1729,1920,
BANNU,BANNU,TEHSIL,PUSHTO,633874,306311,327546,17,591881,286940,304931,10,41993,19371,22615,7
BANNU,BANNU,TEHSIL,SARAIKI,1099,535,564,,529,271,258,,570,264,306,
BANNU,BANNU,TEHSIL,SHINA,6,3,3,,1,,1,,5,3,2,
BANNU,BANNU,TEHSIL,SINDHI,300,135,165,,94,55,39,,206,80,126,
BANNU,BANNU,TEHSIL,TOTAL,642835,310506,332312,17,594739,288335,306394,10,48096,22171,25918,7
BANNU,BANNU,TEHSIL,URDU,2207,1000,1207,,859,410,449,,1348,590,758,
BAR CHAMER KAND,BAJAUR,TEHSIL,BALOCHI,2,2,,,2,2,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,BALTI,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,BRAHVI,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,HINDKO,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,KALASHA,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,KASHMIRI,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,KOHIOSTANI,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,MEWATI,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,OTHERS,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,PUNJABI,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,PUSHTO,3571,1746,1824,1,3571,1746,1824,1,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,SARAIKI,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,SHINA,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,SINDHI,1,,1,,1,,1,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,TOTAL,3574,1748,1825,1,3574,1748,1825,1,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,URDU,,,,,,,,,,,,
BARA,KHYBER,TEHSIL,BALOCHI,467,223,244,,467,223,244,,,,,
BARA,KHYBER,TEHSIL,BALTI,,,,,,,,,,,,
BARA,KHYBER,TEHSIL,BRAHVI,,,,,,,,,,,,
BARA,KHYBER,TEHSIL,HINDKO,9,3,6,,9,3,6,,,,,
BARA,KHYBER,TEHSIL,KALASHA,,,,,,,,,,,,
