name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
MANGOCHAR,KALAT,SUB-DIVISION,OVERALL,9217,7786,169,994,14,1,253,8834,115,1543,3042,2203,2429
MANGOCHAR,KALAT,SUB-DIVISION,RURAL,9217,7786,169,994,14,1,253,8834,115,1543,3042,2203,2429
MANGOCHAR,KALAT,SUB-DIVISION,URBAN,,,,,,,,,,,,,
KECH,KECH,DISTRICT,OVERALL,253475,246024,2586,2527,237,107,1994,239522,11615,107525,75475,38189,32286
KECH,KECH,DISTRICT,RURAL,164440,160922,711,1306,82,75,1344,153996,8943,78892,51339,20728,13481
KECH,KECH,DISTRICT,URBAN,89035,85102,1875,1221,155,32,650,85526,2672,28633,24136,17461,18805
BALNIGORE,KECH,SUB-TEHSIL,OVERALL,14389,14161,60,117,1,5,45,13146,1192,6500,4783,1650,1456
BALNIGORE,KECH,SUB-TEHSIL,RURAL,14389,14161,60,117,1,5,45,13146,1192,6500,4783,1650,1456
BALNIGORE,KECH,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
BULAIDA,KECH,SUB-DIVISION,OVERALL,24326,23591,229,125,7,11,363,23332,613,10459,5463,4415,3989
BULAIDA,KECH,SUB-DIVISION,RURAL,9038,8590,117,108,4,8,211,8558,257,3834,2327,1401,1476
BULAIDA,KECH,SUB-DIVISION,URBAN,15288,15001,112,17,3,3,152,14774,356,6625,3136,3014,2513
DASHT,KECH,SUB-DIVISION,OVERALL,21083,20509,121,80,6,12,355,19450,1260,10360,6575,2568,1580
DASHT,KECH,SUB-DIVISION,RURAL,21083,20509,121,80,6,12,355,19450,1260,10360,6575,2568,1580
DASHT,KECH,SUB-DIVISION,URBAN,,,,,,,,,,,,,
HOSHAB,KECH,SUB-TEHSIL,OVERALL,16755,16645,30,5,1,9,65,16042,638,7605,5171,2432,1547
HOSHAB,KECH,SUB-TEHSIL,RURAL,16755,16645,30,5,1,9,65,16042,638,7605,5171,2432,1547
HOSHAB,KECH,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
MAND,KECH,TEHSIL,OVERALL,16348,16135,51,105,8,7,42,15655,636,8085,5189,2023,1051
MAND,KECH,TEHSIL,RURAL,16348,16135,51,105,8,7,42,15655,636,8085,5189,2023,1051
MAND,KECH,TEHSIL,URBAN,,,,,,,,,,,,,
TUMP,KECH,SUB-DIVISION,OVERALL,38839,38361,198,47,26,14,193,37118,1488,18863,11280,5522,3174
TUMP,KECH,SUB-DIVISION,RURAL,23040,22736,86,36,15,5,162,22273,585,10829,6972,3391,1848
TUMP,KECH,SUB-DIVISION,URBAN,15799,15625,112,11,11,9,31,14845,903,8034,4308,2131,1326
TURBAT,KECH,SUB-DIVISION,OVERALL,100774,96466,1796,1617,185,29,681,95452,4427,37178,29096,16621,17879
TURBAT,KECH,SUB-DIVISION,RURAL,42826,41990,145,424,44,9,214,39545,3014,23204,12404,4305,2913
TURBAT,KECH,SUB-DIVISION,URBAN,57948,54476,1651,1193,141,20,467,55907,1413,13974,16692,12316,14966
ZAMORAN,KECH,SUB-TEHSIL,OVERALL,20961,20156,101,431,3,20,250,19327,1361,8475,7918,2958,1610
ZAMORAN,KECH,SUB-TEHSIL,RURAL,20961,20156,101,431,3,20,250,19327,1361,8475,7918,2958,1610
ZAMORAN,KECH,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
KHARAN,KHARAN,DISTRICT,OVERALL,35843,34328,438,795,73,9,200,33934,1627,9340,11866,7078,7559
KHARAN,KHARAN,DISTRICT,RURAL,24823,23765,207,695,7,4,145,23409,1258,8269,8921,4285,3348
KHARAN,KHARAN,DISTRICT,URBAN,11020,10563,231,100,66,5,55,10525,369,1071,2945,2793,4211
KHARAN,KHARAN,SUB-DIVISION,OVERALL,14023,13485,247,160,66,5,60,13425,467,1820,4143,3459,4601
KHARAN,KHARAN,SUB-DIVISION,RURAL,3003,2922,16,60,,,5,2900,98,749,1198,666,390
KHARAN,KHARAN,SUB-DIVISION,URBAN,11020,10563,231,100,66,5,55,10525,369,1071,2945,2793,4211
PATKAIN,KHARAN,SUB-TEHSIL,OVERALL,3598,3498,2,84,4,1,9,3397,187,1592,1487,423,96
PATKAIN,KHARAN,SUB-TEHSIL,RURAL,3598,3498,2,84,4,1,9,3397,187,1592,1487,423,96
PATKAIN,KHARAN,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
SAR KHARAN,KHARAN,SUB-DIVISION,OVERALL,11432,10841,146,326,1,1,117,10644,669,3938,3493,2037,1964
SAR KHARAN,KHARAN,SUB-DIVISION,RURAL,11432,10841,146,326,1,1,117,10644,669,3938,3493,2037,1964
SAR KHARAN,KHARAN,SUB-DIVISION,URBAN,,,,,,,,,,,,,
TOHMULK,KHARAN,SUB-TEHSIL,OVERALL,6790,6504,43,225,2,2,14,6468,304,1990,2743,1159,898
TOHMULK,KHARAN,SUB-TEHSIL,RURAL,6790,6504,43,225,2,2,14,6468,304,1990,2743,1159,898
TOHMULK,KHARAN,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
KHUZDAR,KHUZDAR,DISTRICT,OVERALL,161450,150052,3314,5507,737,58,1782,154570,4303,40934,56014,32416,32086
KHUZDAR,KHUZDAR,DISTRICT,RURAL,111846,106568,524,3258,25,36,1435,107636,2714,34883,40742,20236,15985
KHUZDAR,KHUZDAR,DISTRICT,URBAN,49604,43484,2790,2249,712,22,347,46934,1589,6051,15272,12180,16101
ARANJI,KHUZDAR,SUB-TEHSIL,OVERALL,10012,9724,104,118,1,1,64,9704,242,3346,4112,1562,992
ARANJI,KHUZDAR,SUB-TEHSIL,RURAL,10012,9724,104,118,1,1,64,9704,242,3346,4112,1562,992
ARANJI,KHUZDAR,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
GRESHA,KHUZDAR,SUB-TEHSIL,OVERALL,9920,9745,18,107,,,50,9623,247,3339,3361,1519,1701
GRESHA,KHUZDAR,SUB-TEHSIL,RURAL,9920,9745,18,107,,,50,9623,247,3339,3361,1519,1701
GRESHA,KHUZDAR,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
KARAKH,KHUZDAR,SUB-DIVISION,OVERALL,6723,6525,16,145,5,2,30,6583,103,2176,2850,1064,633
KARAKH,KHUZDAR,SUB-DIVISION,RURAL,6723,6525,16,145,5,2,30,6583,103,2176,2850,1064,633
KARAKH,KHUZDAR,SUB-DIVISION,URBAN,,,,,,,,,,,,,
