name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
KURRAM,KURRAM,DISTRICT,OVERALL,74818,18,2,6,62884,8921,743,87,2157
KURRAM,KURRAM,DISTRICT,RURAL,70673,18,2,5,59846,8079,606,82,2035
KURRAM,KURRAM,DISTRICT,URBAN,4145,,,1,3038,842,137,5,122
CENTRAL KURRAM F.R,KURRAM,TEHSIL,OVERALL,29051,12,,1,25842,2243,190,48,715
CENTRAL KURRAM F.R,KURRAM,TEHSIL,RURAL,29051,12,,1,25842,2243,190,48,715
CENTRAL KURRAM F.R,KURRAM,TEHSIL,URBAN,,,,,,,,,
LOWER KURRAM,KURRAM,TEHSIL,OVERALL,15785,,,3,12974,1869,137,19,783
LOWER KURRAM,KURRAM,TEHSIL,RURAL,12697,,,3,10497,1436,78,14,669
LOWER KURRAM,KURRAM,TEHSIL,URBAN,3088,,,,2477,433,59,5,114
UPPER KURRAM,KURRAM,TEHSIL,OVERALL,29982,6,2,2,24068,4809,416,20,659
UPPER KURRAM,KURRAM,TEHSIL,RURAL,28925,6,2,1,23507,4400,338,20,651
UPPER KURRAM,KURRAM,TEHSIL,URBAN,1057,,,1,561,409,78,,8
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,OVERALL,138623,5,,9,115129,19729,917,359,2475
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,RURAL,121148,5,,,101072,16689,731,300,2351
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,URBAN,17475,,,9,14057,3040,186,59,124
BETTANI,LAKKI MARWAT,SUB-DIVISION,OVERALL,3396,,,,2982,363,7,4,40
BETTANI,LAKKI MARWAT,SUB-DIVISION,RURAL,3396,,,,2982,363,7,4,40
BETTANI,LAKKI MARWAT,SUB-DIVISION,URBAN,,,,,,,,,
GHAZNI KHEL,LAKKI MARWAT,TEHSIL,OVERALL,47628,2,,,38027,8113,236,169,1081
GHAZNI KHEL,LAKKI MARWAT,TEHSIL,RURAL,47628,2,,,38027,8113,236,169,1081
GHAZNI KHEL,LAKKI MARWAT,TEHSIL,URBAN,,,,,,,,,
LAKKI MARWAT,LAKKI MARWAT,TEHSIL,OVERALL,48944,,,9,42096,5727,232,69,811
LAKKI MARWAT,LAKKI MARWAT,TEHSIL,RURAL,36497,,,,31608,4067,106,13,703
LAKKI MARWAT,LAKKI MARWAT,TEHSIL,URBAN,12447,,,9,10488,1660,126,56,108
SARAI NAURANG,LAKKI MARWAT,TEHSIL,OVERALL,38655,3,,,32024,5526,442,117,543
SARAI NAURANG,LAKKI MARWAT,TEHSIL,RURAL,33627,3,,,28455,4146,382,114,527
SARAI NAURANG,LAKKI MARWAT,TEHSIL,URBAN,5028,,,,3569,1380,60,3,16
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,OVERALL,73525,8,10,9,46750,22154,1896,24,2674
