name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
HASILPUR,BAHAWALPUR,TEHSIL,Population >=10,376819,188836,187941,42,229846,115322,114517,7,146973,73514,73424,35
HASILPUR,BAHAWALPUR,TEHSIL,Literate >=10,224739,123043,101681,15,126977,71095,55880,2,97762,51948,45801,13
HASILPUR,BAHAWALPUR,TEHSIL,Literate %,59.64,65.16,54.1,35.71,55.24,61.65,48.8,28.57,66.52,70.66,62.38,37.14
HASILPUR,BAHAWALPUR,TEHSIL,Ever Attended,259099,140281,118806,12,145654,80398,65254,2,113445,59883,53552,10
HASILPUR,BAHAWALPUR,TEHSIL,Primary Completed,40532,22693,17835,4,23877,13490,10386,1,16655,9203,7449,3
HASILPUR,BAHAWALPUR,TEHSIL,Enrolment Primary,62264,31558,30706,,36393,18408,17985,,25871,13150,12721,
HASILPUR,BAHAWALPUR,TEHSIL,Enrolment Middle,24336,11725,12611,,13776,6847,6929,,10560,4878,5682,
HASILPUR,BAHAWALPUR,TEHSIL,Enrolment Matric,14142,6870,7272,,7318,3664,3654,,6824,3206,3618,
HASILPUR,BAHAWALPUR,TEHSIL,Enrolment Intermidiate,7993,3628,4365,,4092,1868,2224,,3901,1760,2141,
HASILPUR,BAHAWALPUR,TEHSIL,Enrolment Graduation above,8110,3286,4823,1,3455,1366,2089,,4655,1920,2734,1
HASILPUR,BAHAWALPUR,TEHSIL,Never to School (all),181836,80358,101448,30,124434,54850,69579,5,57402,25508,31869,25
HASILPUR,BAHAWALPUR,TEHSIL,Drop Out (5 - 16),12789,6898,5890,1,8467,4439,4027,1,4322,2459,1863,
HASILPUR,BAHAWALPUR,TEHSIL,Never to School (5-16),30436,14362,16071,3,23429,11087,12341,1,7007,3275,3730,2
HASILPUR,BAHAWALPUR,TEHSIL,Out of School Children (5-16),43225,21260,21961,4,31896,15526,16368,2,11329,5734,5593,2
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Population >=5,249720,126451,123253,16,208516,105684,102821,11,41204,20767,20432,5
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Population >=10,211011,107034,103961,16,175303,88936,86356,11,35708,18098,17605,5
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Literate >=10,96694,58538,38151,5,74614,46323,28287,4,22080,12215,9864,1
