name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate,25 - 40,3510,599,2911,,3510,599,2911,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate,41 - 60,1138,174,964,,1138,174,964,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate,5 - 16,10425,3993,6432,,10425,3993,6432,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate,5 - 9,3312,1342,1970,,3312,1342,1970,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate,>18,7641,1419,6222,,7641,1419,6222,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate,>60,208,49,159,,208,49,159,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate %,10 - 12,37,31,43,,37,31,43,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate %,13 - 14,35,23,47,,35,23,47,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate %,15 - 24,27,15,40,,27,15,40,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate %,15 - 49,21,9,33,,21,9,33,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate %,25 - 40,17,6,29,,17,6,29,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate %,41 - 60,11,3,18,,11,3,18,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate %,5 - 16,25,19,30,,25,19,30,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate %,5 - 9,15.07,12.28,17.81,,15.07,12.28,17.81,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate %,>18,17,6,27,,17,6,27,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate %,>60,7,4,9,,7,4,9,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Never to School (all),10 - 12,6463,3482,2981,,6463,3482,2981,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Never to School (all),13 - 14,3325,1964,1361,,3325,1964,1361,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Never to School (all),15 - 24,14707,8592,6115,,14707,8592,6115,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Never to School (all),15 - 49,37481,21546,15935,,37481,21546,15935,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Never to School (all),25 - 40,17460,10111,7349,,17460,10111,7349,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Never to School (all),41 - 60,9735,5036,4698,1,9735,5036,4698,1,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Never to School (all),5 - 16,28990,15944,13046,,28990,15944,13046,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Never to School (all),5 - 9,15991,8626,7365,,15991,8626,7365,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Never to School (all),>18,38682,21318,17363,1,38682,21318,17363,1,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Never to School (all),>60,2914,1233,1681,,2914,1233,1681,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Population,10 - 12,10560,5100,5460,,10560,5100,5460,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Population,13 - 14,5062,2486,2576,,5062,2486,2576,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Population,15 - 24,19558,9742,9816,,19558,9742,9816,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Population,15 - 49,45626,22967,22659,,45626,22967,22659,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Population,25 - 40,20243,10369,9874,,20243,10369,9874,,,,,
