name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BARKHAN,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,0,1,,0,1,,0,0,
BARKHAN,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,1,0,,1,0,,0,0,
BARKHAN,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,55,13,,50,13,,5,0,
BARKHAN,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,0,0,0,0,0,0,0,0,0
BARKHAN,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,47,120,0,40,118,0,7,2,0
BARKHAN,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,313,464,0,275,406,0,38,58,0
BARKHAN,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,0,2,0,0,2,0,0,0,0
BARKHAN,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,0,0,0,0,0,0,0,0,0
BARKHAN,DISTRICT,HEAD,DIVORCED,0,0,0,0,0,0,0,0,0
BARKHAN,DISTRICT,HEAD,MARRIED,97,21864,0,95,20452,0,2,1412,0
BARKHAN,DISTRICT,HEAD,NEVER MARRIED,8,531,0,7,497,0,1,34,0
BARKHAN,DISTRICT,HEAD,SEPARATION,1,4,0,1,4,0,0,0,0
BARKHAN,DISTRICT,HEAD,WIDOWED,279,239,0,271,222,0,8,17,0
BARKHAN,DISTRICT,NEPHEW/NIECE,DIVORCED,1,0,0,1,0,0,0,0,0
BARKHAN,DISTRICT,NEPHEW/NIECE,MARRIED,169,517,0,150,491,0,19,26,0
BARKHAN,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,763,1111,0,687,988,0,76,123,0
BARKHAN,DISTRICT,NEPHEW/NIECE,SEPARATION,0,0,0,0,0,0,0,0,0
BARKHAN,DISTRICT,NEPHEW/NIECE,WIDOWED,6,2,0,6,2,0,0,0,0
BARKHAN,DISTRICT,NON-RELATIVE,DIVORCED,2,1,0,2,1,0,0,0,0
BARKHAN,DISTRICT,NON-RELATIVE,MARRIED,128,195,0,128,193,0,0,2,0
BARKHAN,DISTRICT,NON-RELATIVE,NEVER MARRIED,62,457,0,42,290,0,20,167,0
BARKHAN,DISTRICT,NON-RELATIVE,SEPARATION,2,0,0,2,0,0,0,0,0
BARKHAN,DISTRICT,NON-RELATIVE,WIDOWED,4,12,0,4,12,0,0,0,0
BARKHAN,DISTRICT,OTHER RELATIVE,DIVORCED,4,1,0,4,1,0,0,0,0
BARKHAN,DISTRICT,OTHER RELATIVE,MARRIED,856,897,0,763,800,0,93,97,0
BARKHAN,DISTRICT,OTHER RELATIVE,NEVER MARRIED,371,647,3,338,599,3,33,48,0
BARKHAN,DISTRICT,OTHER RELATIVE,SEPARATION,3,5,0,3,5,0,0,0,0
