name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,1382773,1353922,10873,17978,783910,70664,493228,34971,955287,289676
FAISALABAD,FAISALABAD,DISTRICT,RURAL,714572,695290,5763,13519,233769,29322,425307,26174,435859,219804
FAISALABAD,FAISALABAD,DISTRICT,URBAN,668201,658632,5110,4459,550141,41342,67921,8797,519428,69872
CHAK JHUMRA,FAISALABAD,TEHSIL,OVERALL,56658,55326,683,649,37019,777,18215,647,39930,12245
CHAK JHUMRA,FAISALABAD,TEHSIL,RURAL,47270,46130,588,552,29143,523,17092,512,32868,10655
CHAK JHUMRA,FAISALABAD,TEHSIL,URBAN,9388,9196,95,97,7876,254,1123,135,7062,1590
FAISALABAD CITY,FAISALABAD,TEHSIL,OVERALL,556650,549383,4056,3211,475973,35198,38544,6935,435166,51950
FAISALABAD CITY,FAISALABAD,TEHSIL,RURAL,,,,,,,,,,
FAISALABAD CITY,FAISALABAD,TEHSIL,URBAN,556650,549383,4056,3211,475973,35198,38544,6935,435166,51950
FAISALABAD SADAR,FAISALABAD,TEHSIL,OVERALL,268685,263157,1814,3714,99423,18402,141903,8957,176539,71112
FAISALABAD SADAR,FAISALABAD,TEHSIL,RURAL,253143,248033,1697,3413,91858,18026,134478,8781,165225,68204
FAISALABAD SADAR,FAISALABAD,TEHSIL,URBAN,15542,15124,117,301,7565,376,7425,176,11314,2908
JARANWALA,FAISALABAD,TEHSIL,OVERALL,264519,257529,2374,4616,130888,7825,118764,7042,162323,78307
JARANWALA,FAISALABAD,TEHSIL,RURAL,222845,216566,1956,4323,96105,5756,114876,6108,129194,73042
JARANWALA,FAISALABAD,TEHSIL,URBAN,41674,40963,418,293,34783,2069,3888,934,33129,5265
SAMMUNDRI,FAISALABAD,TEHSIL,OVERALL,110873,108640,895,1338,28832,4300,75246,2495,78202,25054
SAMMUNDRI,FAISALABAD,TEHSIL,RURAL,79879,78470,533,876,11509,2739,63642,1989,55465,19782
SAMMUNDRI,FAISALABAD,TEHSIL,URBAN,30994,30170,362,462,17323,1561,11604,506,22737,5272
TANDLIAN WALA,FAISALABAD,TEHSIL,OVERALL,125388,119887,1051,4450,11775,4162,100556,8895,63127,51008
TANDLIAN WALA,FAISALABAD,TEHSIL,RURAL,111435,106091,989,4355,5154,2278,95219,8784,53107,48121
TANDLIAN WALA,FAISALABAD,TEHSIL,URBAN,13953,13796,62,95,6621,1884,5337,111,10020,2887
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,849177,836739,7562,4876,630436,54382,111372,52987,652421,105540
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,333189,329081,2438,1670,184711,19978,83034,45466,239869,58176
