name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
HASILPUR,TEHSIL,BAHAWALPUR,RURAL,500 -- 999,11,8228,4117,4111,,Rural Localities
HASILPUR,TEHSIL,BAHAWALPUR,RURAL,200 -- 499,1,228,127,101,,Rural Localities
HASILPUR,TEHSIL,BAHAWALPUR,RURAL,LESS THAN 200,1,59,29,30,,Rural Localities
HASILPUR,TEHSIL,BAHAWALPUR,RURAL,UN-INHABITED,,,,,,Rural Localities
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,RURAL,OVERALL,107,243298,122875,120412,11,Rural Localities
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,RURAL,"5,000 AND ABOVE",14,100112,50438,49669,5,Rural Localities
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,RURAL,"2,000 -- 4,999",26,78190,39385,38801,4,Rural Localities
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,RURAL,"1,000 -- 1,999",29,43373,21949,21422,2,Rural Localities
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,RURAL,500 -- 999,23,17119,8831,8288,,Rural Localities
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,RURAL,200 -- 499,12,4223,2121,2102,,Rural Localities
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,RURAL,LESS THAN 200,3,281,151,130,,Rural Localities
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,RURAL,UN-INHABITED,,,,,,Rural Localities
YAZMAN,TEHSIL,BAHAWALPUR,RURAL,OVERALL,673,626499,317497,308944,58,Rural Localities
YAZMAN,TEHSIL,BAHAWALPUR,RURAL,"5,000 AND ABOVE",22,171000,85970,84995,35,Rural Localities
YAZMAN,TEHSIL,BAHAWALPUR,RURAL,"2,000 -- 4,999",97,293936,148223,145693,20,Rural Localities
YAZMAN,TEHSIL,BAHAWALPUR,RURAL,"1,000 -- 1,999",73,112007,57134,54870,3,Rural Localities
YAZMAN,TEHSIL,BAHAWALPUR,RURAL,500 -- 999,36,25895,13290,12605,,Rural Localities
YAZMAN,TEHSIL,BAHAWALPUR,RURAL,200 -- 499,40,12964,6872,6092,,Rural Localities
YAZMAN,TEHSIL,BAHAWALPUR,RURAL,LESS THAN 200,196,10697,6008,4689,,Rural Localities
YAZMAN,TEHSIL,BAHAWALPUR,RURAL,UN-INHABITED,209,,,,,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,OVERALL,574,1605036,833202,771798,36,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,"5,000 AND ABOVE",94,815413,423729,391662,22,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,"2,000 -- 4,999",155,485191,251008,234171,12,Rural Localities
