name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
PRANG GHAR,MOHMAND,TEHSIL,RURAL,4285,2623,780,3505,200,1492,995,1,,1597
PRANG GHAR,MOHMAND,TEHSIL,URBAN,,,,,,,,,,
SAFI,MOHMAND,TEHSIL,OVERALL,10522,8295,5800,4722,3492,3108,1863,2,9,2048
SAFI,MOHMAND,TEHSIL,RURAL,10522,8295,5800,4722,3492,3108,1863,2,9,2048
SAFI,MOHMAND,TEHSIL,URBAN,,,,,,,,,,
UPPER MOHMAND,MOHMAND,TEHSIL,OVERALL,7292,4164,1476,5816,1033,1308,2581,3,13,2354
UPPER MOHMAND,MOHMAND,TEHSIL,RURAL,7292,4164,1476,5816,1033,1308,2581,3,13,2354
UPPER MOHMAND,MOHMAND,TEHSIL,URBAN,,,,,,,,,,
YAKE GHUND,MOHMAND,TEHSIL,OVERALL,8340,6559,5743,2597,1705,2699,3124,6,10,796
YAKE GHUND,MOHMAND,TEHSIL,RURAL,8340,6559,5743,2597,1705,2699,3124,6,10,796
YAKE GHUND,MOHMAND,TEHSIL,URBAN,,,,,,,,,,
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,99595,68449,50026,49569,26674,17045,30353,13,220,25290
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,98985,67840,49883,49102,26110,17002,30351,13,220,25289
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,610,609,143,467,564,43,2,,,1
DATTA KHEL,NORTH WAZIRISTAN,TEHSIL,OVERALL,14725,10097,7712,7013,4289,2116,3841,,10,4469
DATTA KHEL,NORTH WAZIRISTAN,TEHSIL,RURAL,14725,10097,7712,7013,4289,2116,3841,,10,4469
DATTA KHEL,NORTH WAZIRISTAN,TEHSIL,URBAN,,,,,,,,,,
