name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
SADDAR TEHSIL,QUETTA,SUB-DIVISION,OVERALL,REGULAR,285414,145487,139917,10,34560,99.87
SADDAR TEHSIL,QUETTA,SUB-DIVISION,OVERALL,INSTITUTIONAL,167,149,18,,20,.06
SADDAR TEHSIL,QUETTA,SUB-DIVISION,OVERALL,HOMELESS,1298,728,570,,25,.07
SADDAR TEHSIL,QUETTA,SUB-DIVISION,OVERALL,TOTAL,286879,146364,140505,10,34605,100
SADDAR TEHSIL,QUETTA,SUB-DIVISION,RURAL,REGULAR,119893,60644,59247,2,14932,99.79000000000001
SADDAR TEHSIL,QUETTA,SUB-DIVISION,RURAL,INSTITUTIONAL,141,132,9,,13,.09
SADDAR TEHSIL,QUETTA,SUB-DIVISION,RURAL,HOMELESS,1214,680,534,,19,.13
SADDAR TEHSIL,QUETTA,SUB-DIVISION,RURAL,TOTAL,121248,61456,59790,2,14964,100
SADDAR TEHSIL,QUETTA,SUB-DIVISION,URBAN,REGULAR,165521,84843,80670,8,19628,99.93000000000001
SADDAR TEHSIL,QUETTA,SUB-DIVISION,URBAN,INSTITUTIONAL,26,17,9,,7,.04
SADDAR TEHSIL,QUETTA,SUB-DIVISION,URBAN,HOMELESS,84,48,36,,6,.03
SADDAR TEHSIL,QUETTA,SUB-DIVISION,URBAN,TOTAL,165631,84908,80715,8,19641,100
SARIAB,QUETTA,SUB-DIVISION,OVERALL,REGULAR,560741,289403,271320,18,69162,99.92
SARIAB,QUETTA,SUB-DIVISION,OVERALL,INSTITUTIONAL,421,265,156,,38,.05
SARIAB,QUETTA,SUB-DIVISION,OVERALL,HOMELESS,103,76,27,,15,.02
SARIAB,QUETTA,SUB-DIVISION,OVERALL,TOTAL,561265,289744,271503,18,69215,100
SARIAB,QUETTA,SUB-DIVISION,RURAL,REGULAR,494909,255640,239251,18,61950,99.91
SARIAB,QUETTA,SUB-DIVISION,RURAL,INSTITUTIONAL,421,265,156,,38,.06
SARIAB,QUETTA,SUB-DIVISION,RURAL,HOMELESS,103,76,27,,15,.02
SARIAB,QUETTA,SUB-DIVISION,RURAL,TOTAL,495433,255981,239434,18,62003,100
SARIAB,QUETTA,SUB-DIVISION,URBAN,REGULAR,65832,33763,32069,,7212,100
