name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
SHARINGAL,SUB-DIVISION,UPPER DIR,RURAL,,210356,105129,105227,,99.91,,,6.8,185121,2.16
SHARINGAL,SUB-DIVISION,UPPER DIR,URBAN,,,,,,,,,,,
WARI,SUB-DIVISION,UPPER DIR,OVERALL,508,369147,180419,188724,4,95.59999999999999,726.67,,7.1,322755,2.27
WARI,SUB-DIVISION,UPPER DIR,RURAL,,369147,180419,188724,4,95.59999999999999,,,7.1,322755,2.27
WARI,SUB-DIVISION,UPPER DIR,URBAN,,,,,,,,,,,
UPPER KOHISTAN,DISTRICT,UPPER KOHISTAN,OVERALL,5440,422947,216184,206759,4,104.56,77.75,0,5.9,307286,5.48
UPPER KOHISTAN,DISTRICT,UPPER KOHISTAN,RURAL,,422947,216184,206759,4,104.56,,,5.9,307286,5.48
UPPER KOHISTAN,DISTRICT,UPPER KOHISTAN,URBAN,,,,,,0,,,,,0
DASSU,SUB-DIVISION,UPPER KOHISTAN,OVERALL,1958,148914,76902,72011,1,106.79,76.05,,5.8,124374,3.06
DASSU,SUB-DIVISION,UPPER KOHISTAN,RURAL,,148914,76902,72011,1,106.79,,,5.8,124374,3.06
DASSU,SUB-DIVISION,UPPER KOHISTAN,URBAN,,,,,,,,,,,
HARBAN BHASHA,TEHSIL,UPPER KOHISTAN,OVERALL,1298,49244,22901,26342,1,86.94,37.94,,6.8,32510,7.19
HARBAN BHASHA,TEHSIL,UPPER KOHISTAN,RURAL,,49244,22901,26342,1,86.94,,,6.8,32510,7.19
HARBAN BHASHA,TEHSIL,UPPER KOHISTAN,URBAN,,,,,,,,,,,
KANDIA,SUB-DIVISION,UPPER KOHISTAN,OVERALL,1926,165232,87372,77859,1,112.22,85.79000000000001,,5.9,83850,12
KANDIA,SUB-DIVISION,UPPER KOHISTAN,RURAL,,165232,87372,77859,1,112.22,,,5.9,83850,12
KANDIA,SUB-DIVISION,UPPER KOHISTAN,URBAN,,,,,,,,,,,
SEO,SUB-DIVISION,UPPER KOHISTAN,OVERALL,258,59557,29009,30547,1,94.97,230.84,,5.4,66552,-1.84
SEO,SUB-DIVISION,UPPER KOHISTAN,RURAL,,59557,29009,30547,1,94.97,,,5.4,66552,-1.84
SEO,SUB-DIVISION,UPPER KOHISTAN,URBAN,,,,,,,,,,,
