name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,RURAL,101578,7,,8,77863,20076,1637,413,1574
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,URBAN,20210,,1,3,13454,5916,425,67,344
TAUNSA,DERA GHAZI KHAN,TEHSIL,OVERALL,143418,12,,4,113627,24481,1768,1115,2411
TAUNSA,DERA GHAZI KHAN,TEHSIL,RURAL,107714,,,2,87487,16753,1191,683,1598
TAUNSA,DERA GHAZI KHAN,TEHSIL,URBAN,35704,12,,2,26140,7728,577,432,813
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,1608846,458,416,172,1280442,215745,75669,5846,30098
FAISALABAD,FAISALABAD,DISTRICT,RURAL,874735,60,42,25,700272,124329,31040,3803,15164
FAISALABAD,FAISALABAD,DISTRICT,URBAN,734111,398,374,147,580170,91416,44629,2043,14934
CHAK JHUMRA,FAISALABAD,TEHSIL,OVERALL,68804,,2,3,54194,10111,2688,338,1468
CHAK JHUMRA,FAISALABAD,TEHSIL,RURAL,58047,,,2,45482,8982,2169,215,1197
CHAK JHUMRA,FAISALABAD,TEHSIL,URBAN,10757,,2,1,8712,1129,519,123,271
FAISALABAD CITY,FAISALABAD,TEHSIL,OVERALL,594024,329,363,128,471792,69466,38971,1301,11674
FAISALABAD CITY,FAISALABAD,TEHSIL,RURAL,,,,,,,,,
FAISALABAD CITY,FAISALABAD,TEHSIL,URBAN,594024,329,363,128,471792,69466,38971,1301,11674
FAISALABAD SADAR,FAISALABAD,TEHSIL,OVERALL,336821,46,39,16,271078,43974,11807,1492,8369
FAISALABAD SADAR,FAISALABAD,TEHSIL,RURAL,316226,45,39,16,254774,40775,11169,1375,8033
FAISALABAD SADAR,FAISALABAD,TEHSIL,URBAN,20595,1,,,16304,3199,638,117,336
JARANWALA,FAISALABAD,TEHSIL,OVERALL,316436,59,4,12,253626,43913,12235,1556,5031
JARANWALA,FAISALABAD,TEHSIL,RURAL,266074,12,2,5,213910,37189,10013,1427,3516
JARANWALA,FAISALABAD,TEHSIL,URBAN,50362,47,2,7,39716,6724,2222,129,1515
SAMMUNDRI,FAISALABAD,TEHSIL,OVERALL,146561,23,7,5,116965,22621,4082,749,2109
SAMMUNDRI,FAISALABAD,TEHSIL,RURAL,106663,3,1,1,86298,16009,2732,398,1221
SAMMUNDRI,FAISALABAD,TEHSIL,URBAN,39898,20,6,4,30667,6612,1350,351,888
TANDLIAN WALA,FAISALABAD,TEHSIL,OVERALL,146200,1,1,8,112787,25660,5886,410,1447
TANDLIAN WALA,FAISALABAD,TEHSIL,RURAL,127725,,,1,99808,21374,4957,388,1197
TANDLIAN WALA,FAISALABAD,TEHSIL,URBAN,18475,1,1,7,12979,4286,929,22,250
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,1023922,771,144,186,763049,170614,52826,1172,35160
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,431322,240,12,62,310885,85971,18146,494,15512
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,592600,531,132,124,452164,84643,34680,678,19648
GUJRANWALA CITY,GUJRANWALA,TEHSIL,OVERALL,405909,367,121,102,309051,58832,24095,406,12935
GUJRANWALA CITY,GUJRANWALA,TEHSIL,RURAL,,,,,,,,,
GUJRANWALA CITY,GUJRANWALA,TEHSIL,URBAN,405909,367,121,102,309051,58832,24095,406,12935
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,OVERALL,205377,313,7,44,159298,29117,8309,139,8150
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,RURAL,141273,164,5,26,108448,21198,5605,95,5732
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,URBAN,64104,149,2,18,50850,7919,2704,44,2418
KAMOKE,GUJRANWALA,TEHSIL,OVERALL,113764,43,6,36,82720,21651,6242,94,2972
KAMOKE,GUJRANWALA,TEHSIL,RURAL,68118,41,1,35,46744,16829,2915,61,1492
KAMOKE,GUJRANWALA,TEHSIL,URBAN,45646,2,5,1,35976,4822,3327,33,1480
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,OVERALL,114512,1,2,,74215,27970,6492,187,5645
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,RURAL,103486,,1,,67466,25399,5708,158,4754
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,URBAN,11026,1,1,,6749,2571,784,29,891
WAZIRABAD,GUJRANWALA,TEHSIL,OVERALL,184360,47,8,4,137765,33044,7688,346,5458
WAZIRABAD,GUJRANWALA,TEHSIL,RURAL,118445,35,5,1,88227,22545,3918,180,3534
WAZIRABAD,GUJRANWALA,TEHSIL,URBAN,65915,12,3,3,49538,10499,3770,166,1924
GUJRAT,GUJRAT,DISTRICT,OVERALL,622916,230,42,86,507166,71233,21206,3016,19937
GUJRAT,GUJRAT,DISTRICT,RURAL,373318,32,8,17,312511,37004,10620,1535,11591
GUJRAT,GUJRAT,DISTRICT,URBAN,249598,198,34,69,194655,34229,10586,1481,8346
GUJRAT,GUJRAT,TEHSIL,OVERALL,339159,133,19,35,270467,43448,12181,1642,11234
GUJRAT,GUJRAT,TEHSIL,RURAL,157014,18,2,5,128899,17749,4971,694,4676
GUJRAT,GUJRAT,TEHSIL,URBAN,182145,115,17,30,141568,25699,7210,948,6558
KHARIAN,GUJRAT,TEHSIL,OVERALL,226947,93,18,45,189335,22540,7574,979,6363
KHARIAN,GUJRAT,TEHSIL,RURAL,173822,10,4,9,147577,15848,4746,630,4998
KHARIAN,GUJRAT,TEHSIL,URBAN,53125,83,14,36,41758,6692,2828,349,1365
SARAI ALAMGIR,GUJRAT,TEHSIL,OVERALL,56810,4,5,6,47364,5245,1451,395,2340
SARAI ALAMGIR,GUJRAT,TEHSIL,RURAL,42482,4,2,3,36035,3407,903,211,1917
SARAI ALAMGIR,GUJRAT,TEHSIL,URBAN,14328,,3,3,11329,1838,548,184,423
HAFIZABAD,HAFIZABAD,DISTRICT,OVERALL,259646,20,1,16,189787,52969,10321,749,5783
HAFIZABAD,HAFIZABAD,DISTRICT,RURAL,160826,11,1,4,115538,35806,6198,397,2871
HAFIZABAD,HAFIZABAD,DISTRICT,URBAN,98820,9,,12,74249,17163,4123,352,2912
HAFIZABAD,HAFIZABAD,TEHSIL,OVERALL,146202,12,1,12,108437,27962,5605,355,3818
HAFIZABAD,HAFIZABAD,TEHSIL,RURAL,80663,5,1,3,58701,17438,2685,181,1649
HAFIZABAD,HAFIZABAD,TEHSIL,URBAN,65539,7,,9,49736,10524,2920,174,2169
PINDI BHATTIAN,HAFIZABAD,TEHSIL,OVERALL,113444,8,,4,81350,25007,4716,394,1965
PINDI BHATTIAN,HAFIZABAD,TEHSIL,RURAL,80163,6,,1,56837,18368,3513,216,1222
PINDI BHATTIAN,HAFIZABAD,TEHSIL,URBAN,33281,2,,3,24513,6639,1203,178,743
JHANG,JHANG,DISTRICT,OVERALL,551651,19,14,14,427689,95143,17559,2486,8727
JHANG,JHANG,DISTRICT,RURAL,395145,12,2,7,306912,69644,10784,1934,5850
JHANG,JHANG,DISTRICT,URBAN,156506,7,12,7,120777,25499,6775,552,2877
-HAZARI,JHANG,TEHSIL,OVERALL,61323,,,,48399,10526,1524,375,499
-HAZARI,JHANG,TEHSIL,RURAL,55763,,,,44257,9409,1291,369,437
-HAZARI,JHANG,TEHSIL,URBAN,5560,,,,4142,1117,233,6,62
AHMADPUR SIAL,JHANG,TEHSIL,OVERALL,87236,,1,1,63851,19227,2263,428,1465
AHMADPUR SIAL,JHANG,TEHSIL,RURAL,69306,,,,52040,14260,1646,283,1077
AHMADPUR SIAL,JHANG,TEHSIL,URBAN,17930,,1,1,11811,4967,617,145,388
JHANG,JHANG,TEHSIL,OVERALL,290413,15,13,7,230640,43418,11002,1312,4006
JHANG,JHANG,TEHSIL,RURAL,173112,10,2,3,137051,27725,5487,965,1869
JHANG,JHANG,TEHSIL,URBAN,117301,5,11,4,93589,15693,5515,347,2137
SHORKOT,JHANG,TEHSIL,OVERALL,112679,4,,6,84799,21972,2770,371,2757
SHORKOT,JHANG,TEHSIL,RURAL,96964,2,,4,73564,18250,2360,317,2467
SHORKOT,JHANG,TEHSIL,URBAN,15715,2,,2,11235,3722,410,54,290
JHELUM,JHELUM,DISTRICT,OVERALL,297404,642,38,112,241434,35626,8780,1084,9688
JHELUM,JHELUM,DISTRICT,RURAL,191708,16,5,14,156712,23947,4429,575,6010
JHELUM,JHELUM,DISTRICT,URBAN,105696,626,33,98,84722,11679,4351,509,3678
DINA,JHELUM,TEHSIL,OVERALL,54380,212,8,27,45503,4936,1717,217,1760
DINA,JHELUM,TEHSIL,RURAL,35641,3,3,5,30350,2997,989,135,1159
