name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,29770,27582,1113,866,14,12,183,28503,1058,17581,9080,2175,934
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,RURAL,23215,21904,449,796,4,4,58,22280,869,14441,6759,1474,541
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,URBAN,6555,5678,664,70,10,8,125,6223,189,3140,2321,701,393
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,18641,13576,223,3788,62,336,656,16504,1083,15451,2506,504,180
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,12770,9163,75,2794,2,178,558,11243,789,10500,1844,321,105
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,5871,4413,148,994,60,158,98,5261,294,4951,662,183,75
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,40289,33969,3105,2828,126,3,258,38231,1671,21324,10784,4126,4055
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,RURAL,19215,16133,366,2521,5,3,187,17915,1105,13739,3991,1050,435
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,URBAN,21074,17836,2739,307,121,,71,20316,566,7585,6793,3076,3620
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,23046,21349,217,726,,,754,21640,652,15597,5684,1268,497
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,RURAL,23046,21349,217,726,,,754,21640,652,15597,5684,1268,497
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,URBAN,,,,,,,,,,,,,
WARAH,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,48615,46569,1048,578,13,52,355,46490,1705,32108,11631,3150,1726
WARAH,KAMBAR SHAHDAD KOT,TALUKA,RURAL,34748,33580,262,528,7,50,321,33225,1145,25222,7026,1511,989
WARAH,KAMBAR SHAHDAD KOT,TALUKA,URBAN,13867,12989,786,50,6,2,34,13265,560,6886,4605,1639,737
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,OVERALL,651268,368679,256948,16721,5911,566,2443,580069,62279,107609,226823,177386,139450
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,RURAL,,,,,,,,,,,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,URBAN,651268,368679,256948,16721,5911,566,2443,580069,62279,107609,226823,177386,139450
GULBERG,KARACHI CENTRAL,SUB-DIVISION,OVERALL,106679,62053,41261,2280,159,149,777,93617,11977,9438,28665,40482,28094
GULBERG,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,,,,
GULBERG,KARACHI CENTRAL,SUB-DIVISION,URBAN,106679,62053,41261,2280,159,149,777,93617,11977,9438,28665,40482,28094
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,97560,52870,38789,1806,3746,80,269,85531,7934,21197,54439,15177,6747
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,,,,
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,97560,52870,38789,1806,3746,80,269,85531,7934,21197,54439,15177,6747
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,96275,57436,36745,1374,350,107,263,87473,8082,17669,32919,24902,20785
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,,,,
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,96275,57436,36745,1374,350,107,263,87473,8082,17669,32919,24902,20785
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,OVERALL,196488,115405,75764,4534,152,103,530,178892,16811,39333,71701,50779,34675
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,,,,
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,URBAN,196488,115405,75764,4534,152,103,530,178892,16811,39333,71701,50779,34675
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,154266,80915,64389,6727,1504,127,604,134556,17475,19972,39099,46046,49149
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,,,,
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,154266,80915,64389,6727,1504,127,604,134556,17475,19972,39099,46046,49149
KARACHI EAST,KARACHI EAST,DISTRICT,OVERALL,659389,377550,250560,11825,14157,678,4619,586756,53179,107677,192621,181148,177943
KARACHI EAST,KARACHI EAST,DISTRICT,RURAL,,,,,,,,,,,,,
KARACHI EAST,KARACHI EAST,DISTRICT,URBAN,659389,377550,250560,11825,14157,678,4619,586756,53179,107677,192621,181148,177943
