name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
KAN MEHTARZAI,KILLA SAIFULLAH,SUB-TEHSIL,OVERALL,7348,3308,3727,1674,1947,4740,504
KAN MEHTARZAI,KILLA SAIFULLAH,SUB-TEHSIL,RURAL,7348,3308,3727,1674,1947,4740,504
KAN MEHTARZAI,KILLA SAIFULLAH,SUB-TEHSIL,URBAN,,,,,,,
KILLA SAIFULLAH,KILLA SAIFULLAH,SUB-DIVISION,OVERALL,29319,7540,9676,4566,15077,20183,1686
KILLA SAIFULLAH,KILLA SAIFULLAH,SUB-DIVISION,RURAL,22108,3971,4466,3438,14204,15902,1392
KILLA SAIFULLAH,KILLA SAIFULLAH,SUB-DIVISION,URBAN,7211,3569,5210,1128,873,4281,294
LOIBAND,KILLA SAIFULLAH,TEHSIL,OVERALL,5105,546,253,630,4222,3473,409
LOIBAND,KILLA SAIFULLAH,TEHSIL,RURAL,5105,546,253,630,4222,3473,409
LOIBAND,KILLA SAIFULLAH,TEHSIL,URBAN,,,,,,,
MUSLIM BAGH,KILLA SAIFULLAH,TEHSIL,OVERALL,14084,6984,8615,2452,3017,10705,395
MUSLIM BAGH,KILLA SAIFULLAH,TEHSIL,RURAL,9385,4272,4298,2157,2930,6875,340
MUSLIM BAGH,KILLA SAIFULLAH,TEHSIL,URBAN,4699,2712,4317,295,87,3830,55
SHINKI,KILLA SAIFULLAH,SUB-TEHSIL,OVERALL,11373,1350,755,1300,9318,6108,2112
SHINKI,KILLA SAIFULLAH,SUB-TEHSIL,RURAL,11373,1350,755,1300,9318,6108,2112
SHINKI,KILLA SAIFULLAH,SUB-TEHSIL,URBAN,,,,,,,
KOHLU,KOHLU,DISTRICT,OVERALL,38095,7407,8585,3837,25673,12370,18326
KOHLU,KOHLU,DISTRICT,RURAL,34936,5727,5738,3649,25549,10584,18036
KOHLU,KOHLU,DISTRICT,URBAN,3159,1680,2847,188,124,1786,290
GRISANI,KOHLU,SUB-TEHSIL,OVERALL,2401,305,674,588,1139,387,914
