name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
THAL CHUTYALI,SUB-DIVISION,DUKI,RURAL,,32205,16389,15813,3,103.64,,,3.8,23983,5.05
THAL CHUTYALI,SUB-DIVISION,DUKI,URBAN,,,,,,,,,,,
GWADAR,DISTRICT,GWADAR,OVERALL,12637,305160,160744,144385,31,111.33,24.15,52.12,6,262253,2.56
GWADAR,DISTRICT,GWADAR,RURAL,,146125,76472,69639,14,109.81,,,6.4,101474,6.28
GWADAR,DISTRICT,GWADAR,URBAN,,159035,84272,74746,17,112.74,,,5.7,160779,-.18
GWADAR,SUB-DIVISION,GWADAR,OVERALL,2590,147673,78278,69379,16,112.83,57.02,47.98,6,137695,1.18
GWADAR,SUB-DIVISION,GWADAR,RURAL,,76821,40700,36113,8,112.7,,,7.3,47494,8.369999999999999
GWADAR,SUB-DIVISION,GWADAR,URBAN,,70852,37578,33266,8,112.96,,,5,90201,-3.95
JIWANI,TEHSIL,GWADAR,OVERALL,454,35004,18511,16487,6,112.28,77.09999999999999,72.37,7.9,26691,4.64
JIWANI,TEHSIL,GWADAR,RURAL,,9672,4593,5077,2,90.47,,,6.1,8423,2.34
JIWANI,TEHSIL,GWADAR,URBAN,,25332,13918,11410,4,121.98,,,8.9,18268,5.62
ORMARA,TEHSIL,GWADAR,OVERALL,2796,27832,14373,13459,,106.79,9.949999999999999,69.55,5.1,25634,1.38
ORMARA,TEHSIL,GWADAR,RURAL,,8475,4402,4073,,108.08,,,4.7,7881,1.22
ORMARA,TEHSIL,GWADAR,URBAN,,19357,9971,9386,,106.23,,,5.3,17753,1.46
PASNI,SUB-DIVISION,GWADAR,OVERALL,4822,74128,38410,35711,7,107.56,15.37,58.67,5.4,61347,3.21
PASNI,SUB-DIVISION,GWADAR,RURAL,,30634,15605,15027,2,103.85,,,4.8,26790,2.27
PASNI,SUB-DIVISION,GWADAR,URBAN,,43494,22805,20684,5,110.25,,,5.9,34557,3.92
SUNTSER,SUB-TEHSIL,GWADAR,OVERALL,1975,20523,11172,9349,2,119.5,10.39,,9,10886,11.18
SUNTSER,SUB-TEHSIL,GWADAR,RURAL,,20523,11172,9349,2,119.5,,,9,10886,11.18
SUNTSER,SUB-TEHSIL,GWADAR,URBAN,,,,,,,,,,,
HARNAI,DISTRICT,HARNAI,OVERALL,2492,127571,67362,60205,4,111.89,51.19,26.21,7.7,97052,4.68
HARNAI,DISTRICT,HARNAI,RURAL,,94138,48654,45481,3,106.98,,,7.9,72490,4.46
HARNAI,DISTRICT,HARNAI,URBAN,,33433,18708,14724,1,127.06,,,7.4,24562,5.29
HARNAI,SUB-DIVISION,HARNAI,OVERALL,259,82001,40994,41003,4,99.98,316.61,17.41,8,64056,4.21
HARNAI,SUB-DIVISION,HARNAI,RURAL,,67724,33837,33884,3,99.86,,,8.4,50753,4.94
HARNAI,SUB-DIVISION,HARNAI,URBAN,,14277,7157,7119,1,100.53,,,6.7,13303,1.19
KHOAST,SUB-DIVISION,HARNAI,OVERALL,1619,16565,9358,7207,,129.85,10.23,,7.4,12279,5.13
KHOAST,SUB-DIVISION,HARNAI,RURAL,,16565,9358,7207,,129.85,,,7.4,12279,5.13
KHOAST,SUB-DIVISION,HARNAI,URBAN,,,,,,,,,,,
SHAHRIG,TEHSIL,HARNAI,OVERALL,614,29005,17010,11995,,141.81,47.24,66.04000000000001,7.2,20717,5.79
SHAHRIG,TEHSIL,HARNAI,RURAL,,9849,5459,4390,,124.35,,,6,9458,.68
SHAHRIG,TEHSIL,HARNAI,URBAN,,19156,11551,7605,,151.89,,,8,11259,9.289999999999999
JAFFARABAD,DISTRICT,JAFFARABAD,OVERALL,1643,594558,301370,293177,11,102.79,361.87,27.48,7.2,513972,2.46
JAFFARABAD,DISTRICT,JAFFARABAD,RURAL,,431165,218419,212743,3,102.67,,,6.8,356261,3.24
