name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
KARAK,KARAK,TEHSIL,RURAL,31994,30850,720,337,8,5,74,30679,1228,5312,8929,7657,10096
KARAK,KARAK,TEHSIL,URBAN,7936,6501,1258,31,94,2,50,7531,259,773,2003,2236,2924
TAKHT-E-NASRATI,KARAK,TEHSIL,OVERALL,33808,32963,377,262,12,5,189,32494,1108,7779,9164,7269,9596
TAKHT-E-NASRATI,KARAK,TEHSIL,RURAL,33808,32963,377,262,12,5,189,32494,1108,7779,9164,7269,9596
TAKHT-E-NASRATI,KARAK,TEHSIL,URBAN,,,,,,,,,,,,,
KHYBER,KHYBER,DISTRICT,OVERALL,166805,148637,9732,7611,468,36,321,162708,3272,78923,46045,21457,20380
KHYBER,KHYBER,DISTRICT,RURAL,152977,137787,7429,7244,178,31,308,149373,3087,73015,41845,19613,18504
KHYBER,KHYBER,DISTRICT,URBAN,13828,10850,2303,367,290,5,13,13335,185,5908,4200,1844,1876
BARA,KHYBER,TEHSIL,OVERALL,76240,69521,2531,4043,16,17,112,74353,1742,28296,23117,12383,12444
BARA,KHYBER,TEHSIL,RURAL,76240,69521,2531,4043,16,17,112,74353,1742,28296,23117,12383,12444
BARA,KHYBER,TEHSIL,URBAN,,,,,,,,,,,,,
JAMRUD,KHYBER,TEHSIL,OVERALL,37127,30142,5673,1146,80,11,75,36208,753,18720,10182,4418,3807
JAMRUD,KHYBER,TEHSIL,RURAL,28664,23820,3812,954,8,6,64,27969,617,15383,7620,3099,2562
JAMRUD,KHYBER,TEHSIL,URBAN,8463,6322,1861,192,72,5,11,8239,136,3337,2562,1319,1245
LANDI KOTAL,KHYBER,TEHSIL,OVERALL,47515,43342,1471,2380,224,6,92,46468,725,29779,10962,3663,3111
LANDI KOTAL,KHYBER,TEHSIL,RURAL,42150,38814,1029,2205,6,6,90,41372,676,27208,9324,3138,2480
LANDI KOTAL,KHYBER,TEHSIL,URBAN,5365,4528,442,175,218,,2,5096,49,2571,1638,525,631
MULLA GORI,KHYBER,TEHSIL,OVERALL,5923,5632,57,42,148,2,42,5679,52,2128,1784,993,1018
MULLA GORI,KHYBER,TEHSIL,RURAL,5923,5632,57,42,148,2,42,5679,52,2128,1784,993,1018
MULLA GORI,KHYBER,TEHSIL,URBAN,,,,,,,,,,,,,
KOHAT,KOHAT,DISTRICT,OVERALL,169679,138621,20670,6501,2998,49,840,159128,6664,37682,55181,37553,39263
KOHAT,KOHAT,DISTRICT,RURAL,127770,113947,8278,4858,348,16,323,121684,5399,32084,40477,26784,28425
KOHAT,KOHAT,DISTRICT,URBAN,41909,24674,12392,1643,2650,33,517,37444,1265,5598,14704,10769,10838
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,OVERALL,18161,17148,584,405,4,3,17,17154,983,5685,5016,3079,4381
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,RURAL,18161,17148,584,405,4,3,17,17154,983,5685,5016,3079,4381
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,URBAN,,,,,,,,,,,,,
GUMBAT,KOHAT,TEHSIL,OVERALL,18466,17581,408,426,11,2,38,17444,971,5402,6458,4030,2576
GUMBAT,KOHAT,TEHSIL,RURAL,18466,17581,408,426,11,2,38,17444,971,5402,6458,4030,2576
GUMBAT,KOHAT,TEHSIL,URBAN,,,,,,,,,,,,,
KOHAT,KOHAT,TEHSIL,OVERALL,111368,83884,18648,5079,2965,40,752,103904,3707,21386,35298,25852,28832
KOHAT,KOHAT,TEHSIL,RURAL,75605,64411,7002,3613,327,9,243,72352,2674,16818,22884,16606,19297
KOHAT,KOHAT,TEHSIL,URBAN,35763,19473,11646,1466,2638,31,509,31552,1033,4568,12414,9246,9535
LACHI,KOHAT,TEHSIL,OVERALL,21684,20008,1030,591,18,4,33,20626,1003,5209,8409,4592,3474
LACHI,KOHAT,TEHSIL,RURAL,15538,14807,284,414,6,2,25,14734,771,4179,6119,3069,2171
LACHI,KOHAT,TEHSIL,URBAN,6146,5201,746,177,12,2,8,5892,232,1030,2290,1523,1303
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,OVERALL,33983,31163,328,2126,15,14,337,30395,3222,9705,11123,6685,6470
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,RURAL,33983,31163,328,2126,15,14,337,30395,3222,9705,11123,6685,6470
