name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
ORANGI,KARACHI WEST,SUB-DIVISION,OVERALL,95128,94189,786,153,90874,2642,1351,261,72476,854
ORANGI,KARACHI WEST,SUB-DIVISION,RURAL,,,,,,,,,,
ORANGI,KARACHI WEST,SUB-DIVISION,URBAN,95128,94189,786,153,90874,2642,1351,261,72476,854
KASHMORE,KASHMORE,DISTRICT,OVERALL,208894,91811,57124,59959,27048,526,140187,41133,69072,77713
KASHMORE,KASHMORE,DISTRICT,RURAL,162939,53813,51229,57897,3931,186,119761,39061,49904,70499
KASHMORE,KASHMORE,DISTRICT,URBAN,45955,37998,5895,2062,23117,340,20426,2072,19168,7214
KANDHKOT,KASHMORE,TALUKA,OVERALL,69182,32981,26385,9816,15665,119,47395,6003,29630,14989
KANDHKOT,KASHMORE,TALUKA,RURAL,43791,12222,22137,9432,836,42,37227,5686,19517,11912
KANDHKOT,KASHMORE,TALUKA,URBAN,25391,20759,4248,384,14829,77,10168,317,10113,3077
KASHMORE,KASHMORE,TALUKA,OVERALL,81957,38173,11934,31850,8775,263,52789,20130,21858,35426
KASHMORE,KASHMORE,TALUKA,RURAL,65838,23957,11151,30730,1665,72,44754,19347,14240,32772
KASHMORE,KASHMORE,TALUKA,URBAN,16119,14216,783,1120,7110,191,8035,783,7618,2654
TANGWANI,KASHMORE,TALUKA,OVERALL,57755,20657,18805,18293,2608,144,40003,15000,17584,27298
TANGWANI,KASHMORE,TALUKA,RURAL,53310,17634,17941,17735,1430,72,37780,14028,16147,25815
TANGWANI,KASHMORE,TALUKA,URBAN,4445,3023,864,558,1178,72,2223,972,1437,1483
KEAMARI,KEAMARI,DISTRICT,OVERALL,319121,311530,4776,2815,269053,21105,25737,3226,238761,6254
KEAMARI,KEAMARI,DISTRICT,RURAL,,,,,,,,,,
KEAMARI,KEAMARI,DISTRICT,URBAN,319121,311530,4776,2815,269053,21105,25737,3226,238761,6254
BALDIA,KEAMARI,SUB-DIVISION,OVERALL,148116,145941,1163,1012,133498,3200,10403,1015,115685,1262
BALDIA,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,
BALDIA,KEAMARI,SUB-DIVISION,URBAN,148116,145941,1163,1012,133498,3200,10403,1015,115685,1262
KEAMARI,KEAMARI,SUB-DIVISION,OVERALL,68571,67718,393,460,48007,15245,3648,1671,49044,1955
KEAMARI,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,
KEAMARI,KEAMARI,SUB-DIVISION,URBAN,68571,67718,393,460,48007,15245,3648,1671,49044,1955
MAURIPUR,KEAMARI,SUB-DIVISION,OVERALL,37369,33362,2905,1102,26546,1284,9315,224,29532,1629
MAURIPUR,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,
MAURIPUR,KEAMARI,SUB-DIVISION,URBAN,37369,33362,2905,1102,26546,1284,9315,224,29532,1629
SITE,KEAMARI,SUB-DIVISION,OVERALL,65065,64509,315,241,61002,1376,2371,316,44500,1408
SITE,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,
SITE,KEAMARI,SUB-DIVISION,URBAN,65065,64509,315,241,61002,1376,2371,316,44500,1408
KHAIRPUR,KHAIRPUR,DISTRICT,OVERALL,452250,237916,124244,90090,101564,1540,337657,11489,185583,172270
KHAIRPUR,KHAIRPUR,DISTRICT,RURAL,305732,131984,100054,73694,34836,368,261398,9130,112909,135864
KHAIRPUR,KHAIRPUR,DISTRICT,URBAN,146518,105932,24190,16396,66728,1172,76259,2359,72674,36406
FAIZ GANJ,KHAIRPUR,TALUKA,OVERALL,47365,19002,14860,13503,1804,73,43768,1720,12649,28359
FAIZ GANJ,KHAIRPUR,TALUKA,RURAL,37892,12926,13183,11783,1788,38,34563,1503,10488,23409
FAIZ GANJ,KHAIRPUR,TALUKA,URBAN,9473,6076,1677,1720,16,35,9205,217,2161,4950
GAMBAT,KHAIRPUR,TALUKA,OVERALL,47323,22747,16918,7658,12837,298,32742,1446,23659,12045
GAMBAT,KHAIRPUR,TALUKA,RURAL,30107,10147,13247,6713,3671,11,25168,1257,12849,10333
GAMBAT,KHAIRPUR,TALUKA,URBAN,17216,12600,3671,945,9166,287,7574,189,10810,1712
KHAIRPUR,KHAIRPUR,TALUKA,OVERALL,87201,57636,17056,12509,39872,814,45544,971,43656,20757
KHAIRPUR,KHAIRPUR,TALUKA,RURAL,40498,18920,11365,10213,8999,167,30716,616,15956,13873
KHAIRPUR,KHAIRPUR,TALUKA,URBAN,46703,38716,5691,2296,30873,647,14828,355,27700,6884
KINGRI,KHAIRPUR,TALUKA,OVERALL,59508,20387,29704,9417,14292,63,43340,1813,25538,18651
KINGRI,KHAIRPUR,TALUKA,RURAL,43524,9543,26016,7965,5945,23,35918,1638,16158,16352
KINGRI,KHAIRPUR,TALUKA,URBAN,15984,10844,3688,1452,8347,40,7422,175,9380,2299
KOT DIJI,KHAIRPUR,TALUKA,OVERALL,62663,42842,11678,8143,12195,58,49320,1090,23975,24926
KOT DIJI,KHAIRPUR,TALUKA,RURAL,46815,31119,8761,6935,7215,39,38915,646,19224,18731
KOT DIJI,KHAIRPUR,TALUKA,URBAN,15848,11723,2917,1208,4980,19,10405,444,4751,6195
MIRWAH,KHAIRPUR,TALUKA,OVERALL,67276,35865,15754,15657,7008,109,57899,2260,23998,32487
MIRWAH,KHAIRPUR,TALUKA,RURAL,49908,24920,12466,12522,2164,74,45702,1968,17025,26044
