name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
LYARI,KARACHI SOUTH,SUB-DIVISION,URBAN,166943,164948,149349,17594,93817,64644,282,1547,4406,2247
SADDAR,KARACHI SOUTH,SUB-DIVISION,OVERALL,28498,27546,12704,15794,11205,4055,36,4816,5132,3254
SADDAR,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,
SADDAR,KARACHI SOUTH,SUB-DIVISION,URBAN,28498,27546,12704,15794,11205,4055,36,4816,5132,3254
KARACHI WEST,KARACHI WEST,DISTRICT,OVERALL,464756,450262,298747,166009,269550,44255,3244,4592,8787,134328
KARACHI WEST,KARACHI WEST,DISTRICT,RURAL,43348,42151,35257,8091,31518,5768,345,295,1207,4215
KARACHI WEST,KARACHI WEST,DISTRICT,URBAN,421408,408111,263490,157918,238032,38487,2899,4297,7580,130113
MANGHOPIR,KARACHI WEST,SUB-DIVISION,OVERALL,195372,188787,132338,63034,115583,21739,1866,3935,6047,46202
MANGHOPIR,KARACHI WEST,SUB-DIVISION,RURAL,43348,42151,35257,8091,31518,5768,345,295,1207,4215
MANGHOPIR,KARACHI WEST,SUB-DIVISION,URBAN,152024,146636,97081,54943,84065,15971,1521,3640,4840,41987
MOMINABAD,KARACHI WEST,SUB-DIVISION,OVERALL,174256,167884,83519,90737,76071,11386,1166,483,1878,83272
MOMINABAD,KARACHI WEST,SUB-DIVISION,RURAL,,,,,,,,,,
MOMINABAD,KARACHI WEST,SUB-DIVISION,URBAN,174256,167884,83519,90737,76071,11386,1166,483,1878,83272
ORANGI,KARACHI WEST,SUB-DIVISION,OVERALL,95128,93591,82890,12238,77896,11130,212,174,862,4854
ORANGI,KARACHI WEST,SUB-DIVISION,RURAL,,,,,,,,,,
ORANGI,KARACHI WEST,SUB-DIVISION,URBAN,95128,93591,82890,12238,77896,11130,212,174,862,4854
KASHMORE,KASHMORE,DISTRICT,OVERALL,208894,201325,177935,30959,103953,94556,804,529,656,8396
KASHMORE,KASHMORE,DISTRICT,RURAL,162939,155791,138365,24574,84384,70447,735,12,155,7206
KASHMORE,KASHMORE,DISTRICT,URBAN,45955,45534,39570,6385,19569,24109,69,517,501,1190
KANDHKOT,KASHMORE,TALUKA,OVERALL,69182,68057,62303,6879,38818,27798,294,345,447,1480
KANDHKOT,KASHMORE,TALUKA,RURAL,43791,42779,40136,3655,27600,14982,263,1,3,942
KANDHKOT,KASHMORE,TALUKA,URBAN,25391,25278,22167,3224,11218,12816,31,344,444,538
KASHMORE,KASHMORE,TALUKA,OVERALL,81957,77585,65584,16373,37117,39308,343,184,150,4855
KASHMORE,KASHMORE,TALUKA,RURAL,65838,61716,52465,13373,30961,30204,308,11,93,4261
KASHMORE,KASHMORE,TALUKA,URBAN,16119,15869,13119,3000,6156,9104,35,173,57,594
TANGWANI,KASHMORE,TALUKA,OVERALL,57755,55683,50048,7707,28018,27450,167,,59,2061
TANGWANI,KASHMORE,TALUKA,RURAL,53310,51296,45764,7546,25823,25261,164,,59,2003
