name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,URBAN,128397,1800,13,767,102468,9553,3928,2735,7142
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,OVERALL,38168,2692,30,938,28215,3614,2006,42,631
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,URBAN,38168,2692,30,938,28215,3614,2006,42,631
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,OVERALL,134853,8727,731,8395,92155,12973,8517,99,3279
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,RURAL,,,,,,,,,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,URBAN,134853,8727,731,8395,92155,12973,8517,99,3279
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,OVERALL,9377,218,162,1271,4685,2178,777,3,83
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,URBAN,9377,218,162,1271,4685,2178,777,3,83
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,OVERALL,48658,3208,355,1970,35733,3156,2412,51,1773
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,URBAN,48658,3208,355,1970,35733,3156,2412,51,1773
GARDEN,KARACHI SOUTH,SUB-DIVISION,OVERALL,18799,1246,49,1845,10533,3222,1550,26,349
GARDEN,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,
GARDEN,KARACHI SOUTH,SUB-DIVISION,URBAN,18799,1246,49,1845,10533,3222,1550,26,349
LYARI,KARACHI SOUTH,SUB-DIVISION,OVERALL,45528,3399,18,2826,32556,2996,2974,14,746
LYARI,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,
LYARI,KARACHI SOUTH,SUB-DIVISION,URBAN,45528,3399,18,2826,32556,2996,2974,14,746
SADDAR,KARACHI SOUTH,SUB-DIVISION,OVERALL,12491,656,147,483,8648,1421,804,5,328
SADDAR,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,
SADDAR,KARACHI SOUTH,SUB-DIVISION,URBAN,12491,656,147,483,8648,1421,804,5,328
KARACHI WEST,KARACHI WEST,DISTRICT,OVERALL,370817,1147,31,498,316065,21597,16037,691,14866
KARACHI WEST,KARACHI WEST,DISTRICT,RURAL,46324,9,,5,39032,2375,818,139,4044
KARACHI WEST,KARACHI WEST,DISTRICT,URBAN,324493,1138,31,493,277033,19222,15219,552,10822
MANGHOPIR,KARACHI WEST,SUB-DIVISION,OVERALL,169401,492,4,211,145533,7188,4847,642,10583
MANGHOPIR,KARACHI WEST,SUB-DIVISION,RURAL,46324,9,,5,39032,2375,818,139,4044
MANGHOPIR,KARACHI WEST,SUB-DIVISION,URBAN,123077,483,4,206,106501,4813,4029,503,6539
MOMINABAD,KARACHI WEST,SUB-DIVISION,OVERALL,139183,80,7,23,120330,9287,6296,8,3168
MOMINABAD,KARACHI WEST,SUB-DIVISION,RURAL,,,,,,,,,
MOMINABAD,KARACHI WEST,SUB-DIVISION,URBAN,139183,80,7,23,120330,9287,6296,8,3168
ORANGI,KARACHI WEST,SUB-DIVISION,OVERALL,62233,575,20,264,50202,5122,4894,41,1115
ORANGI,KARACHI WEST,SUB-DIVISION,RURAL,,,,,,,,,
ORANGI,KARACHI WEST,SUB-DIVISION,URBAN,62233,575,20,264,50202,5122,4894,41,1115
KASHMORE,KASHMORE,DISTRICT,OVERALL,171043,109,2,16,139836,21040,1805,6423,1812
KASHMORE,KASHMORE,DISTRICT,RURAL,127980,95,,2,109751,10391,739,5902,1100
KASHMORE,KASHMORE,DISTRICT,URBAN,43063,14,2,14,30085,10649,1066,521,712
KANDHKOT,KASHMORE,TALUKA,OVERALL,56401,12,1,13,47700,6520,716,927,512
