name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
JARANWALA,FAISALABAD,TEHSIL,RURAL,222845,204765,70508,152337,63225,96828,430,21811,2550,38001
JARANWALA,FAISALABAD,TEHSIL,URBAN,41674,37672,9019,32655,8100,14268,102,8278,2182,8744
SAMMUNDRI,FAISALABAD,TEHSIL,OVERALL,110873,102021,31285,79588,30558,42475,584,13227,2116,21913
SAMMUNDRI,FAISALABAD,TEHSIL,RURAL,79879,74872,25195,54684,23432,31441,490,9160,1437,13919
SAMMUNDRI,FAISALABAD,TEHSIL,URBAN,30994,27149,6090,24904,7126,11034,94,4067,679,7994
TANDLIAN WALA,FAISALABAD,TEHSIL,OVERALL,125388,119963,65409,59979,13512,60748,245,34956,1760,14167
TANDLIAN WALA,FAISALABAD,TEHSIL,RURAL,111435,106074,57733,53702,12836,52834,221,29695,1757,14092
TANDLIAN WALA,FAISALABAD,TEHSIL,URBAN,13953,13889,7676,6277,676,7914,24,5261,3,75
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,849177,841395,658143,191034,96320,656222,2284,86031,261,8059
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,333189,331044,255810,77379,35881,270466,776,23715,38,2313
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,515988,510351,402333,113655,60439,385756,1508,62316,223,5746
GUJRANWALA CITY,GUJRANWALA,TEHSIL,OVERALL,356287,352384,289506,66781,40585,273352,1148,37140,157,3905
GUJRANWALA CITY,GUJRANWALA,TEHSIL,RURAL,,,,,,,,,,
GUJRANWALA CITY,GUJRANWALA,TEHSIL,URBAN,356287,352384,289506,66781,40585,273352,1148,37140,157,3905
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,OVERALL,168704,167091,129624,39080,14678,133474,487,18237,52,1776
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,RURAL,114033,113067,90859,23174,8600,95412,344,8530,19,1128
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,URBAN,54671,54024,38765,15906,6078,38062,143,9707,33,648
KAMOKE,GUJRANWALA,TEHSIL,OVERALL,94236,93778,74113,20123,10155,75452,209,7930,24,466
KAMOKE,GUJRANWALA,TEHSIL,RURAL,51778,51419,40740,11038,7136,41088,95,3093,4,362
KAMOKE,GUJRANWALA,TEHSIL,URBAN,42458,42359,33373,9085,3019,34364,114,4837,20,104
