name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
RAHIM YAR KHAN,RAHIM YAR KHAN,TEHSIL,TOTAL,266856,172658,94198
RAIWIND,LAHORE,TEHSIL,KACHA,5270,,5270
RAIWIND,LAHORE,TEHSIL,PAKKA,157242,,157242
RAIWIND,LAHORE,TEHSIL,SEMI PAKKA,8167,,8167
RAIWIND,LAHORE,TEHSIL,TOTAL,170679,,170679
RAJANPUR,RAJANPUR,DE-EXCLUDED_AREA,KACHA,4708,4708,
RAJANPUR,RAJANPUR,DE-EXCLUDED_AREA,PAKKA,483,483,
RAJANPUR,RAJANPUR,DE-EXCLUDED_AREA,SEMI PAKKA,1247,1247,
RAJANPUR,RAJANPUR,DE-EXCLUDED_AREA,TOTAL,6438,6438,
RAJANPUR,RAJANPUR,DISTRICT,KACHA,152953,137486,15467
RAJANPUR,RAJANPUR,DISTRICT,PAKKA,141395,71491,69904
RAJANPUR,RAJANPUR,DISTRICT,SEMI PAKKA,59668,48528,11140
RAJANPUR,RAJANPUR,DISTRICT,TOTAL,354016,257505,96511
RAJANPUR,RAJANPUR,TEHSIL,KACHA,38291,31890,6401
RAJANPUR,RAJANPUR,TEHSIL,PAKKA,65331,29516,35815
RAJANPUR,RAJANPUR,TEHSIL,SEMI PAKKA,26003,20322,5681
RAJANPUR,RAJANPUR,TEHSIL,TOTAL,129625,81728,47897
RAWALPINDI,RAWALPINDI,DISTRICT,KACHA,15125,9129,5996
RAWALPINDI,RAWALPINDI,DISTRICT,PAKKA,954371,293976,660395
RAWALPINDI,RAWALPINDI,DISTRICT,SEMI PAKKA,28504,22157,6347
RAWALPINDI,RAWALPINDI,DISTRICT,TOTAL,998000,325262,672738
RAWALPINDI,RAWALPINDI,TEHSIL,KACHA,6377,1448,4929
RAWALPINDI,RAWALPINDI,TEHSIL,PAKKA,574295,56231,518064
RAWALPINDI,RAWALPINDI,TEHSIL,SEMI PAKKA,9076,4529,4547
