name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
BAKKA KHEL,BANNU,TEHSIL,65 &  ABOVE,4881,2846,2035,,4881,2846,2035,,,,,
BANNU,BANNU,TEHSIL,ALL AGES,642835,332312,310506,17,594739,306394,288335,10,48096,25918,22171,7
BANNU,BANNU,TEHSIL,UNDER 1,12276,6275,6001,,11530,5894,5636,,746,381,365,
BANNU,BANNU,TEHSIL,UNDER 5,104673,53987,50686,,99014,51073,47941,,5659,2914,2745,
BANNU,BANNU,TEHSIL,UNDER 10,205310,106783,98527,,193545,100742,92803,,11765,6041,5724,
BANNU,BANNU,TEHSIL,UNDER 15,285436,149355,136080,1,267569,139921,127648,,17867,9434,8432,1
BANNU,BANNU,TEHSIL,05 - 24,300466,157010,143449,7,277713,144338,133371,4,22753,12672,10078,3
BANNU,BANNU,TEHSIL,15 - 49,293214,147554,145646,14,268087,133903,134176,8,25127,13651,11470,6
BANNU,BANNU,TEHSIL,15 - 64,339558,172226,167316,16,310741,156551,154180,10,28817,15675,13136,6
BANNU,BANNU,TEHSIL,18 - 60,290061,145571,144477,13,265385,132368,133009,8,24676,13203,11468,5
BANNU,BANNU,TEHSIL,18 &  ABOVE,317043,161405,155625,13,290303,147028,143267,8,26740,14377,12358,5
BANNU,BANNU,TEHSIL,60 &  ABOVE,30442,17801,12641,,28062,16444,11618,,2380,1357,1023,
BANNU,BANNU,TEHSIL,65 &  ABOVE,17841,10731,7110,,16429,9922,6507,,1412,809,603,
DOMEL,BANNU,TEHSIL,ALL AGES,223534,119874,103660,,223534,119874,103660,,,,,
DOMEL,BANNU,TEHSIL,UNDER 1,3620,1899,1721,,3620,1899,1721,,,,,
DOMEL,BANNU,TEHSIL,UNDER 5,35418,18538,16880,,35418,18538,16880,,,,,
DOMEL,BANNU,TEHSIL,UNDER 10,69969,37470,32499,,69969,37470,32499,,,,,
DOMEL,BANNU,TEHSIL,UNDER 15,98912,53841,45071,,98912,53841,45071,,,,,
DOMEL,BANNU,TEHSIL,05 - 24,107191,58915,48276,,107191,58915,48276,,,,,
DOMEL,BANNU,TEHSIL,15 - 49,101956,53409,48547,,101956,53409,48547,,,,,
DOMEL,BANNU,TEHSIL,15 - 64,117455,61679,55776,,117455,61679,55776,,,,,
DOMEL,BANNU,TEHSIL,18 - 60,99428,51612,47816,,99428,51612,47816,,,,,
DOMEL,BANNU,TEHSIL,18 &  ABOVE,109858,57866,51992,,109858,57866,51992,,,,,
DOMEL,BANNU,TEHSIL,60 &  ABOVE,11584,6871,4713,,11584,6871,4713,,,,,
DOMEL,BANNU,TEHSIL,65 &  ABOVE,7167,4354,2813,,7167,4354,2813,,,,,
KAKKI,BANNU,TEHSIL,ALL AGES,92021,47994,44026,1,92021,47994,44026,1,,,,
KAKKI,BANNU,TEHSIL,UNDER 1,1783,937,846,,1783,937,846,,,,,
KAKKI,BANNU,TEHSIL,UNDER 5,16215,8463,7752,,16215,8463,7752,,,,,
KAKKI,BANNU,TEHSIL,UNDER 10,30683,16206,14477,,30683,16206,14477,,,,,
KAKKI,BANNU,TEHSIL,UNDER 15,41866,22139,19726,1,41866,22139,19726,1,,,,
KAKKI,BANNU,TEHSIL,05 - 24,41738,22136,19601,1,41738,22136,19601,1,,,,
KAKKI,BANNU,TEHSIL,15 - 49,40521,20580,19941,,40521,20580,19941,,,,,
KAKKI,BANNU,TEHSIL,15 - 64,47161,24101,23060,,47161,24101,23060,,,,,
KAKKI,BANNU,TEHSIL,18 - 60,40206,20393,19813,,40206,20393,19813,,,,,
KAKKI,BANNU,TEHSIL,18 &  ABOVE,44603,22920,21683,,44603,22920,21683,,,,,
KAKKI,BANNU,TEHSIL,60 &  ABOVE,4895,2802,2093,,4895,2802,2093,,,,,
KAKKI,BANNU,TEHSIL,65 &  ABOVE,2994,1754,1240,,2994,1754,1240,,,,,
MERYAN,BANNU,TEHSIL,ALL AGES,166290,84974,81315,1,166290,84974,81315,1,,,,
MERYAN,BANNU,TEHSIL,UNDER 1,3647,1905,1742,,3647,1905,1742,,,,,
MERYAN,BANNU,TEHSIL,UNDER 5,30530,15820,14710,,30530,15820,14710,,,,,
MERYAN,BANNU,TEHSIL,UNDER 10,58607,31018,27589,,58607,31018,27589,,,,,
MERYAN,BANNU,TEHSIL,UNDER 15,79974,42621,37353,,79974,42621,37353,,,,,
MERYAN,BANNU,TEHSIL,05 - 24,78408,41410,36997,1,78408,41410,36997,1,,,,
MERYAN,BANNU,TEHSIL,15 - 49,70540,34048,36491,1,70540,34048,36491,1,,,,
MERYAN,BANNU,TEHSIL,15 - 64,81815,39731,42083,1,81815,39731,42083,1,,,,
MERYAN,BANNU,TEHSIL,18 - 60,69423,33173,36249,1,69423,33173,36249,1,,,,
MERYAN,BANNU,TEHSIL,18 &  ABOVE,76202,36980,39221,1,76202,36980,39221,1,,,,
MERYAN,BANNU,TEHSIL,60 &  ABOVE,7635,4261,3374,,7635,4261,3374,,,,,
MERYAN,BANNU,TEHSIL,65 &  ABOVE,4501,2622,1879,,4501,2622,1879,,,,,
WAZIR,BANNU,SUB-DIVISION,ALL AGES,37262,19398,17864,,37262,19398,17864,,,,,
WAZIR,BANNU,SUB-DIVISION,UNDER 1,576,306,270,,576,306,270,,,,,
WAZIR,BANNU,SUB-DIVISION,UNDER 5,6231,3241,2990,,6231,3241,2990,,,,,
WAZIR,BANNU,SUB-DIVISION,UNDER 10,13185,7032,6153,,13185,7032,6153,,,,,
WAZIR,BANNU,SUB-DIVISION,UNDER 15,18066,9814,8252,,18066,9814,8252,,,,,
WAZIR,BANNU,SUB-DIVISION,05 - 24,18481,10008,8473,,18481,10008,8473,,,,,
WAZIR,BANNU,SUB-DIVISION,15 - 49,15816,7792,8024,,15816,7792,8024,,,,,
WAZIR,BANNU,SUB-DIVISION,15 - 64,18264,9034,9230,,18264,9034,9230,,,,,
WAZIR,BANNU,SUB-DIVISION,18 - 60,15735,7626,8109,,15735,7626,8109,,,,,
WAZIR,BANNU,SUB-DIVISION,18 &  ABOVE,17085,8412,8673,,17085,8412,8673,,,,,
WAZIR,BANNU,SUB-DIVISION,60 &  ABOVE,1647,944,703,,1647,944,703,,,,,
WAZIR,BANNU,SUB-DIVISION,65 &  ABOVE,932,550,382,,932,550,382,,,,,
BATAGRAM,BATAGRAM,DISTRICT,ALL AGES,553285,280893,272382,10,553285,280893,272382,10,,,,
BATAGRAM,BATAGRAM,DISTRICT,UNDER 1,11539,6067,5472,,11539,6067,5472,,,,,
BATAGRAM,BATAGRAM,DISTRICT,UNDER 5,86076,44755,41321,,86076,44755,41321,,,,,
