name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,URBAN,54671,48331,53651,809,211,48254,302
KAMOKE,GUJRANWALA,TEHSIL,OVERALL,94236,76691,91828,1387,1021,75663,2601
KAMOKE,GUJRANWALA,TEHSIL,RURAL,51778,42636,49681,1211,886,41705,2011
KAMOKE,GUJRANWALA,TEHSIL,URBAN,42458,34055,42147,176,135,33958,590
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,OVERALL,87569,71395,83400,2558,1611,70202,3024
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,RURAL,79617,64271,75568,2498,1551,63188,2848
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,URBAN,7952,7124,7832,60,60,7014,176
WAZIRABAD,GUJRANWALA,TEHSIL,OVERALL,142381,121246,137291,1421,3669,120655,4491
WAZIRABAD,GUJRANWALA,TEHSIL,RURAL,87761,74936,84051,1119,2591,74282,3420
WAZIRABAD,GUJRANWALA,TEHSIL,URBAN,54620,46310,53240,302,1078,46373,1071
GUJRAT,GUJRAT,DISTRICT,OVERALL,489337,431408,468668,6631,14038,427152,19575
GUJRAT,GUJRAT,DISTRICT,RURAL,284607,250750,270913,3647,10047,247695,13879
GUJRAT,GUJRAT,DISTRICT,URBAN,204730,180658,197755,2984,3991,179457,5696
GUJRAT,GUJRAT,TEHSIL,OVERALL,265944,233416,254926,4188,6830,231738,9279
GUJRAT,GUJRAT,TEHSIL,RURAL,119914,105020,113944,1965,4005,104004,5329
GUJRAT,GUJRAT,TEHSIL,URBAN,146030,128396,140982,2223,2825,127734,3950
KHARIAN,GUJRAT,TEHSIL,OVERALL,179257,158868,171512,2065,5680,156792,8136
KHARIAN,GUJRAT,TEHSIL,RURAL,131982,117094,125848,1397,4737,115064,7130
KHARIAN,GUJRAT,TEHSIL,URBAN,47275,41774,45664,668,943,41728,1006
SARAI ALAMGIR,GUJRAT,TEHSIL,OVERALL,44136,39124,42230,378,1528,38622,2160
SARAI ALAMGIR,GUJRAT,TEHSIL,RURAL,32711,28636,31121,285,1305,28627,1420
SARAI ALAMGIR,GUJRAT,TEHSIL,URBAN,11425,10488,11109,93,223,9995,740
HAFIZABAD,HAFIZABAD,DISTRICT,OVERALL,197206,157913,176929,3324,16953,155001,20323
HAFIZABAD,HAFIZABAD,DISTRICT,RURAL,120258,90565,102984,1972,15302,88924,17304
HAFIZABAD,HAFIZABAD,DISTRICT,URBAN,76948,67348,73945,1352,1651,66077,3019
HAFIZABAD,HAFIZABAD,TEHSIL,OVERALL,112158,95757,106408,1241,4509,94253,6120
HAFIZABAD,HAFIZABAD,TEHSIL,RURAL,60129,49950,55545,804,3780,49147,4680
HAFIZABAD,HAFIZABAD,TEHSIL,URBAN,52029,45807,50863,437,729,45106,1440
PINDI BHATTIAN,HAFIZABAD,TEHSIL,OVERALL,85048,62156,70521,2083,12444,60748,14203
PINDI BHATTIAN,HAFIZABAD,TEHSIL,RURAL,60129,40615,47439,1168,11522,39777,12624
PINDI BHATTIAN,HAFIZABAD,TEHSIL,URBAN,24919,21541,23082,915,922,20971,1579
JHANG,JHANG,DISTRICT,OVERALL,491999,302264,377014,12683,102302,295593,112479
JHANG,JHANG,DISTRICT,RURAL,358141,196562,251721,10492,95928,190950,104597
JHANG,JHANG,DISTRICT,URBAN,133858,105702,125293,2191,6374,104643,7882
-HAZARI,JHANG,TEHSIL,OVERALL,56659,31618,42843,1277,12539,30378,14528
-HAZARI,JHANG,TEHSIL,RURAL,51092,28357,38045,1260,11787,27288,13438
-HAZARI,JHANG,TEHSIL,URBAN,5567,3261,4798,17,752,3090,1090
AHMADPUR SIAL,JHANG,TEHSIL,OVERALL,77488,42116,56305,2523,18660,39913,22014
AHMADPUR SIAL,JHANG,TEHSIL,RURAL,63820,32437,44955,1372,17493,30485,20444
AHMADPUR SIAL,JHANG,TEHSIL,URBAN,13668,9679,11350,1151,1167,9428,1570
JHANG,JHANG,TEHSIL,OVERALL,264032,168466,205620,6909,51503,167140,53676
JHANG,JHANG,TEHSIL,RURAL,160731,85923,107486,5966,47279,84984,48939
JHANG,JHANG,TEHSIL,URBAN,103301,82543,98134,943,4224,82156,4737
SHORKOT,JHANG,TEHSIL,OVERALL,93820,60064,72246,1974,19600,58162,22261
SHORKOT,JHANG,TEHSIL,RURAL,82498,49845,61235,1894,19369,48193,21776
SHORKOT,JHANG,TEHSIL,URBAN,11322,10219,11011,80,231,9969,485
JHELUM,JHELUM,DISTRICT,OVERALL,229064,196698,211985,4381,12698,196061,13729
JHELUM,JHELUM,DISTRICT,RURAL,138838,115255,124361,3340,11137,116134,10421
JHELUM,JHELUM,DISTRICT,URBAN,90226,81443,87624,1041,1561,79927,3308
DINA,JHELUM,TEHSIL,OVERALL,44385,39407,42300,1024,1061,39364,1150
DINA,JHELUM,TEHSIL,RURAL,27616,24210,25950,794,872,24232,884
DINA,JHELUM,TEHSIL,URBAN,16769,15197,16350,230,189,15132,266
JHELUM,JHELUM,TEHSIL,OVERALL,83046,72560,78275,1238,3533,72549,3613
JHELUM,JHELUM,TEHSIL,RURAL,31096,25320,27604,718,2774,25799,2298
JHELUM,JHELUM,TEHSIL,URBAN,51950,47240,50671,520,759,46750,1315
PIND DADAN KHAN,JHELUM,TEHSIL,OVERALL,63599,51039,56875,1182,5542,51388,5290
PIND DADAN KHAN,JHELUM,TEHSIL,RURAL,52234,41497,46089,984,5161,42241,4442
PIND DADAN KHAN,JHELUM,TEHSIL,URBAN,11365,9542,10786,198,381,9147,848
SOHAWA,JHELUM,TEHSIL,OVERALL,38034,33692,34535,937,2562,32760,3676
SOHAWA,JHELUM,TEHSIL,RURAL,27892,24228,24718,844,2330,23862,2797
SOHAWA,JHELUM,TEHSIL,URBAN,10142,9464,9817,93,232,8898,879
KASUR,KASUR,DISTRICT,OVERALL,645308,449156,603103,9150,33055,427038,63077
KASUR,KASUR,DISTRICT,RURAL,443044,295485,407808,6946,28290,280661,48929
KASUR,KASUR,DISTRICT,URBAN,202264,153671,195295,2204,4765,146377,14148
CHUNIAN,KASUR,TEHSIL,OVERALL,158898,107017,148531,1668,8699,102219,15236
CHUNIAN,KASUR,TEHSIL,RURAL,124649,80831,115396,1339,7914,77140,13138
CHUNIAN,KASUR,TEHSIL,URBAN,34249,26186,33135,329,785,25079,2098
KASUR,KASUR,TEHSIL,OVERALL,253446,177245,238317,3390,11739,167850,24206
KASUR,KASUR,TEHSIL,RURAL,138105,91748,127271,2184,8650,87133,15023
KASUR,KASUR,TEHSIL,URBAN,115341,85497,111046,1206,3089,80717,9183
KOT RADHA KISHAN,KASUR,TEHSIL,OVERALL,61054,46295,55977,1773,3304,45213,4911
KOT RADHA KISHAN,KASUR,TEHSIL,RURAL,45584,32985,41163,1357,3064,31993,4539
KOT RADHA KISHAN,KASUR,TEHSIL,URBAN,15470,13310,14814,416,240,13220,372
PATTOKI,KASUR,TEHSIL,OVERALL,171910,118599,160278,2319,9313,111756,18724
PATTOKI,KASUR,TEHSIL,RURAL,134706,89921,123978,2066,8662,84395,16229
PATTOKI,KASUR,TEHSIL,URBAN,37204,28678,36300,253,651,27361,2495
KHANEWAL,KHANEWAL,DISTRICT,OVERALL,526196,383934,461957,12133,52106,366055,75059
KHANEWAL,KHANEWAL,DISTRICT,RURAL,410319,285514,349712,10913,49694,270901,68544
KHANEWAL,KHANEWAL,DISTRICT,URBAN,115877,98420,112245,1220,2412,95154,6515
JAHANIAN,KHANEWAL,TEHSIL,OVERALL,61153,47661,56352,1245,3556,45606,5904
JAHANIAN,KHANEWAL,TEHSIL,RURAL,52940,40598,48325,1192,3423,38715,5583
JAHANIAN,KHANEWAL,TEHSIL,URBAN,8213,7063,8027,53,133,6891,321
KABIRWALA,KHANEWAL,TEHSIL,OVERALL,167410,109652,135632,4010,27768,104049,35569
KABIRWALA,KHANEWAL,TEHSIL,RURAL,140146,86165,109616,3803,26727,81284,33632
KABIRWALA,KHANEWAL,TEHSIL,URBAN,27264,23487,26016,207,1041,22765,1937
KHANEWAL,KHANEWAL,TEHSIL,OVERALL,152102,120057,138386,4386,9330,115108,15250
KHANEWAL,KHANEWAL,TEHSIL,RURAL,101738,76978,89490,3619,8629,73664,12587
