district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
CHAMAN,01,20543,12188,8355,,15515,9212,6303,,5028,2976,2052,
CHAMAN,02,21026,12452,8574,,15696,9371,6325,,5330,3081,2249,
CHAMAN,03,22741,13291,9450,,16995,9976,7019,,5746,3315,2431,
CHAMAN,04,20908,12133,8775,,15412,8984,6428,,5496,3149,2347,
CHAMAN,05,18821,10926,7895,,14152,8296,5856,,4669,2630,2039,
CHAMAN,06,17877,10225,7652,,13424,7729,5695,,4453,2496,1957,
CHAMAN,07,17610,10054,7556,,13091,7537,5554,,4519,2517,2002,
CHAMAN,08,16608,9054,7554,,12256,6760,5496,,4352,2294,2058,
CHAMAN,09,15205,9241,5964,,11450,7006,4444,,3755,2235,1520,
CHAMAN,10,14275,8524,5751,,10516,6342,4174,,3759,2182,1577,
CHAMAN,11,15569,9010,6559,,11539,6739,4800,,4030,2271,1759,
CHAMAN,12,13549,8011,5538,,9918,5911,4007,,3631,2100,1531,
CHAMAN,13,13927,8069,5858,,10234,5984,4250,,3693,2085,1608,
CHAMAN,14,12551,7120,5426,5,9160,5270,3885,5,3391,1850,1541,
CHAMAN,15,11724,6696,5028,,8411,4870,3541,,3313,1826,1487,
CHAMAN,16,11423,6297,5126,,8235,4639,3596,,3188,1658,1530,
CHAMAN,17,9519,5140,4377,2,6650,3645,3003,2,2869,1495,1374,
CHAMAN,18,10599,5919,4680,,7511,4209,3302,,3088,1710,1378,
CHAMAN,19,10679,5773,4905,1,7428,4039,3389,,3251,1734,1516,1
CHAMAN,20,9970,5138,4831,1,6886,3540,3345,1,3084,1598,1486,
CHAMAN,21,9225,4845,4380,,6445,3390,3055,,2780,1455,1325,
CHAMAN,22,8291,4298,3993,,5779,3014,2765,,2512,1284,1228,
CHAMAN,23,8060,4373,3687,,5659,3096,2563,,2401,1277,1124,
CHAMAN,24,7183,3880,3303,,4943,2672,2271,,2240,1208,1032,
CHAMAN,25,6371,3286,3085,,4428,2287,2141,,1943,999,944,
CHAMAN,26,6201,3308,2893,,4222,2287,1935,,1979,1021,958,
CHAMAN,27,5704,2959,2745,,3935,2053,1882,,1769,906,863,
CHAMAN,28,5332,2676,2656,,3699,1839,1860,,1633,837,796,
CHAMAN,29,5106,2620,2486,,3494,1801,1693,,1612,819,793,
CHAMAN,30,4651,2332,2318,1,3262,1645,1616,1,1389,687,702,
CHAMAN,31,4650,2399,2251,,3226,1695,1531,,1424,704,720,
CHAMAN,32,3685,1855,1830,,2511,1270,1241,,1174,585,589,
CHAMAN,33,4290,2307,1983,,2953,1593,1360,,1337,714,623,
CHAMAN,34,3801,1991,1810,,2627,1349,1278,,1174,642,532,
CHAMAN,35,3792,1923,1868,1,2638,1329,1308,1,1154,594,560,
CHAMAN,36,3525,1842,1683,,2463,1299,1164,,1062,543,519,
CHAMAN,37,3585,1938,1647,,2518,1364,1154,,1067,574,493,
CHAMAN,38,3634,1871,1761,2,2569,1350,1217,2,1065,521,544,
CHAMAN,39,3388,1719,1669,,2397,1210,1187,,991,509,482,
CHAMAN,40,3233,1617,1616,,2191,1078,1113,,1042,539,503,
CHAMAN,41,3102,1616,1486,,2085,1078,1007,,1017,538,479,
CHAMAN,42,2504,1316,1188,,1709,898,811,,795,418,377,
CHAMAN,43,3079,1616,1463,,2230,1194,1036,,849,422,427,
CHAMAN,44,2460,1337,1123,,1647,889,758,,813,448,365,
CHAMAN,45,2376,1300,1076,,1565,847,718,,811,453,358,
CHAMAN,46,2177,1181,996,,1447,788,659,,730,393,337,
CHAMAN,47,1955,1130,825,,1327,761,566,,628,369,259,
CHAMAN,48,1911,1014,897,,1319,695,624,,592,319,273,
CHAMAN,49,1648,842,806,,1110,559,551,,538,283,255,
CHAMAN,50,1682,890,792,,1088,589,499,,594,301,293,
CHAMAN,51,1580,810,770,,1062,537,525,,518,273,245,
CHAMAN,52,1188,638,550,,795,432,363,,393,206,187,
CHAMAN,53,1781,888,893,,1220,592,628,,561,296,265,
CHAMAN,54,1354,731,623,,907,499,408,,447,232,215,
CHAMAN,55,1286,672,614,,868,442,426,,418,230,188,
CHAMAN,56,1365,818,547,,871,520,351,,494,298,196,
CHAMAN,57,1163,678,485,,817,469,348,,346,209,137,
CHAMAN,58,1156,647,509,,801,449,352,,355,198,157,
CHAMAN,59,1103,671,432,,764,475,289,,339,196,143,
CHAMAN,60,1074,595,479,,705,393,312,,369,202,167,
CHAMAN,61,845,526,319,,594,370,224,,251,156,95,
CHAMAN,62,705,409,296,,491,286,205,,214,123,91,
CHAMAN,63,938,463,475,,654,341,313,,284,122,162,
CHAMAN,64,740,451,289,,505,309,196,,235,142,93,
CHAMAN,65,715,428,287,,497,302,195,,218,126,92,
CHAMAN,66,564,324,240,,365,194,171,,199,130,69,
CHAMAN,67,521,316,205,,355,200,155,,166,116,50,
CHAMAN,68,519,249,270,,344,161,183,,175,88,87,
CHAMAN,69,439,247,192,,293,160,133,,146,87,59,
CHAMAN,70,643,358,285,,432,244,188,,211,114,97,
CHAMAN,71,392,223,169,,279,164,115,,113,59,54,
CHAMAN,72,292,169,123,,226,131,95,,66,38,28,
CHAMAN,73,409,207,202,,290,143,147,,119,64,55,
CHAMAN,74,406,240,166,,272,163,109,,134,77,57,
CHAMAN,75 & ABOVE,2610,1614,996,,1724,1066,658,,886,548,338,
DERA BUGTI,ALL AGES,355274,194588,160682,4,246827,137659,109165,3,108447,56929,51517,1
DERA BUGTI,BELOW 1,11164,5848,5316,,7930,4136,3794,,3234,1712,1522,
DERA BUGTI,01,14918,8085,6833,,10695,5812,4883,,4223,2273,1950,
DERA BUGTI,02,18478,10021,8457,,13261,7290,5971,,5217,2731,2486,
DERA BUGTI,03,17960,9855,8105,,12494,6979,5515,,5466,2876,2590,
DERA BUGTI,04,19365,10534,8831,,13870,7673,6197,,5495,2861,2634,
DERA BUGTI,05,15388,8624,6764,,10794,6211,4583,,4594,2413,2181,
DERA BUGTI,06,16073,9102,6971,,11559,6671,4888,,4514,2431,2083,
DERA BUGTI,07,14441,8279,6162,,10049,5883,4166,,4392,2396,1996,
DERA BUGTI,08,14449,8175,6274,,10361,6032,4329,,4088,2143,1945,
DERA BUGTI,09,10221,6294,3927,,7257,4565,2692,,2964,1729,1235,
DERA BUGTI,10,11485,7182,4303,,8330,5393,2937,,3155,1789,1366,
DERA BUGTI,11,9993,5958,4035,,7322,4530,2792,,2671,1428,1243,
DERA BUGTI,12,9416,6093,3323,,6754,4530,2224,,2662,1563,1099,
DERA BUGTI,13,7602,4845,2757,,5218,3477,1741,,2384,1368,1016,
DERA BUGTI,14,7449,4997,2451,1,5101,3632,1468,1,2348,1365,983,
DERA BUGTI,15,6168,4192,1975,1,4159,2998,1160,1,2009,1194,815,
DERA BUGTI,16,6268,4060,2208,,4129,2837,1292,,2139,1223,916,
DERA BUGTI,17,7104,4493,2610,1,4816,3214,1602,,2288,1279,1008,1
DERA BUGTI,18,5820,3037,2783,,3543,1893,1650,,2277,1144,1133,
DERA BUGTI,19,5602,2837,2765,,3403,1736,1667,,2199,1101,1098,
DERA BUGTI,20,5415,2594,2821,,3472,1658,1814,,1943,936,1007,
DERA BUGTI,21,5559,2673,2886,,3601,1745,1856,,1958,928,1030,
DERA BUGTI,22,5188,2327,2861,,3290,1490,1800,,1898,837,1061,
DERA BUGTI,23,5358,2415,2943,,3545,1597,1948,,1813,818,995,
DERA BUGTI,24,5541,2643,2898,,3772,1766,2006,,1769,877,892,
DERA BUGTI,25,4441,2263,2177,1,3118,1578,1539,1,1323,685,638,
DERA BUGTI,26,4593,2237,2356,,3110,1455,1655,,1483,782,701,
DERA BUGTI,27,4583,2292,2291,,3074,1488,1586,,1509,804,705,
DERA BUGTI,28,4376,1928,2448,,3065,1331,1734,,1311,597,714,
DERA BUGTI,29,4166,1948,2218,,2876,1277,1599,,1290,671,619,
DERA BUGTI,30,3787,1905,1882,,2695,1295,1400,,1092,610,482,
DERA BUGTI,31,3937,1923,2014,,2657,1269,1388,,1280,654,626,
DERA BUGTI,32,3282,1598,1684,,2173,1064,1109,,1109,534,575,
DERA BUGTI,33,4000,1778,2222,,2708,1228,1480,,1292,550,742,
DERA BUGTI,34,3132,1541,1591,,2106,1001,1105,,1026,540,486,
DERA BUGTI,35,3101,1588,1513,,2191,1126,1065,,910,462,448,
DERA BUGTI,36,3035,1517,1518,,2095,1036,1059,,940,481,459,
DERA BUGTI,37,2915,1520,1395,,1885,961,924,,1030,559,471,
DERA BUGTI,38,3025,1384,1641,,2125,967,1158,,900,417,483,
DERA BUGTI,39,2677,1339,1338,,1802,907,895,,875,432,443,
DERA BUGTI,40,2609,1252,1357,,1953,923,1030,,656,329,327,
DERA BUGTI,41,2591,1291,1300,,1760,879,881,,831,412,419,
DERA BUGTI,42,2250,1098,1152,,1576,765,811,,674,333,341,
DERA BUGTI,43,2790,1426,1364,,1898,985,913,,892,441,451,
DERA BUGTI,44,2027,1073,954,,1447,761,686,,580,312,268,
DERA BUGTI,45,1676,869,807,,1221,627,594,,455,242,213,
DERA BUGTI,46,1602,840,762,,1116,576,540,,486,264,222,
DERA BUGTI,47,1524,793,731,,1007,535,472,,517,258,259,
DERA BUGTI,48,1740,870,870,,1249,639,610,,491,231,260,
DERA BUGTI,49,1284,625,659,,903,434,469,,381,191,190,
