name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BAJAUR,DISTRICT,55 - 59,WIDOWED,1125,1018,107,,1125,1018,107,,,,,
BAJAUR,DISTRICT,60 - 64,DIVORCED,3,3,,,3,3,,,,,,
BAJAUR,DISTRICT,60 - 64,MARRIED,18059,8092,9967,,18059,8092,9967,,,,,
BAJAUR,DISTRICT,60 - 64,NEVER MARRIED,61,37,24,,61,37,24,,,,,
BAJAUR,DISTRICT,60 - 64,SEPERATION,36,25,11,,36,25,11,,,,,
BAJAUR,DISTRICT,60 - 64,WIDOWED,1690,1524,166,,1690,1524,166,,,,,
BAJAUR,DISTRICT,65 - 69,DIVORCED,,,,,,,,,,,,
BAJAUR,DISTRICT,65 - 69,MARRIED,10653,4566,6087,,10653,4566,6087,,,,,
BAJAUR,DISTRICT,65 - 69,NEVER MARRIED,33,21,12,,33,21,12,,,,,
BAJAUR,DISTRICT,65 - 69,SEPERATION,18,14,4,,18,14,4,,,,,
BAJAUR,DISTRICT,65 - 69,WIDOWED,1250,1090,160,,1250,1090,160,,,,,
BAJAUR,DISTRICT,70 - 74,DIVORCED,2,2,,,2,2,,,,,,
BAJAUR,DISTRICT,70 - 74,MARRIED,8201,3385,4816,,8201,3385,4816,,,,,
BAJAUR,DISTRICT,70 - 74,NEVER MARRIED,23,13,10,,23,13,10,,,,,
BAJAUR,DISTRICT,70 - 74,SEPERATION,20,13,7,,20,13,7,,,,,
BAJAUR,DISTRICT,70 - 74,WIDOWED,1697,1433,264,,1697,1433,264,,,,,
BAJAUR,DISTRICT,75 & ABOVE,DIVORCED,4,4,,,4,4,,,,,,
BAJAUR,DISTRICT,75 & ABOVE,MARRIED,6328,2152,4176,,6328,2152,4176,,,,,
BAJAUR,DISTRICT,75 & ABOVE,NEVER MARRIED,30,20,10,,30,20,10,,,,,
BAJAUR,DISTRICT,75 & ABOVE,SEPERATION,24,8,16,,24,8,16,,,,,
BAJAUR,DISTRICT,75 & ABOVE,WIDOWED,1820,1343,477,,1820,1343,477,,,,,
BANNU,DISTRICT,15 &  ABOVE,DIVORCED,416,336,80,,389,315,74,,27,21,6,
BANNU,DISTRICT,15 &  ABOVE,MARRIED,516993,268718,248275,,498817,259765,239052,,18176,8953,9223,
BANNU,DISTRICT,15 &  ABOVE,NEVER MARRIED,201295,76808,124470,17,190089,72701,117377,11,11206,4107,7093,6
BANNU,DISTRICT,15 &  ABOVE,SEPERATION,544,378,166,,526,367,159,,18,11,7,
BANNU,DISTRICT,15 &  ABOVE,WIDOWED,18908,14843,4065,,18106,14196,3910,,802,647,155,
BANNU,DISTRICT,15 - 19,DIVORCED,21,15,6,,20,14,6,,1,1,,
BANNU,DISTRICT,15 - 19,MARRIED,24873,17994,6879,,24429,17626,6803,,444,368,76,
BANNU,DISTRICT,15 - 19,NEVER MARRIED,113594,45591,67999,4,108022,43580,64439,3,5572,2011,3560,1
BANNU,DISTRICT,15 - 19,SEPERATION,25,19,6,,24,18,6,,1,1,,
BANNU,DISTRICT,15 - 19,WIDOWED,42,35,7,,41,34,7,,1,1,,
BANNU,DISTRICT,20 - 24,DIVORCED,50,43,7,,46,40,6,,4,3,1,
BANNU,DISTRICT,20 - 24,MARRIED,62743,41109,21634,,61338,40153,21185,,1405,956,449,
BANNU,DISTRICT,20 - 24,NEVER MARRIED,48797,15304,33490,3,45684,14256,31426,2,3113,1048,2064,1
BANNU,DISTRICT,20 - 24,SEPERATION,51,37,14,,48,35,13,,3,2,1,
BANNU,DISTRICT,20 - 24,WIDOWED,167,132,35,,166,132,34,,1,,1,
BANNU,DISTRICT,25 - 29,DIVORCED,62,54,8,,58,50,8,,4,4,,
BANNU,DISTRICT,25 - 29,MARRIED,78450,45319,33131,,76047,43902,32145,,2403,1417,986,
BANNU,DISTRICT,25 - 29,NEVER MARRIED,20027,6305,13719,3,18778,5888,12888,2,1249,417,831,1
BANNU,DISTRICT,25 - 29,SEPERATION,66,42,24,,65,42,23,,1,,1,
BANNU,DISTRICT,25 - 29,WIDOWED,284,233,51,,272,223,49,,12,10,2,
BANNU,DISTRICT,30 - 34,DIVORCED,71,64,7,,66,60,6,,5,4,1,
BANNU,DISTRICT,30 - 34,MARRIED,75703,39961,35742,,73005,38547,34458,,2698,1414,1284,
BANNU,DISTRICT,30 - 34,NEVER MARRIED,8129,3353,4774,2,7666,3165,4501,,463,188,273,2
BANNU,DISTRICT,30 - 34,SEPERATION,71,49,22,,70,48,22,,1,1,,
BANNU,DISTRICT,30 - 34,WIDOWED,532,463,69,,508,441,67,,24,22,2,
BANNU,DISTRICT,35 - 39,DIVORCED,66,50,16,,60,47,13,,6,3,3,
BANNU,DISTRICT,35 - 39,MARRIED,66008,32202,33806,,63291,30814,32477,,2717,1388,1329,
BANNU,DISTRICT,35 - 39,NEVER MARRIED,3689,1772,1915,2,3440,1656,1783,1,249,116,132,1
BANNU,DISTRICT,35 - 39,SEPERATION,65,47,18,,65,47,18,,,,,
BANNU,DISTRICT,35 - 39,WIDOWED,689,588,101,,667,571,96,,22,17,5,
BANNU,DISTRICT,40 - 44,DIVORCED,42,30,12,,41,29,12,,1,1,,
BANNU,DISTRICT,40 - 44,MARRIED,52471,25100,27371,,50013,24037,25976,,2458,1063,1395,
BANNU,DISTRICT,40 - 44,NEVER MARRIED,2228,1330,897,1,2086,1271,814,1,142,59,83,
BANNU,DISTRICT,40 - 44,SEPERATION,55,40,15,,54,39,15,,1,1,,
BANNU,DISTRICT,40 - 44,WIDOWED,1066,930,136,,1016,885,131,,50,45,5,
BANNU,DISTRICT,45 - 49,DIVORCED,38,31,7,,35,28,7,,3,3,,
BANNU,DISTRICT,45 - 49,MARRIED,41790,20147,21643,,39898,19372,20526,,1892,775,1117,
BANNU,DISTRICT,45 - 49,NEVER MARRIED,1380,820,560,,1267,751,516,,113,69,44,
BANNU,DISTRICT,45 - 49,SEPERATION,50,37,13,,48,35,13,,2,2,,
BANNU,DISTRICT,45 - 49,WIDOWED,1356,1190,166,,1290,1130,160,,66,60,6,
BANNU,DISTRICT,50 - 54,DIVORCED,28,22,6,,26,20,6,,2,2,,
BANNU,DISTRICT,50 - 54,MARRIED,35706,16550,19156,,34350,15978,18372,,1356,572,784,
BANNU,DISTRICT,50 - 54,NEVER MARRIED,1040,703,336,1,962,646,315,1,78,57,21,
BANNU,DISTRICT,50 - 54,SEPERATION,42,32,10,,39,31,8,,3,1,2,
BANNU,DISTRICT,50 - 54,WIDOWED,2099,1842,257,,2001,1754,247,,98,88,10,
BANNU,DISTRICT,55 - 59,DIVORCED,18,16,2,,18,16,2,,,,,
BANNU,DISTRICT,55 - 59,MARRIED,26840,11963,14877,,25832,11568,14264,,1008,395,613,
BANNU,DISTRICT,55 - 59,NEVER MARRIED,778,541,236,1,705,495,209,1,73,46,27,
BANNU,DISTRICT,55 - 59,SEPERATION,36,21,15,,35,21,14,,1,,1,
BANNU,DISTRICT,55 - 59,WIDOWED,2064,1754,310,,1961,1669,292,,103,85,18,
BANNU,DISTRICT,60 - 64,DIVORCED,10,5,5,,10,5,5,,,,,
BANNU,DISTRICT,60 - 64,MARRIED,22759,8900,13859,,21965,8609,13356,,794,291,503,
BANNU,DISTRICT,60 - 64,NEVER MARRIED,663,437,226,,608,403,205,,55,34,21,
BANNU,DISTRICT,60 - 64,SEPERATION,32,23,9,,29,22,7,,3,1,2,
BANNU,DISTRICT,60 - 64,WIDOWED,2974,2379,595,,2858,2285,573,,116,94,22,
BANNU,DISTRICT,65 - 69,DIVORCED,4,2,2,,4,2,2,,,,,
BANNU,DISTRICT,65 - 69,MARRIED,14502,4923,9579,,14018,4776,9242,,484,147,337,
BANNU,DISTRICT,65 - 69,NEVER MARRIED,432,278,154,,385,251,134,,47,27,20,
BANNU,DISTRICT,65 - 69,SEPERATION,19,12,7,,19,12,7,,,,,
BANNU,DISTRICT,65 - 69,WIDOWED,2490,1840,650,,2397,1765,632,,93,75,18,
BANNU,DISTRICT,70 - 74,DIVORCED,4,3,1,,3,3,,,1,,1,
BANNU,DISTRICT,70 - 74,MARRIED,8926,2802,6124,,8623,2697,5926,,303,105,198,
BANNU,DISTRICT,70 - 74,NEVER MARRIED,312,217,95,,277,193,84,,35,24,11,
BANNU,DISTRICT,70 - 74,SEPERATION,18,13,5,,18,13,5,,,,,
BANNU,DISTRICT,70 - 74,WIDOWED,2455,1725,730,,2345,1645,700,,110,80,30,
BANNU,DISTRICT,75 & ABOVE,DIVORCED,2,1,1,,2,1,1,,,,,
BANNU,DISTRICT,75 & ABOVE,MARRIED,6222,1748,4474,,6008,1686,4322,,214,62,152,
BANNU,DISTRICT,75 & ABOVE,NEVER MARRIED,226,157,69,,209,146,63,,17,11,6,
BANNU,DISTRICT,75 & ABOVE,SEPERATION,14,6,8,,12,4,8,,2,2,,
BANNU,DISTRICT,75 & ABOVE,WIDOWED,2690,1732,958,,2584,1662,922,,106,70,36,
BATAGRAM,DISTRICT,15 &  ABOVE,DIVORCED,185,130,55,,185,130,55,,,,,
BATAGRAM,DISTRICT,15 &  ABOVE,MARRIED,212082,113838,98244,,212082,113838,98244,,,,,
BATAGRAM,DISTRICT,15 &  ABOVE,NEVER MARRIED,78955,29814,49132,9,78955,29814,49132,9,,,,
BATAGRAM,DISTRICT,15 &  ABOVE,SEPERATION,141,86,55,,141,86,55,,,,,
BATAGRAM,DISTRICT,15 &  ABOVE,WIDOWED,10284,7827,2457,,10284,7827,2457,,,,,
BATAGRAM,DISTRICT,15 - 19,DIVORCED,11,10,1,,11,10,1,,,,,
BATAGRAM,DISTRICT,15 - 19,MARRIED,8317,6317,2000,,8317,6317,2000,,,,,
BATAGRAM,DISTRICT,15 - 19,NEVER MARRIED,51454,22517,28935,2,51454,22517,28935,2,,,,
BATAGRAM,DISTRICT,15 - 19,SEPERATION,7,2,5,,7,2,5,,,,,
BATAGRAM,DISTRICT,15 - 19,WIDOWED,19,14,5,,19,14,5,,,,,
