name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
BANNU,BANNU,DISTRICT,RURAL,INSTITUTIONAL,3604,2814,790,,69,.04
BANNU,BANNU,DISTRICT,RURAL,HOMELESS,69,37,32,,12,.01
BANNU,BANNU,DISTRICT,RURAL,TOTAL,1306578,678638,627928,12,176135,100
BANNU,BANNU,DISTRICT,URBAN,REGULAR,46469,24519,21943,7,7076,99.51000000000001
BANNU,BANNU,DISTRICT,URBAN,INSTITUTIONAL,1625,1397,228,,33,.46
BANNU,BANNU,DISTRICT,URBAN,HOMELESS,2,2,,,2,.03
BANNU,BANNU,DISTRICT,URBAN,TOTAL,48096,25918,22171,7,7111,100
BAKKA KHEL,BANNU,TEHSIL,OVERALL,REGULAR,192691,99966,92725,,29374,99.98999999999999
BAKKA KHEL,BANNU,TEHSIL,OVERALL,INSTITUTIONAL,41,38,3,,2,.01
BAKKA KHEL,BANNU,TEHSIL,OVERALL,HOMELESS,,,,,,0
BAKKA KHEL,BANNU,TEHSIL,OVERALL,TOTAL,192732,100004,92728,,29376,100
BAKKA KHEL,BANNU,TEHSIL,RURAL,REGULAR,192691,99966,92725,,29374,99.98999999999999
BAKKA KHEL,BANNU,TEHSIL,RURAL,INSTITUTIONAL,41,38,3,,2,.01
BAKKA KHEL,BANNU,TEHSIL,RURAL,HOMELESS,,,,,,0
BAKKA KHEL,BANNU,TEHSIL,RURAL,TOTAL,192732,100004,92728,,29376,100
BAKKA KHEL,BANNU,TEHSIL,URBAN,REGULAR,,,,,,0
BAKKA KHEL,BANNU,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
BAKKA KHEL,BANNU,TEHSIL,URBAN,HOMELESS,,,,,,0
BAKKA KHEL,BANNU,TEHSIL,URBAN,TOTAL,,,,,,100
BANNU,BANNU,TEHSIL,OVERALL,REGULAR,638853,329301,309535,17,89138,99.91
BANNU,BANNU,TEHSIL,OVERALL,INSTITUTIONAL,3935,2982,953,,75,.08
BANNU,BANNU,TEHSIL,OVERALL,HOMELESS,47,29,18,,8,.01
BANNU,BANNU,TEHSIL,OVERALL,TOTAL,642835,332312,310506,17,89221,100
BANNU,BANNU,TEHSIL,RURAL,REGULAR,592384,304782,287592,10,82062,99.94
BANNU,BANNU,TEHSIL,RURAL,INSTITUTIONAL,2310,1585,725,,42,.05
BANNU,BANNU,TEHSIL,RURAL,HOMELESS,45,27,18,,6,.01
BANNU,BANNU,TEHSIL,RURAL,TOTAL,594739,306394,288335,10,82110,100
BANNU,BANNU,TEHSIL,URBAN,REGULAR,46469,24519,21943,7,7076,99.51000000000001
BANNU,BANNU,TEHSIL,URBAN,INSTITUTIONAL,1625,1397,228,,33,.46
BANNU,BANNU,TEHSIL,URBAN,HOMELESS,2,2,,,2,.03
BANNU,BANNU,TEHSIL,URBAN,TOTAL,48096,25918,22171,7,7111,100
DOMEL,BANNU,TEHSIL,OVERALL,REGULAR,222559,118911,103648,,24038,99.95
DOMEL,BANNU,TEHSIL,OVERALL,INSTITUTIONAL,965,960,5,,8,.03
DOMEL,BANNU,TEHSIL,OVERALL,HOMELESS,10,3,7,,3,.01
DOMEL,BANNU,TEHSIL,OVERALL,TOTAL,223534,119874,103660,,24049,100
DOMEL,BANNU,TEHSIL,RURAL,REGULAR,222559,118911,103648,,24038,99.95
DOMEL,BANNU,TEHSIL,RURAL,INSTITUTIONAL,965,960,5,,8,.03
DOMEL,BANNU,TEHSIL,RURAL,HOMELESS,10,3,7,,3,.01
DOMEL,BANNU,TEHSIL,RURAL,TOTAL,223534,119874,103660,,24049,100
DOMEL,BANNU,TEHSIL,URBAN,REGULAR,,,,,,0
DOMEL,BANNU,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
DOMEL,BANNU,TEHSIL,URBAN,HOMELESS,,,,,,0
DOMEL,BANNU,TEHSIL,URBAN,TOTAL,,,,,,100
KAKKI,BANNU,TEHSIL,OVERALL,REGULAR,92021,47994,44026,1,13457,100
KAKKI,BANNU,TEHSIL,OVERALL,INSTITUTIONAL,,,,,,0
KAKKI,BANNU,TEHSIL,OVERALL,HOMELESS,,,,,,0
KAKKI,BANNU,TEHSIL,OVERALL,TOTAL,92021,47994,44026,1,13457,100
KAKKI,BANNU,TEHSIL,RURAL,REGULAR,92021,47994,44026,1,13457,100
KAKKI,BANNU,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
KAKKI,BANNU,TEHSIL,RURAL,HOMELESS,,,,,,0
KAKKI,BANNU,TEHSIL,RURAL,TOTAL,92021,47994,44026,1,13457,100
KAKKI,BANNU,TEHSIL,URBAN,REGULAR,,,,,,0
KAKKI,BANNU,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
KAKKI,BANNU,TEHSIL,URBAN,HOMELESS,,,,,,0
KAKKI,BANNU,TEHSIL,URBAN,TOTAL,,,,,,100
MERYAN,BANNU,TEHSIL,OVERALL,REGULAR,166002,84743,81258,1,21780,99.92
MERYAN,BANNU,TEHSIL,OVERALL,INSTITUTIONAL,288,231,57,,17,.08
MERYAN,BANNU,TEHSIL,OVERALL,HOMELESS,,,,,,0
MERYAN,BANNU,TEHSIL,OVERALL,TOTAL,166290,84974,81315,1,21797,100
MERYAN,BANNU,TEHSIL,RURAL,REGULAR,166002,84743,81258,1,21780,99.92
MERYAN,BANNU,TEHSIL,RURAL,INSTITUTIONAL,288,231,57,,17,.08
MERYAN,BANNU,TEHSIL,RURAL,HOMELESS,,,,,,0
MERYAN,BANNU,TEHSIL,RURAL,TOTAL,166290,84974,81315,1,21797,100
MERYAN,BANNU,TEHSIL,URBAN,REGULAR,,,,,,0
MERYAN,BANNU,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
MERYAN,BANNU,TEHSIL,URBAN,HOMELESS,,,,,,0
MERYAN,BANNU,TEHSIL,URBAN,TOTAL,,,,,,100
WAZIR,BANNU,SUB-DIVISION,OVERALL,REGULAR,37248,19391,17857,,5343,99.94
WAZIR,BANNU,SUB-DIVISION,OVERALL,INSTITUTIONAL,,,,,,0
WAZIR,BANNU,SUB-DIVISION,OVERALL,HOMELESS,14,7,7,,3,.06
WAZIR,BANNU,SUB-DIVISION,OVERALL,TOTAL,37262,19398,17864,,5346,100
WAZIR,BANNU,SUB-DIVISION,RURAL,REGULAR,37248,19391,17857,,5343,99.94
WAZIR,BANNU,SUB-DIVISION,RURAL,INSTITUTIONAL,,,,,,0
WAZIR,BANNU,SUB-DIVISION,RURAL,HOMELESS,14,7,7,,3,.06
WAZIR,BANNU,SUB-DIVISION,RURAL,TOTAL,37262,19398,17864,,5346,100
WAZIR,BANNU,SUB-DIVISION,URBAN,REGULAR,,,,,,0
WAZIR,BANNU,SUB-DIVISION,URBAN,INSTITUTIONAL,,,,,,0
WAZIR,BANNU,SUB-DIVISION,URBAN,HOMELESS,,,,,,0
WAZIR,BANNU,SUB-DIVISION,URBAN,TOTAL,,,,,,100
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,REGULAR,552981,280601,272370,10,86196,99.97
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,INSTITUTIONAL,301,289,12,,25,.03
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,HOMELESS,3,3,,,3,0
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,TOTAL,553285,280893,272382,10,86224,100
BATAGRAM,BATAGRAM,DISTRICT,RURAL,REGULAR,552981,280601,272370,10,86196,99.97
BATAGRAM,BATAGRAM,DISTRICT,RURAL,INSTITUTIONAL,301,289,12,,25,.03
BATAGRAM,BATAGRAM,DISTRICT,RURAL,HOMELESS,3,3,,,3,0
BATAGRAM,BATAGRAM,DISTRICT,RURAL,TOTAL,553285,280893,272382,10,86224,100
BATAGRAM,BATAGRAM,DISTRICT,URBAN,REGULAR,,,,,,0
BATAGRAM,BATAGRAM,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
BATAGRAM,BATAGRAM,DISTRICT,URBAN,HOMELESS,,,,,,0
BATAGRAM,BATAGRAM,DISTRICT,URBAN,TOTAL,,,,,,100
ALLAI,BATAGRAM,TEHSIL,OVERALL,REGULAR,217450,111872,105573,5,34830,99.97
ALLAI,BATAGRAM,TEHSIL,OVERALL,INSTITUTIONAL,115,104,11,,10,.03
ALLAI,BATAGRAM,TEHSIL,OVERALL,HOMELESS,1,1,,,1,0
ALLAI,BATAGRAM,TEHSIL,OVERALL,TOTAL,217566,111977,105584,5,34841,100
ALLAI,BATAGRAM,TEHSIL,RURAL,REGULAR,217450,111872,105573,5,34830,99.97
ALLAI,BATAGRAM,TEHSIL,RURAL,INSTITUTIONAL,115,104,11,,10,.03
ALLAI,BATAGRAM,TEHSIL,RURAL,HOMELESS,1,1,,,1,0
ALLAI,BATAGRAM,TEHSIL,RURAL,TOTAL,217566,111977,105584,5,34841,100
ALLAI,BATAGRAM,TEHSIL,URBAN,REGULAR,,,,,,0
ALLAI,BATAGRAM,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
ALLAI,BATAGRAM,TEHSIL,URBAN,HOMELESS,,,,,,0
ALLAI,BATAGRAM,TEHSIL,URBAN,TOTAL,,,,,,100
BATAGRAM,BATAGRAM,TEHSIL,OVERALL,REGULAR,335531,168729,166797,5,51366,99.97
BATAGRAM,BATAGRAM,TEHSIL,OVERALL,INSTITUTIONAL,186,185,1,,15,.03
BATAGRAM,BATAGRAM,TEHSIL,OVERALL,HOMELESS,2,2,,,2,0
BATAGRAM,BATAGRAM,TEHSIL,OVERALL,TOTAL,335719,168916,166798,5,51383,100
BATAGRAM,BATAGRAM,TEHSIL,RURAL,REGULAR,335531,168729,166797,5,51366,99.97
BATAGRAM,BATAGRAM,TEHSIL,RURAL,INSTITUTIONAL,186,185,1,,15,.03
BATAGRAM,BATAGRAM,TEHSIL,RURAL,HOMELESS,2,2,,,2,0
BATAGRAM,BATAGRAM,TEHSIL,RURAL,TOTAL,335719,168916,166798,5,51383,100
BATAGRAM,BATAGRAM,TEHSIL,URBAN,REGULAR,,,,,,0
BATAGRAM,BATAGRAM,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
BATAGRAM,BATAGRAM,TEHSIL,URBAN,HOMELESS,,,,,,0
BATAGRAM,BATAGRAM,TEHSIL,URBAN,TOTAL,,,,,,100
BUNER,BUNER,DISTRICT,OVERALL,REGULAR,1016369,507882,508459,28,118665,99.98
BUNER,BUNER,DISTRICT,OVERALL,INSTITUTIONAL,285,182,103,,22,.02
BUNER,BUNER,DISTRICT,OVERALL,HOMELESS,20,15,5,,5,0
BUNER,BUNER,DISTRICT,OVERALL,TOTAL,1016674,508079,508567,28,118692,100
BUNER,BUNER,DISTRICT,RURAL,REGULAR,1016369,507882,508459,28,118665,99.98
BUNER,BUNER,DISTRICT,RURAL,INSTITUTIONAL,285,182,103,,22,.02
BUNER,BUNER,DISTRICT,RURAL,HOMELESS,20,15,5,,5,0
BUNER,BUNER,DISTRICT,RURAL,TOTAL,1016674,508079,508567,28,118692,100
BUNER,BUNER,DISTRICT,URBAN,REGULAR,,,,,,0
BUNER,BUNER,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
BUNER,BUNER,DISTRICT,URBAN,HOMELESS,,,,,,0
BUNER,BUNER,DISTRICT,URBAN,TOTAL,,,,,,100
CHAGHARZAI,BUNER,TEHSIL,OVERALL,REGULAR,125919,62886,63029,4,14454,100
CHAGHARZAI,BUNER,TEHSIL,OVERALL,INSTITUTIONAL,,,,,,0
CHAGHARZAI,BUNER,TEHSIL,OVERALL,HOMELESS,,,,,,0
CHAGHARZAI,BUNER,TEHSIL,OVERALL,TOTAL,125919,62886,63029,4,14454,100
CHAGHARZAI,BUNER,TEHSIL,RURAL,REGULAR,125919,62886,63029,4,14454,100
CHAGHARZAI,BUNER,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
