name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
QUBO SAEED KHAN,TEHSIL,KAMBAR SHAHDAD KOT,URBAN,,30646,15832,14812,2,106.89,,,5.2,27623,1.75
SHAHDAD KOT,TEHSIL,KAMBAR SHAHDAD KOT,OVERALL,419,225086,117532,107539,15,109.29,537.2,53.62,5.5,202564,1.78
SHAHDAD KOT,TEHSIL,KAMBAR SHAHDAD KOT,RURAL,,104399,54824,49572,3,110.59,,,5.4,83629,3.78
SHAHDAD KOT,TEHSIL,KAMBAR SHAHDAD KOT,URBAN,,120687,62708,57967,12,108.18,,,5.7,118935,.24
SUJAWAL JUNEJO,TEHSIL,KAMBAR SHAHDAD KOT,OVERALL,385,130635,67877,62756,2,108.16,339.31,,5.6,117467,1.79
SUJAWAL JUNEJO,TEHSIL,KAMBAR SHAHDAD KOT,RURAL,,130635,67877,62756,2,108.16,,,5.6,117467,1.79
SUJAWAL JUNEJO,TEHSIL,KAMBAR SHAHDAD KOT,URBAN,,,,,,,,,,,
WARAH,TEHSIL,KAMBAR SHAHDAD KOT,OVERALL,695,253681,132165,121515,1,108.76,365.01,28.78,5.2,229519,1.69
WARAH,TEHSIL,KAMBAR SHAHDAD KOT,RURAL,,180674,94403,86270,1,109.43,,,5.2,160375,2.01
WARAH,TEHSIL,KAMBAR SHAHDAD KOT,URBAN,,73007,37762,35245,,107.14,,,5.2,69144,.91
KARACHI CENTRAL,DISTRICT,KARACHI CENTRAL,OVERALL,69,3822325,2019115,1802647,563,112.01,55396.01,100,5.8,2971382,4.3
KARACHI CENTRAL,DISTRICT,KARACHI CENTRAL,RURAL,,,,,,0,,,,,0
KARACHI CENTRAL,DISTRICT,KARACHI CENTRAL,URBAN,,3822325,2019115,1802647,563,112.01,,,5.8,2971382,4.3
GULBERG,SUB-DIVISION,KARACHI CENTRAL,OVERALL,14,613724,327979,285684,61,114.8,43837.43,100,5.7,496094,3.62
GULBERG,SUB-DIVISION,KARACHI CENTRAL,RURAL,,,,,,,,,,,
GULBERG,SUB-DIVISION,KARACHI CENTRAL,URBAN,,613724,327979,285684,61,114.8,,,5.7,496094,3.62
LIAQUATABAD,SUB-DIVISION,KARACHI CENTRAL,OVERALL,6,547706,289338,258266,102,112.03,91284.33,100,5.6,449098,3.37
LIAQUATABAD,SUB-DIVISION,KARACHI CENTRAL,RURAL,,,,,,,,,,,
LIAQUATABAD,SUB-DIVISION,KARACHI CENTRAL,URBAN,,547706,289338,258266,102,112.03,,,5.6,449098,3.37
NAZIMABAD,SUB-DIVISION,KARACHI CENTRAL,OVERALL,8,572740,304391,268273,76,113.46,71592.5,100,5.9,446347,4.26
NAZIMABAD,SUB-DIVISION,KARACHI CENTRAL,RURAL,,,,,,,,,,,
NAZIMABAD,SUB-DIVISION,KARACHI CENTRAL,URBAN,,572740,304391,268273,76,113.46,,,5.9,446347,4.26
NEW KARACHI,SUB-DIVISION,KARACHI CENTRAL,OVERALL,18,1165742,611178,554387,177,110.24,64763.44,100,5.9,871245,4.99
NEW KARACHI,SUB-DIVISION,KARACHI CENTRAL,RURAL,,,,,,,,,,,
