name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,OVERALL,59461,48000,3196,8265,272,226,55604,3359,23850,26202
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,RURAL,45999,35981,2805,7213,223,83,43611,2082,18140,20896
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,URBAN,13462,12019,391,1052,49,143,11993,1277,5710,5306
PAROA,DERA ISMAIL KHAN,TEHSIL,OVERALL,48778,36180,5208,7390,120,403,39442,8813,15553,24779
PAROA,DERA ISMAIL KHAN,TEHSIL,RURAL,42230,29981,5114,7135,107,390,34070,7663,13120,21528
PAROA,DERA ISMAIL KHAN,TEHSIL,URBAN,6548,6199,94,255,13,13,5372,1150,2433,3251
HANGU,HANGU,DISTRICT,OVERALL,61148,42053,16729,2366,8970,2955,48738,485,40016,7582
HANGU,HANGU,DISTRICT,RURAL,50414,32131,16112,2171,4242,1459,44317,396,31855,6376
HANGU,HANGU,DISTRICT,URBAN,10734,9922,617,195,4728,1496,4421,89,8161,1206
HANGU,HANGU,TEHSIL,OVERALL,33434,28758,3762,914,8738,860,23595,241,21617,4432
HANGU,HANGU,TEHSIL,RURAL,27795,23211,3712,872,4060,566,22996,173,17037,3991
HANGU,HANGU,TEHSIL,URBAN,5639,5547,50,42,4678,294,599,68,4580,441
TALL,HANGU,TEHSIL,OVERALL,27714,13295,12967,1452,232,2095,25143,244,18399,3150
TALL,HANGU,TEHSIL,RURAL,22619,8920,12400,1299,182,893,21321,223,14818,2385
TALL,HANGU,TEHSIL,URBAN,5095,4375,567,153,50,1202,3822,21,3581,765
HARIPUR,HARIPUR,DISTRICT,OVERALL,192451,188352,2495,1604,76456,8750,106363,882,152221,18131
HARIPUR,HARIPUR,DISTRICT,RURAL,167945,163966,2396,1583,53408,8016,105743,778,131268,17270
HARIPUR,HARIPUR,DISTRICT,URBAN,24506,24386,99,21,23048,734,620,104,20953,861
GHAZI,HARIPUR,TEHSIL,OVERALL,26243,25175,647,421,7610,865,17655,113,19493,4698
GHAZI,HARIPUR,TEHSIL,RURAL,26243,25175,647,421,7610,865,17655,113,19493,4698
GHAZI,HARIPUR,TEHSIL,URBAN,,,,,,,,,,
HARIPUR,HARIPUR,TEHSIL,OVERALL,135282,132788,1567,927,61618,6746,66248,670,109008,8231
HARIPUR,HARIPUR,TEHSIL,RURAL,110776,108402,1468,906,38570,6012,65628,566,88055,7370
HARIPUR,HARIPUR,TEHSIL,URBAN,24506,24386,99,21,23048,734,620,104,20953,861
KHANPUR,HARIPUR,TEHSIL,OVERALL,30926,30389,281,256,7228,1139,22460,99,23720,5202
KHANPUR,HARIPUR,TEHSIL,RURAL,30926,30389,281,256,7228,1139,22460,99,23720,5202
KHANPUR,HARIPUR,TEHSIL,URBAN,,,,,,,,,,
KARAK,KARAK,DISTRICT,OVERALL,95997,72244,13484,10269,27554,673,62544,5226,66405,12521
