name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
JHAT PAT,JAFFARABAD,SUB-DIVISION,OVERALL,37693,28734,3695,5264,6789,39,21439,9426,11723,16605
JHAT PAT,JAFFARABAD,SUB-DIVISION,RURAL,26891,20479,2426,3986,1048,19,18240,7584,7685,13294
JHAT PAT,JAFFARABAD,SUB-DIVISION,URBAN,10802,8255,1269,1278,5741,20,3199,1842,4038,3311
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,OVERALL,29610,21527,2427,5656,4390,197,12359,12664,6721,17467
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,RURAL,21613,14182,2193,5238,1177,103,9152,11181,3507,14800
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,URBAN,7997,7345,234,418,3213,94,3207,1483,3214,2667
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,30953,13917,9934,7102,204,44,27397,3308,11869,14394
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,27257,10833,9577,6847,185,27,23776,3269,9877,13928
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,3696,3084,357,255,19,17,3621,39,1992,466
GANDAWA,JHAL MAGSI,TEHSIL,OVERALL,11109,5387,4114,1608,54,24,10389,642,3951,4852
GANDAWA,JHAL MAGSI,TEHSIL,RURAL,7413,2303,3757,1353,35,7,6768,603,1959,4386
GANDAWA,JHAL MAGSI,TEHSIL,URBAN,3696,3084,357,255,19,17,3621,39,1992,466
JHAL MAGSI,JHAL MAGSI,TEHSIL,OVERALL,17155,8480,4550,4125,145,19,14983,2008,7192,7879
JHAL MAGSI,JHAL MAGSI,TEHSIL,RURAL,17155,8480,4550,4125,145,19,14983,2008,7192,7879
JHAL MAGSI,JHAL MAGSI,TEHSIL,URBAN,,,,,,,,,,
MIRPUR,JHAL MAGSI,SUB-TEHSIL,OVERALL,2689,50,1270,1369,5,1,2025,658,726,1663
MIRPUR,JHAL MAGSI,SUB-TEHSIL,RURAL,2689,50,1270,1369,5,1,2025,658,726,1663
MIRPUR,JHAL MAGSI,SUB-TEHSIL,URBAN,,,,,,,,,,
KACHHI,KACHHI,DISTRICT,OVERALL,50032,38750,5593,5689,6909,98,39320,3705,21048,8961
KACHHI,KACHHI,DISTRICT,RURAL,41450,30354,5525,5571,1989,43,35952,3466,16841,8116
KACHHI,KACHHI,DISTRICT,URBAN,8582,8396,68,118,4920,55,3368,239,4207,845
BALANARI,KACHHI,SUB-TEHSIL,OVERALL,6523,5833,357,333,119,29,6183,192,4234,447
BALANARI,KACHHI,SUB-TEHSIL,RURAL,6523,5833,357,333,119,29,6183,192,4234,447
BALANARI,KACHHI,SUB-TEHSIL,URBAN,,,,,,,,,,
BHAG,KACHHI,SUB-DIVISION,OVERALL,16312,11946,1591,2775,2165,7,12207,1933,6631,3758
BHAG,KACHHI,SUB-DIVISION,RURAL,12865,8559,1579,2727,472,4,10661,1728,5353,3617
BHAG,KACHHI,SUB-DIVISION,URBAN,3447,3387,12,48,1693,3,1546,205,1278,141
DHADAR,KACHHI,SUB-DIVISION,OVERALL,7176,6464,496,216,1450,50,5571,105,2793,2111
DHADAR,KACHHI,SUB-DIVISION,RURAL,4361,3684,483,194,131,,4128,102,1671,1425
DHADAR,KACHHI,SUB-DIVISION,URBAN,2815,2780,13,22,1319,50,1443,3,1122,686
KHATTAN,KACHHI,SUB-TEHSIL,OVERALL,2723,1879,483,361,8,,2311,404,898,441
KHATTAN,KACHHI,SUB-TEHSIL,RURAL,2723,1879,483,361,8,,2311,404,898,441
KHATTAN,KACHHI,SUB-TEHSIL,URBAN,,,,,,,,,,
MACH,KACHHI,SUB-DIVISION,OVERALL,5699,4873,359,467,3004,9,2559,127,3071,481
MACH,KACHHI,SUB-DIVISION,RURAL,3379,2644,316,419,1096,7,2180,96,1264,463
MACH,KACHHI,SUB-DIVISION,URBAN,2320,2229,43,48,1908,2,379,31,1807,18
SANNI,KACHHI,SUB-DIVISION,OVERALL,11599,7755,2307,1537,163,3,10489,944,3421,1723
SANNI,KACHHI,SUB-DIVISION,RURAL,11599,7755,2307,1537,163,3,10489,944,3421,1723
SANNI,KACHHI,SUB-DIVISION,URBAN,,,,,,,,,,
KALAT,KALAT,DISTRICT,OVERALL,33101,13921,12318,6862,358,623,30168,1952,16650,6564
KALAT,KALAT,DISTRICT,RURAL,27903,8819,12271,6813,331,70,25602,1900,13431,6490
KALAT,KALAT,DISTRICT,URBAN,5198,5102,47,49,27,553,4566,52,3219,74
GAZG,KALAT,SUB-TEHSIL,OVERALL,1274,45,570,659,3,,1096,175,599,599
GAZG,KALAT,SUB-TEHSIL,RURAL,1274,45,570,659,3,,1096,175,599,599
GAZG,KALAT,SUB-TEHSIL,URBAN,,,,,,,,,,
JOHAN,KALAT,SUB-TEHSIL,OVERALL,2486,368,1515,603,11,,2254,221,1352,924
JOHAN,KALAT,SUB-TEHSIL,RURAL,2486,368,1515,603,11,,2254,221,1352,924
JOHAN,KALAT,SUB-TEHSIL,URBAN,,,,,,,,,,
KALAT,KALAT,SUB-DIVISION,OVERALL,20124,9647,5950,4527,188,598,18328,1010,10291,3722
KALAT,KALAT,SUB-DIVISION,RURAL,14926,4545,5903,4478,161,45,13762,958,7072,3648
KALAT,KALAT,SUB-DIVISION,URBAN,5198,5102,47,49,27,553,4566,52,3219,74
MANGOCHAR,KALAT,SUB-DIVISION,OVERALL,9217,3861,4283,1073,156,25,8490,546,4408,1319
MANGOCHAR,KALAT,SUB-DIVISION,RURAL,9217,3861,4283,1073,156,25,8490,546,4408,1319
MANGOCHAR,KALAT,SUB-DIVISION,URBAN,,,,,,,,,,
KECH,KECH,DISTRICT,OVERALL,253475,154549,45925,53001,2057,15876,220025,15517,142312,19945
KECH,KECH,DISTRICT,RURAL,164440,75316,42414,46710,1003,4083,150498,8856,95566,16110
KECH,KECH,DISTRICT,URBAN,89035,79233,3511,6291,1054,11793,69527,6661,46746,3835
BALNIGORE,KECH,SUB-TEHSIL,OVERALL,14389,170,9574,4645,97,253,13357,682,11931,404
BALNIGORE,KECH,SUB-TEHSIL,RURAL,14389,170,9574,4645,97,253,13357,682,11931,404
BALNIGORE,KECH,SUB-TEHSIL,URBAN,,,,,,,,,,
