name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
GUJRANWALA CITY,GUJRANWALA,TEHSIL,OVERALL,356287,282178,67794,3784,964,338,1229,339622,14134,34872,100351,98583,122481
GUJRANWALA CITY,GUJRANWALA,TEHSIL,RURAL,,,,,,,,,,,,,
GUJRANWALA CITY,GUJRANWALA,TEHSIL,URBAN,356287,282178,67794,3784,964,338,1229,339622,14134,34872,100351,98583,122481
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,OVERALL,168704,143227,17776,2942,4264,63,432,157547,6398,19768,52581,44722,51633
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,RURAL,114033,101727,9413,2303,174,50,366,109268,4175,14982,35180,30271,33600
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,URBAN,54671,41500,8363,639,4090,13,66,48279,2223,4786,17401,14451,18033
KAMOKE,GUJRANWALA,TEHSIL,OVERALL,94236,83974,7035,2881,51,43,252,90829,3061,17249,29893,22611,24483
KAMOKE,GUJRANWALA,TEHSIL,RURAL,51778,47931,1731,1913,33,29,141,50021,1554,8030,16169,12976,14603
KAMOKE,GUJRANWALA,TEHSIL,URBAN,42458,36043,5304,968,18,14,111,40808,1507,9219,13724,9635,9880
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,OVERALL,87569,81288,3671,2256,47,61,246,84556,2659,14264,27885,21247,24173
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,RURAL,79617,74433,2760,2081,46,58,239,76879,2395,13224,25588,19150,21655
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,URBAN,7952,6855,911,175,1,3,7,7677,264,1040,2297,2097,2518
WAZIRABAD,GUJRANWALA,TEHSIL,OVERALL,142381,125452,11306,4297,529,38,759,133829,7226,16822,39316,38687,47556
WAZIRABAD,GUJRANWALA,TEHSIL,RURAL,87761,80736,3540,2912,133,16,424,82980,4208,10219,23877,23373,30292
WAZIRABAD,GUJRANWALA,TEHSIL,URBAN,54620,44716,7766,1385,396,22,335,50849,3018,6603,15439,15314,17264
GUJRAT,GUJRAT,DISTRICT,OVERALL,489337,419515,45581,17572,4660,408,1601,451203,31465,47495,140745,129298,171799
GUJRAT,GUJRAT,DISTRICT,RURAL,284607,261287,10346,11556,232,185,1001,263595,19594,25950,80620,76176,101861
GUJRAT,GUJRAT,DISTRICT,URBAN,204730,158228,35235,6016,4428,223,600,187608,11871,21545,60125,53122,69938
GUJRAT,GUJRAT,TEHSIL,OVERALL,265944,229958,25891,8138,730,276,951,246320,17667,26773,76303,70641,92227
GUJRAT,GUJRAT,TEHSIL,RURAL,119914,111389,3869,3857,168,94,537,110628,8487,11527,34961,32416,41010
GUJRAT,GUJRAT,TEHSIL,URBAN,146030,118569,22022,4281,562,182,414,135692,9180,15246,41342,38225,51217
KHARIAN,GUJRAT,TEHSIL,OVERALL,179257,151030,16345,7427,3864,100,491,163795,11007,17478,53087,46288,62404
KHARIAN,GUJRAT,TEHSIL,RURAL,131982,119824,5499,6175,56,72,356,122508,8990,12230,37746,34695,47311
KHARIAN,GUJRAT,TEHSIL,URBAN,47275,31206,10846,1252,3808,28,135,41287,2017,5248,15341,11593,15093
SARAI ALAMGIR,GUJRAT,TEHSIL,OVERALL,44136,38527,3345,2007,66,32,159,41088,2791,3244,11355,12369,17168
SARAI ALAMGIR,GUJRAT,TEHSIL,RURAL,32711,30074,978,1524,8,19,108,30459,2117,2193,7913,9065,13540
SARAI ALAMGIR,GUJRAT,TEHSIL,URBAN,11425,8453,2367,483,58,13,51,10629,674,1051,3442,3304,3628
HAFIZABAD,HAFIZABAD,DISTRICT,OVERALL,197206,174481,11310,9674,479,196,1066,188591,6874,33764,65578,48105,49759
HAFIZABAD,HAFIZABAD,DISTRICT,RURAL,120258,109124,2115,8028,158,103,730,115613,3654,21068,40517,28138,30535
HAFIZABAD,HAFIZABAD,DISTRICT,URBAN,76948,65357,9195,1646,321,93,336,72978,3220,12696,25061,19967,19224
HAFIZABAD,HAFIZABAD,TEHSIL,OVERALL,112158,99273,7689,4143,375,81,597,107436,3669,15415,34788,29372,32583
HAFIZABAD,HAFIZABAD,TEHSIL,RURAL,60129,55047,1256,3260,112,54,400,57961,1602,8053,18588,15312,18176
HAFIZABAD,HAFIZABAD,TEHSIL,URBAN,52029,44226,6433,883,263,27,197,49475,2067,7362,16200,14060,14407
PINDI BHATTIAN,HAFIZABAD,TEHSIL,OVERALL,85048,75208,3621,5531,104,115,469,81155,3205,18349,30790,18733,17176
PINDI BHATTIAN,HAFIZABAD,TEHSIL,RURAL,60129,54077,859,4768,46,49,330,57652,2052,13015,21929,12826,12359
PINDI BHATTIAN,HAFIZABAD,TEHSIL,URBAN,24919,21131,2762,763,58,66,139,23503,1153,5334,8861,5907,4817
JHANG,JHANG,DISTRICT,OVERALL,491999,446317,18673,21533,1495,284,3697,468853,17670,131512,181226,95241,84020
JHANG,JHANG,DISTRICT,RURAL,358141,333437,3807,16823,836,221,3017,343113,10954,96239,134326,67916,59660
JHANG,JHANG,DISTRICT,URBAN,133858,112880,14866,4710,659,63,680,125740,6716,35273,46900,27325,24360
-HAZARI,JHANG,TEHSIL,OVERALL,56659,53228,660,2113,35,32,591,54257,1744,17805,22411,9226,7217
-HAZARI,JHANG,TEHSIL,RURAL,51092,48246,455,1753,34,29,575,48932,1522,15980,20144,8408,6560
-HAZARI,JHANG,TEHSIL,URBAN,5567,4982,205,360,1,3,16,5325,222,1825,2267,818,657
AHMADPUR SIAL,JHANG,TEHSIL,OVERALL,77488,71127,1291,4102,78,30,860,74478,2042,23107,28393,13866,12122
AHMADPUR SIAL,JHANG,TEHSIL,RURAL,63820,59032,562,3539,49,23,615,61518,1615,18982,23597,11319,9922
AHMADPUR SIAL,JHANG,TEHSIL,URBAN,13668,12095,729,563,29,7,245,12960,427,4125,4796,2547,2200
JHANG,JHANG,TEHSIL,OVERALL,264032,235750,14043,11445,1060,161,1573,250693,10545,68891,96807,52567,45767
JHANG,JHANG,TEHSIL,RURAL,160731,149251,1752,7911,505,117,1195,153821,5093,41650,60733,31434,26914
JHANG,JHANG,TEHSIL,URBAN,103301,86499,12291,3534,555,44,378,96872,5452,27241,36074,21133,18853
