name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
JACOBABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
JACOBABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,142,6,,87,3,,55,3,
JACOBABAD,DISTRICT,FATHER/MOTHER,DIVORCED,20,0,,11,0,,9,0,
JACOBABAD,DISTRICT,FATHER/MOTHER,MARRIED,2268,1261,,1353,765,,915,496,
JACOBABAD,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
JACOBABAD,DISTRICT,FATHER/MOTHER,SEPARATION,54,1,,32,0,,22,1,
JACOBABAD,DISTRICT,FATHER/MOTHER,WIDOWED,7915,565,,4415,325,,3500,240,
JACOBABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,2,0,,2,0,,0,0,
JACOBABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,74,64,,50,38,,24,26,
JACOBABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,1,1,,1,0,,0,1,
JACOBABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,3,1,,3,1,,0,0,
JACOBABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,355,42,,226,19,,129,23,
JACOBABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,0,0,0,0,0,0,0,0,0
