name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
LAHORE CITY,LAHORE,TEHSIL,URBAN,REGULAR,4103774,2188588,1913400,1786,628604,99.84999999999999
LAHORE CITY,LAHORE,TEHSIL,URBAN,INSTITUTIONAL,14346,10488,3858,,489,.08
LAHORE CITY,LAHORE,TEHSIL,URBAN,HOMELESS,5234,4700,465,69,451,.07
LAHORE CITY,LAHORE,TEHSIL,URBAN,TOTAL,4123354,2203776,1917723,1855,629544,100
MODEL TOWN,LAHORE,TEHSIL,OVERALL,REGULAR,3226448,1676485,1549290,673,492352,99.89
MODEL TOWN,LAHORE,TEHSIL,OVERALL,INSTITUTIONAL,16423,10050,6373,,349,.07
MODEL TOWN,LAHORE,TEHSIL,OVERALL,HOMELESS,2035,1325,699,11,173,.04
MODEL TOWN,LAHORE,TEHSIL,OVERALL,TOTAL,3244906,1687860,1556362,684,492874,100
MODEL TOWN,LAHORE,TEHSIL,RURAL,REGULAR,,,,,,0
MODEL TOWN,LAHORE,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
MODEL TOWN,LAHORE,TEHSIL,RURAL,HOMELESS,,,,,,0
MODEL TOWN,LAHORE,TEHSIL,RURAL,TOTAL,,,,,,100
MODEL TOWN,LAHORE,TEHSIL,URBAN,REGULAR,3226448,1676485,1549290,673,492352,99.89
MODEL TOWN,LAHORE,TEHSIL,URBAN,INSTITUTIONAL,16423,10050,6373,,349,.07
MODEL TOWN,LAHORE,TEHSIL,URBAN,HOMELESS,2035,1325,699,11,173,.04
MODEL TOWN,LAHORE,TEHSIL,URBAN,TOTAL,3244906,1687860,1556362,684,492874,100
RAIWIND,LAHORE,TEHSIL,OVERALL,REGULAR,1067168,570580,496361,227,170686,99.73
RAIWIND,LAHORE,TEHSIL,OVERALL,INSTITUTIONAL,10481,8807,1674,,175,.1
RAIWIND,LAHORE,TEHSIL,OVERALL,HOMELESS,2988,2486,384,118,280,.16
RAIWIND,LAHORE,TEHSIL,OVERALL,TOTAL,1080637,581873,498419,345,171141,100
RAIWIND,LAHORE,TEHSIL,RURAL,REGULAR,,,,,,0
RAIWIND,LAHORE,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
RAIWIND,LAHORE,TEHSIL,RURAL,HOMELESS,,,,,,0
RAIWIND,LAHORE,TEHSIL,RURAL,TOTAL,,,,,,100
RAIWIND,LAHORE,TEHSIL,URBAN,REGULAR,1067168,570580,496361,227,170686,99.73
RAIWIND,LAHORE,TEHSIL,URBAN,INSTITUTIONAL,10481,8807,1674,,175,.1
RAIWIND,LAHORE,TEHSIL,URBAN,HOMELESS,2988,2486,384,118,280,.16
RAIWIND,LAHORE,TEHSIL,URBAN,TOTAL,1080637,581873,498419,345,171141,100
SHALIMAR,LAHORE,TEHSIL,OVERALL,REGULAR,2663757,1397069,1266494,194,422083,99.95999999999999
SHALIMAR,LAHORE,TEHSIL,OVERALL,INSTITUTIONAL,4464,4256,208,,76,.02
SHALIMAR,LAHORE,TEHSIL,OVERALL,HOMELESS,1116,913,191,12,98,.02
SHALIMAR,LAHORE,TEHSIL,OVERALL,TOTAL,2669337,1402238,1266893,206,422257,100
SHALIMAR,LAHORE,TEHSIL,RURAL,REGULAR,,,,,,0
SHALIMAR,LAHORE,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
SHALIMAR,LAHORE,TEHSIL,RURAL,HOMELESS,,,,,,0
SHALIMAR,LAHORE,TEHSIL,RURAL,TOTAL,,,,,,100
SHALIMAR,LAHORE,TEHSIL,URBAN,REGULAR,2663757,1397069,1266494,194,422083,99.95999999999999
SHALIMAR,LAHORE,TEHSIL,URBAN,INSTITUTIONAL,4464,4256,208,,76,.02
SHALIMAR,LAHORE,TEHSIL,URBAN,HOMELESS,1116,913,191,12,98,.02
SHALIMAR,LAHORE,TEHSIL,URBAN,TOTAL,2669337,1402238,1266893,206,422257,100
LAYYAH,LAYYAH,DISTRICT,OVERALL,REGULAR,2100164,1081324,1018752,88,341132,99.95999999999999
LAYYAH,LAYYAH,DISTRICT,OVERALL,INSTITUTIONAL,982,926,55,1,73,.02
LAYYAH,LAYYAH,DISTRICT,OVERALL,HOMELESS,1215,660,555,,71,.02
LAYYAH,LAYYAH,DISTRICT,OVERALL,TOTAL,2102361,1082910,1019362,89,341276,100
LAYYAH,LAYYAH,DISTRICT,RURAL,REGULAR,1714698,884198,830465,35,277326,99.97
LAYYAH,LAYYAH,DISTRICT,RURAL,INSTITUTIONAL,455,430,25,,42,.02
LAYYAH,LAYYAH,DISTRICT,RURAL,HOMELESS,939,513,426,,55,.02
LAYYAH,LAYYAH,DISTRICT,RURAL,TOTAL,1716092,885141,830916,35,277423,100
LAYYAH,LAYYAH,DISTRICT,URBAN,REGULAR,385466,197126,188287,53,63806,99.93000000000001
LAYYAH,LAYYAH,DISTRICT,URBAN,INSTITUTIONAL,527,496,30,1,31,.05
LAYYAH,LAYYAH,DISTRICT,URBAN,HOMELESS,276,147,129,,16,.03
LAYYAH,LAYYAH,DISTRICT,URBAN,TOTAL,386269,197769,188446,54,63853,100
CHOUBARA,LAYYAH,TEHSIL,OVERALL,REGULAR,298167,155596,142567,4,44032,99.91
CHOUBARA,LAYYAH,TEHSIL,OVERALL,INSTITUTIONAL,375,370,5,,11,.02
CHOUBARA,LAYYAH,TEHSIL,OVERALL,HOMELESS,527,290,237,,27,.06
CHOUBARA,LAYYAH,TEHSIL,OVERALL,TOTAL,299069,156256,142809,4,44070,100
CHOUBARA,LAYYAH,TEHSIL,RURAL,REGULAR,241705,126353,115351,1,35400,99.94
CHOUBARA,LAYYAH,TEHSIL,RURAL,INSTITUTIONAL,56,56,,,3,.01
CHOUBARA,LAYYAH,TEHSIL,RURAL,HOMELESS,319,179,140,,18,.05
CHOUBARA,LAYYAH,TEHSIL,RURAL,TOTAL,242080,126588,115491,1,35421,100
CHOUBARA,LAYYAH,TEHSIL,URBAN,REGULAR,56462,29243,27216,3,8632,99.8
CHOUBARA,LAYYAH,TEHSIL,URBAN,INSTITUTIONAL,319,314,5,,8,.09
CHOUBARA,LAYYAH,TEHSIL,URBAN,HOMELESS,208,111,97,,9,.1
CHOUBARA,LAYYAH,TEHSIL,URBAN,TOTAL,56989,29668,27318,3,8649,100
KAROR LAL ESAN,LAYYAH,TEHSIL,OVERALL,REGULAR,684402,351854,332509,39,109767,99.97
KAROR LAL ESAN,LAYYAH,TEHSIL,OVERALL,INSTITUTIONAL,235,209,26,,20,.02
KAROR LAL ESAN,LAYYAH,TEHSIL,OVERALL,HOMELESS,80,48,32,,15,.01
KAROR LAL ESAN,LAYYAH,TEHSIL,OVERALL,TOTAL,684717,352111,332567,39,109802,100
