name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,65 &  ABOVE,32198,18820,13377,1,,,,,32198,18820,13377,1
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,ALL AGES,656014,346672,309305,37,,,,,656014,346672,309305,37
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,UNDER 1,9760,5010,4750,,,,,,9760,5010,4750,
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,UNDER 5,76382,39613,36769,,,,,,76382,39613,36769,
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,UNDER 10,144478,74890,69588,,,,,,144478,74890,69588,
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,UNDER 15,216432,113219,103213,,,,,,216432,113219,103213,
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,05 - 24,263701,140649,123043,9,,,,,263701,140649,123043,9
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,15 - 49,338415,178648,159733,34,,,,,338415,178648,159733,34
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,15 - 64,407475,216219,191219,37,,,,,407475,216219,191219,37
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,18 - 60,349038,183994,165011,33,,,,,349038,183994,165011,33
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,18 &  ABOVE,394990,208626,186330,34,,,,,394990,208626,186330,34
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,60 &  ABOVE,50523,27213,23309,1,,,,,50523,27213,23309,1
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,65 &  ABOVE,32107,17234,14873,,,,,,32107,17234,14873,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,ALL AGES,2329764,1240860,1088520,384,,,,,2329764,1240860,1088520,384
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,UNDER 1,35104,18134,16970,,,,,,35104,18134,16970,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,UNDER 5,239092,124089,115003,,,,,,239092,124089,115003,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,UNDER 10,487047,253164,233883,,,,,,487047,253164,233883,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,UNDER 15,740280,387592,352686,2,,,,,740280,387592,352686,2
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,05 - 24,933688,494766,438851,71,,,,,933688,494766,438851,71
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,15 - 49,1237956,655978,581644,334,,,,,1237956,655978,581644,334
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,15 - 64,1484056,794845,688843,368,,,,,1484056,794845,688843,368
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,18 - 60,1293621,691591,601676,354,,,,,1293621,691591,601676,354
