name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BAJAUR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,4,1,0,4,1,0,0,0,0
BAJAUR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,222,1,0,222,1,0,0,0,0
BAJAUR,DISTRICT,SON/DAUGHTER,DIVORCED,42,6,0,42,6,0,0,0,0
BAJAUR,DISTRICT,SON/DAUGHTER,MARRIED,1733,39743,0,1733,39743,0,0,0,0
BAJAUR,DISTRICT,SON/DAUGHTER,NEVER MARRIED,52135,74235,8,52135,74235,8,0,0,0
BAJAUR,DISTRICT,SON/DAUGHTER,SEPARATION,40,26,0,40,26,0,0,0,0
BAJAUR,DISTRICT,SON/DAUGHTER,WIDOWED,70,38,0,70,38,0,0,0,0
BAJAUR,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
BAJAUR,DISTRICT,SPOUSE,MARRIED,174300,2833,,174300,2833,,0,0,
BAJAUR,DISTRICT,SPOUSE,NEVER MARRIED,0,0,,0,0,,0,0,
BAJAUR,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
BAJAUR,DISTRICT,SPOUSE,WIDOWED,0,1,,0,1,,0,0,
BANNU,DISTRICT,BROTHER/SISTER,DIVORCED,106,17,0,101,15,0,5,2,0
BANNU,DISTRICT,BROTHER/SISTER,MARRIED,1270,20741,0,1210,20065,0,60,676,0
BANNU,DISTRICT,BROTHER/SISTER,NEVER MARRIED,11947,14224,0,11316,13732,0,631,492,0
BANNU,DISTRICT,BROTHER/SISTER,SEPARATION,102,31,0,99,29,0,3,2,0
BANNU,DISTRICT,BROTHER/SISTER,WIDOWED,426,159,0,401,153,0,25,6,0
BANNU,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
BANNU,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,55502,1338,,53941,1297,,1561,41,
BANNU,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
BANNU,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,1,0,,1,0,,0,0,
