name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
LUNI,DUKI,SUB-DIVISION,OVERALL,2907,2101,1911,996,1522,266,634,,22,463
LUNI,DUKI,SUB-DIVISION,RURAL,2907,2101,1911,996,1522,266,634,,22,463
LUNI,DUKI,SUB-DIVISION,URBAN,,,,,,,,,,
TALAO,DUKI,SUB-TEHSIL,OVERALL,5256,3675,2308,2948,1372,1474,1896,,3,511
TALAO,DUKI,SUB-TEHSIL,RURAL,5256,3675,2308,2948,1372,1474,1896,,3,511
TALAO,DUKI,SUB-TEHSIL,URBAN,,,,,,,,,,
THAL CHUTYALI,DUKI,SUB-DIVISION,OVERALL,8290,7204,5674,2616,5435,1404,778,3,4,666
THAL CHUTYALI,DUKI,SUB-DIVISION,RURAL,8290,7204,5674,2616,5435,1404,778,3,4,666
THAL CHUTYALI,DUKI,SUB-DIVISION,URBAN,,,,,,,,,,
GWADAR,GWADAR,DISTRICT,OVERALL,50357,44228,31572,18785,37011,938,2243,281,104,9780
GWADAR,GWADAR,DISTRICT,RURAL,22539,17293,8637,13902,13040,467,1551,5,60,7416
GWADAR,GWADAR,DISTRICT,URBAN,27818,26935,22935,4883,23971,471,692,276,44,2364
GWADAR,GWADAR,SUB-DIVISION,OVERALL,24533,23286,19225,5308,21034,369,501,11,47,2571
