name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,10 - 14,CHINESE,1,1,,1,1,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,10 - 14,OTHERS,26,19,7,11,8,3,15,11,4,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,10 - 14,PAKISTANI,187213,136695,50518,86989,63224,23765,100216,73465,26751,8,6,2
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,15 - 19,AFGHANI,25,15,10,9,7,2,16,8,8,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,15 - 19,BENGALI,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,15 - 19,CHINESE,1,,1,,,,1,,1,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,15 - 19,OTHERS,30,25,5,12,10,2,18,15,3,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,15 - 19,PAKISTANI,157140,111369,45771,72634,51253,21381,84497,60112,24385,9,4,5
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,20 - 24,AFGHANI,17,12,5,7,7,,10,5,5,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,20 - 24,BENGALI,2,1,1,1,,1,1,1,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,20 - 24,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,20 - 24,OTHERS,44,36,8,26,21,5,18,15,3,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,20 - 24,PAKISTANI,128260,91671,36589,63150,45079,18071,65106,46592,18514,4,,4
